df_hash,22ZHK4.724P3P
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YWVP
person_label,V66
date_time_start,2025-10-31_17-05-59.075000_+03
date_time_start_unix,1761915959.075
date_time_end,2025-10-31_17-14-45.320000_+03
length_difference_noticed,no

time,omega
68.308,0.535
79.188,0.537
82.597,0.542
83.518,0.546
86.017,0.542
93.368,0.537
97.462,0.542
98.244,0.537
98.923,0.542
101.308,0.537
106.184,0.535
110.581,0.535
112.725,0.534
114.764,0.534
118.571,0.530
127.835,0.530
133.001,0.527
136.360,0.522
138.993,0.517
142.850,0.517
145.381,0.517
145.437,0.515
151.914,0.511
159.524,0.505
172.533,0.501
180.580,0.498
181.460,0.494
182.877,0.491
184.578,0.491
195.367,0.490
199.936,0.490
201.982,0.482
204.806,0.480
207.929,0.471
212.303,0.467
215.776,0.467
221.973,0.467
224.173,0.462
228.173,0.458
233.328,0.458
253.667,0.458
254.486,0.458
262.626,0.458
263.165,0.458
270.670,0.457
273.160,0.466
285.053,0.473
285.587,0.476
288.348,0.481
291.288,0.496
292.267,0.506
292.653,0.528
292.800,0.535
295.017,0.564
303.522,0.590
305.573,0.603
308.403,0.603
325.221,0.618
339.896,0.650
347.624,0.678
360.379,0.663
362.197,0.663
365.147,0.678
369.053,0.663
378.029,0.678
380.941,0.679
398.989,0.690
408.518,0.690
408.973,0.690
410.344,0.689
414.969,0.689
441.979,0.604
443.352,0.595
448.853,0.595
450.080,0.577
454.017,0.577
456.168,0.575
461.050,0.563
461.776,0.577
462.357,0.577
462.603,0.577
464.499,0.563
465.039,0.555
465.745,0.545
467.182,0.534
468.597,0.534
470.112,0.545
470.888,0.534
471.523,0.538
474.928,0.538
475.467,0.536
477.033,0.525
479.327,0.525
480.785,0.513
488.637,0.513
492.551,0.499
493.076,0.510
493.655,0.499
503.163,0.499
505.308,0.498
514.863,0.510
516.955,0.510
