df_hash,22ZHK4.724P3P
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YWVP
person_label,V66
date_time_start,2025-10-31_17-05-59.075000_+03
date_time_start_unix,1761915959.075
date_time_end,2025-10-31_17-14-45.320000_+03
length_difference_noticed,no

time,respiration_rate
74.252,12
78.692,12
82.932,12
87.562,12
91.832,12
96.262,12
100.672,13
104.912,13
109.462,13
113.682,13
179.132,14
183.632,14
187.962,14
192.582,16
196.942,18
201.442,18
205.812,18
214.512,13
218.762,13
222.982,13
227.512,13
232.082,13
236.572,14
241.012,15
246.042,16
250.372,15
302.102,18
306.362,20
310.582,20
315.122,20
319.302,18
324.742,18
350.662,22
355.002,22
359.612,22
363.992,22
370.932,22
375.882,22
426.882,24
448.802,22
453.142,20
462.092,18
466.242,17
470.332,17
474.682,17
483.402,17
487.502,18
492.032,20
496.302,10
500.322,10
504.642,12
