df_hash,22ZHK4.724P3P
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YWVP
person_label,V66
date_time_start,2025-10-31_17-05-59.075000_+03
date_time_start_unix,1761915959.075
date_time_end,2025-10-31_17-14-45.320000_+03
length_difference_noticed,no

time,temperature
4.993,32.594
5.998,32.625
6.973,32.656
7.999,32.719
9.054,32.750
9.996,32.750
10.981,32.812
11.995,32.875
12.979,32.906
13.993,32.906
14.968,32.906
16.026,32.969
17.210,32.969
17.993,32.969
19.072,33.000
19.990,33.031
21.013,33.031
22.088,33.031
23.061,33.062
23.987,33.062
25.014,33.125
25.989,33.125
27.010,33.125
28.014,33.156
29.009,33.156
30.007,33.188
31.012,33.250
32.128,33.312
33.006,33.344
33.981,33.375
35.004,33.375
36.029,33.406
37.053,33.438
37.981,33.469
39.200,33.531
39.977,33.594
41.001,33.625
41.976,33.562
43.010,33.594
43.976,33.594
45.101,33.594
45.974,33.594
46.997,33.594
48.218,33.625
49.145,33.625
49.971,33.625
51.141,33.656
51.976,33.688
53.091,33.688
53.971,33.688
54.992,33.719
56.016,33.750
56.991,33.781
58.015,33.719
58.990,33.719
60.014,33.719
60.989,33.719
61.964,33.781
62.988,33.812
64.050,33.812
64.994,33.812
65.967,33.812
67.082,33.812
68.022,33.844
69.084,33.875
70.008,33.844
71.031,33.844
72.006,33.812
72.987,33.812
74.005,33.844
74.980,33.875
76.011,33.875
76.979,33.875
78.002,33.875
79.123,33.875
80.001,33.938
80.976,33.938
82.000,34.000
82.975,34.031
84.291,34.031
85.169,34.062
86.018,34.094
87.220,34.094
88.047,34.125
89.020,34.156
89.995,34.125
90.995,34.156
92.238,34.125
93.068,34.125
94.041,34.125
94.968,34.125
96.238,34.156
97.356,34.125
97.990,34.156
99.160,34.188
99.989,34.188
101.110,34.156
101.988,34.188
102.963,34.188
103.987,34.188
104.962,34.188
105.985,34.188
106.960,34.188
108.230,34.188
108.959,34.188
109.983,34.188
110.963,34.219
112.228,34.250
112.978,34.250
113.983,34.219
114.956,34.219
115.979,34.250
117.393,34.156
118.027,34.188
119.004,34.188
119.982,34.188
121.000,34.250
121.976,34.188
122.999,34.219
124.121,34.250
124.998,34.281
126.020,34.281
126.997,34.344
127.972,34.344
129.190,34.406
129.971,34.406
131.038,34.406
131.969,34.406
133.047,34.406
134.017,34.406
134.992,34.375
136.026,34.406
136.990,34.438
137.966,34.438
138.994,34.406
139.965,34.406
140.988,34.375
141.964,34.438
142.986,34.438
143.967,34.469
144.986,34.469
145.980,34.438
146.984,34.438
147.965,34.438
149.055,34.438
149.958,34.438
150.982,34.469
151.989,34.469
152.980,34.438
154.053,34.406
154.997,34.375
155.963,34.375
156.978,34.375
157.965,34.406
159.000,34.406
159.952,34.438
161.049,34.438
161.951,34.469
163.169,34.438
163.978,34.469
165.070,34.469
165.997,34.500
166.972,34.469
167.996,34.469
168.971,34.500
170.092,34.438
170.970,34.438
171.993,34.438
173.041,34.438
173.993,34.469
175.016,34.500
175.991,34.500
176.966,34.500
178.038,34.500
178.965,34.500
179.988,34.594
181.158,34.531
181.987,34.562
183.111,34.562
183.986,34.562
184.961,34.562
185.984,34.594
186.960,34.625
188.032,34.625
188.983,34.625
189.985,34.594
190.960,34.625
192.276,34.625
193.106,34.625
193.979,34.656
194.956,34.656
195.978,34.625
196.954,34.625
197.982,34.625
198.952,34.594
200.183,34.625
200.951,34.625
201.983,34.625
203.101,34.562
204.023,34.562
204.949,34.531
206.027,34.562
206.948,34.562
207.986,34.562
209.193,34.562
209.970,34.562
210.945,34.562
211.969,34.594
212.944,34.656
213.967,34.656
215.040,34.656
215.966,34.656
217.039,34.688
217.968,34.719
218.989,34.688
220.210,34.719
220.988,34.750
222.013,34.750
222.999,34.750
223.962,34.750
225.378,34.844
226.009,34.875
227.033,34.844
227.959,34.812
228.982,34.844
229.965,34.812
230.981,34.781
231.957,34.781
232.980,34.781
234.056,34.781
235.028,34.719
235.954,34.688
237.322,34.688
237.966,34.719
238.977,34.688
239.963,34.688
241.219,34.656
241.953,34.625
243.023,34.656
243.988,34.656
245.071,34.625
245.997,34.625
247.069,34.656
248.046,34.656
248.970,34.688
249.945,34.719
251.018,34.750
251.996,34.719
253.360,34.750
254.043,34.781
254.980,34.781
255.990,34.812
256.965,34.812
258.089,34.781
258.964,34.812
259.939,34.812
260.963,34.812
261.995,34.844
262.962,34.844
263.988,34.781
264.961,34.812
266.033,34.719
266.987,34.688
267.998,34.688
269.007,34.656
269.987,34.656
270.957,34.688
271.981,34.688
272.955,34.656
274.028,34.688
274.978,34.625
275.978,34.750
276.965,34.781
277.977,34.781
278.952,34.781
279.976,34.781
281.047,34.781
281.975,34.781
282.974,34.844
283.973,34.812
285.243,34.844
285.972,34.844
286.947,34.875
287.971,34.875
289.020,34.875
289.970,34.844
290.945,34.844
292.312,34.844
292.943,34.844
293.967,34.875
295.041,34.906
296.015,34.906
296.990,34.875
298.013,34.875
298.943,34.875
299.966,34.906
300.938,34.906
302.108,34.938
302.986,34.938
303.961,34.969
304.936,34.938
306.008,34.906
306.938,34.875
307.959,34.875
308.934,34.875
309.957,34.875
311.003,34.906
312.091,34.906
312.992,34.906
313.958,34.875
314.979,34.875
315.953,34.906
316.977,34.969
317.952,34.938
