df_hash,22ZHK4.724P3P
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YWVP
person_label,V66
date_time_start,2025-10-31_17-05-59.075000_+03
date_time_start_unix,1761915959.075
date_time_end,2025-10-31_17-14-45.320000_+03
length_difference_noticed,no

time,heart_rate
10.044,46
11.360,46
12.141,46
13.018,46
14.383,46
15.114,46
16.238,46
17.214,83
18.088,83
19.022,82
20.184,80
21.062,80
21.988,82
23.160,83
24.035,84
24.967,83
26.172,82
27.107,81
27.989,80
29.423,79
30.034,79
30.923,79
32.134,80
33.010,80
33.883,80
35.102,80
35.979,79
36.857,79
38.076,79
39.051,79
39.879,79
41.049,79
41.927,79
43.000,80
44.023,80
44.998,80
45.827,80
47.001,80
47.923,80
48.801,80
49.976,80
50.995,80
51.775,81
53.014,81
53.871,83
54.748,83
55.967,84
56.844,84
57.869,84
58.941,84
59.818,84
60.745,85
61.915,85
62.792,86
63.718,85
64.888,84
65.840,84
66.692,83
68.009,83
68.837,82
69.698,82
70.836,82
71.762,82
72.664,82
73.858,81
74.736,81
75.613,81
76.832,81
77.711,82
78.640,81
79.806,81
80.725,82
81.610,83
82.782,84
83.706,84
84.604,83
85.754,82
86.680,81
87.557,80
88.741,80
89.653,80
90.531,81
91.750,81
92.654,82
93.505,82
94.772,82
95.601,82
96.527,82
97.721,82
98.575,82
99.503,82
100.671,82
101.597,82
102.475,82
103.645,82
104.571,82
105.472,83
106.667,83
107.545,83
108.422,83
109.690,82
110.639,82
111.396,82
112.615,82
113.492,82
114.370,83
115.933,84
116.466,85
117.397,85
118.809,84
119.442,83
120.368,82
121.536,82
122.440,82
123.340,82
124.514,82
125.436,82
126.314,82
127.484,82
128.410,82
129.294,83
130.750,84
131.384,84
132.288,84
133.529,84
134.398,84
135.235,84
136.454,84
137.334,84
138.258,84
139.428,84
140.305,84
141.232,84
142.402,84
143.298,84
144.254,84
145.619,84
146.302,84
147.204,84
148.373,84
149.275,84
150.153,83
151.372,84
152.253,84
153.127,85
154.348,84
155.245,84
156.100,82
157.712,81
158.197,80
159.123,79
160.293,79
161.170,79
162.097,79
163.335,79
164.193,80
165.085,80
166.244,81
167.169,81
168.048,82
169.312,83
170.140,84
171.018,85
172.321,85
173.116,85
174.289,84
175.213,84
176.100,84
177.014,83
178.188,83
179.062,81
179.992,80
181.161,79
182.084,79
182.962,79
184.132,79
185.058,80
185.936,81
187.233,81
188.038,82
188.959,81
190.131,81
191.058,80
191.981,79
193.349,79
193.983,80
194.906,80
196.076,81
197.297,81
197.883,81
199.050,81
200.013,81
200.854,81
202.072,81
202.949,81
203.831,81
205.046,81
205.931,81
206.801,82
208.075,82
208.897,82
209.823,82
210.993,81
211.910,81
212.797,81
213.970,82
214.893,82
215.780,83
216.990,84
217.867,84
218.745,84
219.964,84
220.847,84
221.723,84
222.944,85
223.815,84
224.692,84
225.911,84
226.789,83
227.715,82
228.885,81
229.767,80
230.689,80
231.859,80
232.785,80
233.663,80
234.881,80
235.764,80
236.636,80
237.858,80
238.755,80
239.610,80
240.830,80
241.755,81
242.632,82
243.802,82
244.680,81
245.606,81
246.776,81
247.704,82
248.588,82
249.774,81
250.682,82
251.589,81
252.772,84
253.945,85
254.528,84
255.746,88
256.624,90
257.550,93
258.720,90
259.598,91
260.524,90
261.986,90
262.627,90
263.503,90
264.668,90
265.594,97
266.471,99
267.690,102
268.616,103
269.445,103
270.673,103
271.541,101
272.422,101
273.638,100
274.584,99
275.594,98
276.953,97
277.489,95
278.439,96
279.635,94
280.511,93
281.389,93
282.608,93
283.486,93
284.363,92
285.590,92
286.459,91
287.337,91
288.575,91
289.482,90
290.359,89
291.700,88
292.556,87
293.333,86
294.993,87
295.429,87
296.307,87
297.528,88
298.403,88
299.283,88
300.450,88
301.417,88
302.255,88
303.523,88
304.360,88
305.230,87
306.447,86
307.324,86
308.250,85
309.421,86
310.298,86
311.224,85
312.394,85
313.272,85
314.198,88
315.370,86
316.294,86
317.175,86
318.346,86
319.268,86
320.344,86
321.364,87
322.242,87
323.119,88
324.399,88
325.222,88
326.142,89
327.385,90
328.194,91
329.135,91
330.288,90
331.212,89
332.092,88
333.259,88
334.186,87
335.065,88
336.282,88
337.159,89
338.037,90
339.276,91
340.137,91
341.075,91
342.230,90
343.110,90
344.033,89
345.203,89
346.081,90
347.007,91
348.177,92
349.103,92
350.078,92
351.151,92
352.077,92
352.958,93
354.538,94
355.051,94
355.954,94
357.147,94
358.025,94
358.902,94
360.145,94
360.998,94
361.973,94
363.095,95
364.045,95
364.909,96
366.069,96
367.190,97
367.872,96
369.055,96
369.971,95
370.846,95
372.016,94
373.035,94
373.822,95
375.136,95
375.916,94
376.794,95
378.070,94
378.890,94
379.767,94
381.040,94
381.864,95
382.888,95
383.965,94
384.867,94
385.812,94
386.982,94
387.860,94
388.741,93
389.907,92
390.834,91
391.711,91
392.881,91
393.808,91
394.685,91
395.904,92
396.781,92
397.905,93
398.880,93
399.765,93
400.681,93
401.987,93
402.729,92
403.655,93
404.825,94
405.751,93
406.629,93
407.848,96
408.725,98
409.606,100
410.824,102
411.699,103
412.576,103
413.795,103
414.673,102
415.550,101
416.769,100
417.646,100
418.573,100
419.744,100
420.661,100
421.601,101
422.716,103
423.643,104
424.523,105
