df_hash,22ZHK4.724P3P
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YWVP
person_label,V66
date_time_start,2025-10-31_17-05-59.075000_+03
date_time_start_unix,1761915959.075
date_time_end,2025-10-31_17-14-45.320000_+03
length_difference_noticed,no

time,battery
7.899,14
17.896,14
27.910,14
37.903,14
47.875,14
57.882,14
68.019,14
77.905,14
87.920,14
97.893,14
107.888,14
117.881,14
127.876,14
137.868,13
147.959,13
157.856,13
167.850,13
177.892,13
187.886,13
197.880,13
207.982,13
217.965,13
227.861,13
237.960,13
247.854,13
257.940,13
267.987,13
277.928,13
287.873,13
297.871,13
307.861,13
317.855,13
327.849,13
337.843,13
347.841,13
357.830,13
367.824,13
377.867,13
387.909,13
397.957,13
407.857,13
417.891,13
427.836,13
437.830,13
447.966,13
457.818,13
467.860,13
477.854,13
487.847,12
497.892,12
507.841,12
517.883,12
