df_hash,22ZHK4.724P3P
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YWVP
person_label,V66
date_time_start,2025-10-31_17-05-59.075000_+03
date_time_start_unix,1761915959.075
date_time_end,2025-10-31_17-14-45.320000_+03
length_difference_noticed,no

time,ppg_quality
58.022,97
60.042,96
62.062,100
64.082,102
66.102,102
67.112,101
69.132,101
71.152,104
73.172,102
75.192,98
77.212,102
80.242,105
82.262,106
83.272,109
84.282,110
86.302,111
88.322,108
89.332,108
90.342,109
92.362,110
93.372,110
95.392,109
97.412,110
98.422,109
99.432,107
100.442,106
101.452,105
102.462,104
103.472,105
104.482,105
106.502,103
108.522,102
109.532,102
110.542,102
111.552,101
112.562,99
113.572,97
114.582,95
116.602,94
117.612,94
118.622,96
119.632,97
121.652,97
123.672,101
124.682,100
125.692,100
126.702,99
127.712,100
129.732,98
131.752,92
132.762,91
134.782,94
136.802,98
138.822,98
139.832,101
140.842,104
141.852,107
143.872,107
145.892,106
147.912,104
149.932,103
150.942,101
152.962,99
153.972,100
154.982,97
157.002,97
159.022,97
161.042,99
163.062,101
164.072,102
166.092,101
167.102,100
169.122,98
170.132,95
172.152,95
174.172,98
176.192,102
178.212,109
180.232,112
181.242,112
183.262,113
185.282,112
187.302,109
189.322,110
191.342,111
192.352,111
193.362,111
194.372,114
196.392,117
198.412,116
199.422,116
200.432,114
202.452,115
203.462,115
204.472,113
206.492,111
207.502,112
209.522,114
211.542,115
213.562,115
215.582,116
217.602,117
219.622,115
220.632,116
222.652,118
224.672,120
226.692,119
228.712,118
230.732,121
231.742,123
232.752,122
233.762,122
235.782,124
237.802,124
238.812,124
239.822,122
240.832,121
241.842,118
242.852,114
243.862,107
244.872,107
246.892,107
247.902,105
248.912,101
250.932,74
252.952,52
253.962,55
254.972,50
255.982,47
258.002,44
260.022,39
261.032,44
262.042,47
264.062,52
266.082,47
268.102,45
269.112,41
270.122,49
271.132,59
273.152,70
275.172,78
277.192,85
278.202,87
279.212,91
281.232,90
282.242,89
283.252,89
284.262,92
286.282,92
288.302,96
290.322,105
291.332,107
292.342,107
294.362,106
295.372,104
296.382,102
297.392,100
299.412,96
301.432,95
303.452,86
305.472,79
306.482,76
308.502,73
310.522,79
312.542,82
314.562,66
316.582,58
318.602,51
319.612,47
321.632,53
323.652,53
324.662,58
325.672,62
327.692,61
329.712,66
330.722,64
331.732,57
332.742,65
334.762,86
335.772,91
336.782,98
338.802,104
340.822,105
342.842,100
343.852,98
345.872,94
347.892,88
349.912,71
351.932,62
352.942,61
354.962,72
355.972,74
356.982,78
359.002,88
361.022,97
363.042,111
365.062,102
366.072,96
367.082,89
368.092,93
370.112,87
371.122,86
372.132,82
373.142,83
374.152,82
376.172,82
378.192,66
379.202,57
381.222,39
383.242,36
385.262,24
387.272,29
389.292,55
391.312,81
392.322,85
394.342,90
396.362,105
398.382,94
400.402,74
401.412,68
403.432,65
405.452,54
406.462,50
407.472,51
408.482,55
409.492,59
411.512,67
413.532,71
414.542,75
416.562,87
418.582,92
420.602,93
421.612,91
423.632,82
424.642,79
427.672,81
429.692,88
431.712,93
433.732,97
434.742,100
435.752,102
436.762,101
438.782,103
440.802,99
442.822,96
444.842,95
446.862,94
449.892,88
451.912,103
453.932,112
455.952,120
456.962,123
457.972,126
458.982,130
461.002,127
463.022,127
465.042,125
467.062,119
469.082,117
470.092,119
471.102,117
472.112,119
474.132,115
476.152,112
478.172,116
480.192,117
482.212,116
483.222,115
484.232,119
485.242,121
487.262,121
489.282,121
491.302,122
492.312,121
493.322,121
495.342,121
496.352,120
498.372,114
499.382,108
500.392,99
502.412,94
504.432,80
505.442,60
506.452,58
507.462,60
509.482,52
511.502,45
513.522,28
514.532,32
515.542,48
518.572,42
519.582,62
520.592,79
522.612,100
