df_hash,22ZHK4.724P3P
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YWVP
person_label,V66
date_time_start,2025-10-31_17-05-59.075000_+03
date_time_start_unix,1761915959.075
date_time_end,2025-10-31_17-14-45.320000_+03
length_difference_noticed,no

time,quality
10.048,100
11.367,100
12.189,6
13.021,0
14.386,0
15.118,35
16.241,26
17.359,59
18.091,68
19.064,60
20.187,73
21.072,75
21.995,68
23.207,69
24.039,76
25.010,69
26.175,78
27.111,75
28.006,80
29.426,79
30.179,71
31.007,65
32.228,70
33.155,64
33.889,62
35.108,69
35.983,74
36.860,77
38.079,78
39.054,81
39.882,80
41.052,74
41.930,76
43.003,78
44.027,81
45.002,78
45.833,77
47.198,74
47.926,79
48.804,66
50.169,64
51.002,71
51.784,74
53.018,67
53.874,63
54.753,72
55.980,75
56.848,78
57.875,78
58.947,77
59.822,71
60.748,63
61.917,67
62.798,60
63.721,59
64.892,71
65.961,73
66.741,72
68.012,75
68.840,73
69.964,72
70.839,70
71.765,70
72.738,60
73.861,70
74.739,67
75.617,59
76.835,64
77.758,70
78.644,70
79.811,66
80.733,55
81.613,60
82.929,68
83.710,66
84.684,66
85.759,67
86.686,68
87.561,73
88.777,59
89.663,58
90.534,68
91.753,76
92.971,74
93.508,71
94.779,65
95.606,62
96.531,70
97.798,68
98.589,67
99.599,72
100.675,72
101.600,73
102.478,73
103.648,79
104.574,76
105.475,74
106.671,69
107.549,66
108.427,69
109.695,77
110.645,78
111.399,80
112.621,76
113.496,76
114.385,74
115.938,68
116.473,66
117.540,56
118.814,39
119.492,52
120.416,70
121.542,70
122.443,70
123.343,75
124.610,74
125.443,71
126.318,67
127.488,66
128.416,67
129.339,73
130.753,77
131.388,73
132.603,72
133.534,74
134.402,75
135.239,72
136.459,73
137.576,70
138.261,70
139.431,72
140.309,74
141.237,72
142.407,75
143.526,75
144.259,77
145.625,74
146.307,73
147.210,74
148.378,76
149.281,77
150.157,75
151.375,72
152.445,66
153.130,67
154.397,55
155.518,36
156.104,54
157.715,69
158.200,75
159.127,73
160.296,78
161.174,72
162.146,69
163.421,77
164.196,80
165.218,76
166.341,71
167.315,66
168.142,69
169.315,64
170.144,67
171.021,66
172.327,60
173.312,53
174.299,63
175.555,68
176.237,67
177.018,52
178.331,45
179.111,60
180.285,71
181.258,65
182.088,75
182.968,78
184.137,70
185.063,63
185.942,67
187.237,72
188.230,70
188.970,72
190.276,70
191.155,68
191.992,75
193.354,61
194.080,53
194.909,62
196.080,70
197.301,69
197.977,68
199.053,68
200.174,68
200.860,59
202.076,65
202.956,67
203.927,66
205.049,69
206.021,71
206.804,69
208.266,68
208.900,56
209.826,53
210.997,64
211.915,65
212.801,66
214.113,72
214.899,68
215.920,71
216.993,70
217.871,68
218.749,71
219.967,75
220.941,74
221.915,72
222.988,72
223.820,71
224.695,69
225.915,67
226.794,73
227.721,72
228.888,70
229.958,75
230.692,70
231.862,71
232.792,72
233.667,73
234.884,71
235.810,72
236.639,70
237.953,72
238.762,72
239.615,71
240.978,69
241.758,60
242.637,56
243.805,55
244.683,45
245.610,45
246.779,47
247.849,49
248.632,51
249.777,41
250.825,41
251.700,39
252.831,38
253.949,45
254.531,36
255.749,50
256.627,45
257.553,48
258.723,18
259.609,0
260.527,24
261.989,0
262.818,24
263.547,26
264.674,47
265.598,62
266.475,58
267.739,59
268.620,52
269.449,47
270.764,54
271.544,70
272.568,75
273.641,71
274.859,70
275.737,69
276.958,67
277.492,68
278.443,49
279.646,49
280.515,48
281.392,47
282.613,52
283.489,51
284.366,63
285.779,66
286.464,69
287.341,69
288.994,67
289.485,57
290.362,54
291.704,71
292.560,72
293.382,73
294.996,73
295.432,73
296.310,69
297.575,68
298.407,71
299.427,74
300.454,66
301.672,66
302.279,64
303.570,67
304.646,44
305.426,51
306.450,54
307.328,55
308.254,53
309.423,64
310.301,62
311.228,42
312.397,37
313.275,38
314.201,39
315.566,36
316.298,31
317.371,39
318.491,50
319.272,48
320.347,48
321.368,49
322.248,50
323.124,51
324.406,53
325.313,52
326.147,48
327.389,55
328.241,53
329.362,51
330.432,54
331.215,50
332.287,57
333.275,53
334.189,58
335.161,52
336.288,60
337.165,56
338.041,56
339.502,58
340.377,57
341.354,58
342.233,61
343.264,61
344.036,61
345.207,62
346.085,62
347.010,62
348.180,67
349.107,62
350.081,56
351.154,62
352.081,52
353.006,50
354.541,59
355.055,58
356.229,59
357.151,61
358.032,62
358.907,64
360.218,68
361.002,57
361.977,57
363.098,63
364.048,62
364.959,62
366.073,63
367.196,52
367.876,51
369.142,57
370.017,54
370.849,49
372.019,49
373.038,54
373.868,50
375.141,53
375.924,40
376.799,44
378.075,49
378.895,41
379.773,42
381.233,46
381.891,45
382.894,45
384.009,40
384.935,43
385.826,49
386.988,41
387.864,42
388.933,43
389.910,57
390.839,62
391.717,61
392.884,68
393.811,65
394.690,65
395.907,49
396.784,49
397.913,50
398.926,51
399.950,53
400.685,59
402.000,71
402.732,67
403.659,57
404.829,50
405.755,48
406.634,41
407.851,45
408.729,45
409.612,73
410.969,72
411.710,70
412.580,61
413.799,59
414.676,60
415.553,68
416.772,63
417.650,70
418.576,66
419.949,67
420.666,65
421.744,50
422.720,57
423.646,55
424.669,63
425.743,59
