df_hash,22ZHK4.FHJRBH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.B9Y6
person_label,v139
date_time_start,2026-04-14_16-01-41.301000_+03
date_time_start_unix,1776164501.301
date_time_end,2026-04-14_16-10-25.541000_+03
length_difference_noticed,no

time,heart_rate
8.659,46
9.537,46
10.731,47
11.633,47
12.511,46
13.817,46
14.656,46
15.484,46
16.655,46
17.581,46
18.502,46
19.691,46
20.555,46
21.475,85
22.651,55
23.528,58
24.406,61
25.640,62
26.502,60
27.428,72
28.599,78
29.504,73
30.402,71
31.573,72
32.450,72
33.376,72
34.546,71
35.472,71
36.351,71
37.520,71
38.451,71
39.323,71
40.537,71
41.420,71
42.593,71
43.471,84
44.394,91
45.271,90
46.591,92
47.367,92
48.343,92
49.464,92
50.399,93
51.219,93
52.441,93
53.315,93
54.192,93
55.411,93
56.293,94
57.166,94
58.385,94
59.558,94
60.140,95
61.359,94
62.238,95
63.114,95
64.381,96
65.262,95
66.087,95
67.318,95
68.184,97
69.134,97
70.280,96
71.223,97
72.084,97
73.254,97
74.131,97
75.061,96
76.276,95
77.105,95
78.103,95
79.201,95
80.183,95
81.005,95
82.175,95
83.101,95
83.979,95
85.149,94
86.075,93
86.953,93
88.123,93
89.049,93
89.931,93
91.100,93
92.075,94
92.900,94
94.154,95
94.996,94
95.874,96
97.044,96
97.970,96
98.847,96
100.066,94
100.944,93
101.821,92
103.040,92
103.917,93
104.823,93
106.013,94
106.890,94
107.771,94
108.989,94
109.864,94
110.824,94
111.988,94
112.985,94
113.764,94
114.990,94
115.811,94
116.738,94
117.912,94
118.786,95
119.759,96
120.889,95
121.758,95
122.689,94
123.854,93
124.780,94
125.680,94
126.828,94
127.757,93
128.641,93
130.194,93
130.732,93
131.850,93
132.795,93
133.801,93
134.578,93
135.748,92
136.674,93
137.552,93
138.722,93
139.650,92
140.525,92
141.695,92
142.817,92
143.502,92
144.669,92
145.599,92
146.722,92
147.645,92
148.568,92
149.446,92
150.664,92
151.542,92
152.455,93
153.668,93
154.515,93
155.393,93
157.148,92
157.493,92
158.415,92
159.589,92
160.514,93
161.389,94
162.569,94
163.533,94
164.362,93
165.532,93
166.458,93
167.336,94
168.556,94
169.432,95
170.309,95
171.534,95
172.405,93
173.287,94
174.452,93
175.390,93
176.263,93
177.475,93
178.352,96
179.230,95
180.450,95
181.326,95
182.252,94
183.422,94
184.299,94
185.177,94
186.395,94
187.273,94
188.332,94
189.369,94
190.321,94
191.124,95
192.343,95
193.221,95
194.179,94
195.316,94
196.217,94
197.177,94
198.604,95
199.193,95
200.093,96
201.312,96
202.140,96
203.067,96
204.237,95
205.211,95
206.040,95
207.210,95
208.088,95
209.014,95
210.233,95
211.214,95
211.987,95
213.157,95
214.087,95
214.961,95
216.131,95
217.301,95
217.971,95
219.145,95
220.031,96
220.908,95
222.083,95
223.030,95
223.882,95
225.057,95
225.979,95
226.904,97
228.172,95
228.951,95
229.829,95
231.047,95
231.925,95
232.810,95
234.021,95
234.899,95
236.097,95
236.994,95
237.875,95
238.749,90
239.968,94
240.949,95
241.752,97
242.942,97
243.819,98
244.700,98
245.915,98
246.797,98
247.671,98
248.889,98
249.766,98
250.790,97
251.862,96
252.792,95
253.620,95
254.840,94
255.713,95
256.641,94
257.809,95
258.837,95
259.695,95
260.815,94
261.660,94
262.586,94
263.756,94
264.634,94
265.560,94
266.730,94
267.607,94
268.582,94
269.704,95
270.581,94
271.507,94
272.678,94
273.853,94
274.481,94
275.800,94
276.528,95
277.473,94
278.631,94
279.550,92
280.452,92
281.598,92
282.524,92
283.402,92
284.578,92
285.499,92
286.375,92
287.549,92
288.569,92
289.349,92
290.519,92
291.447,92
292.375,92
293.492,98
294.427,94
295.318,100
296.566,99
297.392,101
298.269,99
299.439,99
300.366,99
301.244,99
302.560,99
303.339,99
304.217,99
305.436,99
306.313,104
307.190,96
308.410,99
309.286,98
310.164,98
311.382,97
312.260,97
313.284,97
314.358,97
315.478,97
316.111,97
317.353,97
318.207,97
319.109,97
320.306,97
321.180,97
322.058,103
323.570,96
324.158,105
325.032,100
326.250,102
327.128,100
328.054,101
329.224,105
330.101,106
331.027,108
332.198,106
333.075,107
334.111,107
335.171,106
336.048,106
336.975,105
338.149,105
339.071,105
339.951,105
341.118,105
342.070,105
342.922,105
344.092,105
345.028,105
345.896,104
347.065,104
347.991,97
348.869,101
350.039,94
350.967,91
351.846,86
353.043,84
353.939,86
354.821,85
356.032,85
356.912,85
357.790,85
358.991,85
359.886,85
360.824,85
361.982,90
362.860,87
363.737,87
364.959,87
365.837,87
366.711,87
367.978,87
368.810,87
369.687,87
370.903,87
371.780,81
372.658,90
373.877,90
374.754,94
375.631,90
376.854,91
377.728,90
378.611,90
379.824,90
380.701,90
381.633,90
382.797,90
383.824,90
384.557,92
385.795,90
386.648,94
387.577,95
388.745,97
389.622,98
390.529,99
391.718,100
392.596,101
393.473,101
394.692,102
395.569,101
396.447,101
397.665,101
398.626,101
399.420,101
400.647,101
401.516,101
402.443,101
403.613,101
404.490,105
405.370,105
406.684,106
407.464,105
408.341,104
409.564,103
410.437,103
411.315,103
412.533,103
413.411,103
414.337,103
415.508,103
416.386,103
417.304,103
418.481,103
419.507,103
420.284,103
421.457,103
422.332,103
