df_hash,22ZHK4.FHJRBH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.B9Y6
person_label,v139
date_time_start,2026-04-14_16-01-41.301000_+03
date_time_start_unix,1776164501.301
date_time_end,2026-04-14_16-10-25.541000_+03
length_difference_noticed,no

time,ppg_quality
57.577,45
60.607,40
62.627,32
63.637,30
64.647,38
66.657,21
70.697,10
71.707,12
73.727,14
75.747,23
77.767,34
78.777,38
80.797,41
82.817,46
83.827,40
84.837,41
86.857,35
88.877,45
90.897,45
92.917,47
93.927,51
95.947,53
97.967,59
99.987,56
102.007,68
103.017,64
105.037,67
107.057,69
109.077,65
110.087,63
111.097,61
112.107,60
113.117,58
115.137,50
116.147,46
118.167,33
120.187,9
122.207,5
124.227,6
125.237,11
126.247,16
127.257,26
129.277,71
131.297,79
132.307,85
133.317,78
134.327,116
135.337,110
136.347,116
137.357,120
138.367,114
139.377,110
141.397,125
142.407,122
144.427,103
145.437,96
146.447,86
148.467,82
149.477,85
150.487,80
151.497,67
152.507,63
153.517,62
154.527,52
155.537,65
156.547,67
157.557,53
159.577,25
161.597,30
163.617,37
164.627,39
166.647,42
168.667,59
170.687,71
172.707,73
173.717,70
174.727,72
175.737,68
177.757,64
179.777,64
181.797,65
183.817,63
185.837,58
186.847,54
187.857,54
188.867,52
190.887,52
192.907,53
194.927,59
196.947,65
197.957,66
199.977,64
201.997,60
203.007,51
204.017,42
205.027,46
207.047,61
208.057,41
209.067,54
211.087,45
213.107,55
215.127,44
217.147,16
218.157,36
219.167,17
220.177,14
221.187,21
222.197,26
224.217,24
226.237,21
227.247,24
229.267,28
230.277,33
231.287,36
233.307,61
235.327,74
236.337,86
237.347,84
239.367,70
240.377,64
241.387,58
244.417,23
246.437,23
248.457,38
249.467,48
251.487,58
252.497,58
253.507,60
255.527,57
257.547,50
259.567,41
261.577,42
262.587,45
263.597,34
264.607,35
266.627,36
268.647,40
270.667,43
272.687,43
274.707,63
275.717,62
276.727,57
277.737,74
278.747,76
280.767,58
281.777,48
283.797,31
285.817,25
286.827,45
288.847,40
290.867,67
292.887,90
293.897,90
295.917,90
296.927,79
298.947,50
300.967,27
301.977,18
303.997,17
306.017,8
308.037,8
310.057,28
311.067,28
313.087,17
315.107,1
317.127,17
324.197,26
326.217,29
328.237,26
329.247,30
330.257,42
332.277,44
335.307,40
337.327,49
338.337,65
339.347,81
341.367,66
343.387,37
344.397,20
345.407,11
346.417,12
353.487,1
355.507,7
357.527,17
359.547,27
361.567,5
363.587,10
364.597,15
365.607,10
367.627,33
368.637,32
370.657,31
372.677,48
373.687,43
374.697,54
376.717,49
378.737,29
379.747,26
381.767,40
382.777,40
383.787,43
385.807,56
387.827,58
388.837,66
389.847,69
390.857,68
392.877,70
394.897,50
396.917,40
397.927,62
399.947,80
400.957,94
401.967,101
402.977,105
403.987,97
406.007,103
408.027,89
410.047,71
412.067,64
415.097,57
417.117,45
419.137,71
421.157,65
422.167,59
423.177,56
424.187,59
426.207,63
429.237,42
430.247,44
431.257,38
433.277,33
434.287,36
435.297,39
437.317,40
439.337,40
441.357,60
442.367,68
444.387,67
445.397,88
446.407,96
448.427,110
450.447,104
451.457,69
453.477,64
454.487,73
455.497,58
457.517,76
459.537,73
461.557,62
464.587,48
466.607,18
479.737,1
481.757,30
483.777,38
485.797,21
486.807,25
487.817,29
488.827,27
490.847,32
492.867,42
493.877,48
495.897,60
496.907,57
498.927,43
499.937,42
500.947,37
501.957,33
503.977,24
504.987,17
505.997,20
508.017,49
510.037,54
512.057,46
514.077,45
516.097,47
518.117,20
520.137,20
