df_hash,22ZHK4.FHJRBH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.B9Y6
person_label,v139
date_time_start,2026-04-14_16-01-41.301000_+03
date_time_start_unix,1776164501.301
date_time_end,2026-04-14_16-10-25.541000_+03
length_difference_noticed,no

time,temperature
4.694,29.625
5.611,29.672
6.661,29.688
7.587,29.734
8.611,29.719
9.586,29.781
10.610,29.766
11.585,29.797
12.647,29.812
13.584,29.812
14.760,29.797
15.586,29.797
16.606,29.812
17.681,29.812
18.605,29.859
19.600,29.844
20.899,29.875
21.579,29.891
22.603,29.891
23.582,29.906
24.601,29.953
25.626,29.984
26.600,29.984
27.578,30.016
28.793,30.016
29.630,30.016
30.597,30.062
31.627,30.031
32.596,30.062
33.620,30.062
34.600,30.078
35.619,30.078
36.594,30.109
37.618,30.094
38.598,30.125
39.616,30.156
40.591,30.172
41.740,30.266
42.690,30.266
43.619,30.297
44.589,30.312
45.613,30.312
46.600,30.344
47.612,30.359
48.618,30.406
49.610,30.422
50.585,30.438
51.609,30.422
52.636,30.438
53.639,30.438
54.583,30.453
55.606,30.484
57.024,30.453
57.605,30.484
58.827,30.484
59.611,30.516
60.579,30.516
61.603,30.531
62.697,30.547
63.634,30.547
64.577,30.547
65.650,30.547
66.729,30.562
67.611,30.578
68.580,30.594
69.599,30.594
70.573,30.594
71.751,30.594
72.573,30.625
73.644,30.656
74.667,30.656
75.594,30.656
76.618,30.672
77.593,30.672
78.568,30.641
79.592,30.641
80.643,30.656
81.736,30.656
82.625,30.625
83.589,30.609
84.639,30.547
85.636,30.562
86.612,30.547
87.587,30.562
88.611,30.625
89.586,30.656
90.610,30.688
91.733,30.688
92.619,30.781
93.583,30.797
94.607,30.906
95.583,30.938
96.606,30.938
97.583,30.953
98.801,30.938
99.602,30.938
100.614,30.906
101.577,30.922
102.601,30.875
103.576,30.906
104.600,30.891
105.575,30.938
106.618,30.953
107.722,30.953
108.597,30.953
109.669,30.953
110.656,30.969
111.571,30.953
112.594,30.984
113.614,31.000
114.593,31.016
115.568,31.000
116.591,30.984
117.617,31.000
118.590,31.031
119.565,31.047
120.588,31.078
121.574,31.094
122.686,31.125
123.659,31.125
124.586,31.156
125.561,31.141
126.733,31.156
127.754,31.156
128.583,31.188
129.606,31.141
130.581,31.141
131.608,31.156
132.774,31.125
133.604,31.047
134.678,31.062
135.602,31.156
136.577,31.297
137.601,31.406
138.576,31.469
139.600,31.625
140.574,31.719
141.598,31.797
142.745,31.906
143.603,32.062
144.593,32.156
145.657,32.125
146.736,32.125
147.594,32.156
148.812,32.156
149.593,32.156
150.569,32.188
151.591,32.188
152.569,32.188
153.664,32.219
154.565,32.188
155.588,32.219
156.928,32.188
157.732,32.156
158.666,32.156
159.585,32.156
160.652,32.125
161.584,32.125
162.713,32.125
163.587,32.125
164.558,32.125
165.581,32.094
166.556,32.125
167.580,32.156
168.633,32.156
169.578,32.125
170.602,32.125
171.577,32.125
172.552,32.125
173.575,32.062
174.599,32.125
175.579,32.125
176.623,32.125
177.606,32.094
178.596,32.062
179.620,32.031
180.595,32.031
181.592,32.031
182.593,32.031
183.569,32.062
184.602,32.031
185.567,32.062
186.883,32.125
187.565,32.125
188.614,32.125
189.639,32.125
190.592,32.156
191.566,32.188
192.595,32.156
193.636,32.156
194.591,32.125
195.560,32.125
196.584,32.062
197.559,32.094
198.613,32.125
199.557,32.125
200.585,32.094
201.556,32.094
202.581,32.062
203.556,32.062
204.587,32.062
205.559,32.062
206.577,32.062
207.552,32.062
208.972,32.062
209.550,32.062
210.574,32.094
211.549,32.094
212.573,32.156
213.703,32.125
214.571,32.125
215.552,32.156
216.610,32.156
217.545,32.156
218.815,32.156
219.557,32.156
220.567,32.188
221.575,32.188
222.593,32.188
223.590,32.219
224.564,32.219
225.562,32.219
226.563,32.250
227.616,32.281
228.562,32.312
229.585,32.219
230.560,32.219
231.584,32.250
232.559,32.250
233.731,32.219
234.558,32.219
235.581,32.281
236.605,32.281
237.579,32.219
238.556,32.188
239.585,32.281
240.848,32.281
241.723,32.281
242.565,32.281
243.577,32.312
244.696,32.312
245.574,32.250
246.549,32.219
247.621,32.250
248.599,32.250
249.571,32.281
250.547,32.281
251.622,32.312
252.573,32.281
253.569,32.281
254.814,32.312
255.572,32.312
256.542,32.344
257.566,32.344
258.687,32.344
259.678,32.312
260.548,32.312
261.563,32.344
262.538,32.344
263.562,32.281
264.537,32.250
265.904,32.281
266.536,32.281
267.559,32.312
268.829,32.344
269.558,32.375
270.533,32.375
271.556,32.375
272.542,32.406
273.850,32.438
274.530,32.438
275.655,32.438
276.577,32.531
277.571,32.562
278.624,32.562
279.648,32.625
280.575,32.719
281.551,32.719
282.573,32.781
283.553,32.875
284.571,32.969
285.790,33.000
286.571,32.969
287.545,33.000
288.766,33.000
289.569,33.031
290.568,33.000
291.551,33.031
292.566,33.031
293.564,33.000
294.570,33.000
295.540,33.000
296.907,33.000
297.539,32.969
298.562,33.000
299.537,32.969
300.561,32.969
301.587,32.938
302.568,32.938
303.634,32.938
304.565,32.969
305.533,32.938
306.557,32.969
307.621,32.938
308.561,32.906
309.530,32.938
310.778,32.938
311.530,32.938
312.552,32.906
313.576,32.938
314.555,32.938
315.675,32.969
316.550,33.000
