df_hash,22ZHK4.FHJRBH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.B9Y6
person_label,v139
date_time_start,2026-04-14_16-01-41.301000_+03
date_time_start_unix,1776164501.301
date_time_end,2026-04-14_16-10-25.541000_+03
length_difference_noticed,no

time,quality
8.663,100
9.540,100
11.149,100
11.636,0
12.515,0
13.824,0
14.753,20
15.488,37
16.658,27
17.584,38
18.510,41
19.927,34
20.558,47
21.477,56
22.659,32
23.532,25
24.411,32
25.643,28
26.506,31
27.432,53
28.603,62
29.507,45
30.409,38
31.621,17
32.454,29
33.380,0
34.595,0
35.476,0
36.354,5
37.523,3
38.593,0
39.329,34
40.540,41
41.424,45
42.597,47
43.614,67
44.400,69
45.274,67
46.594,60
47.371,60
48.347,70
49.471,61
50.402,65
51.222,64
52.538,66
53.323,70
54.196,61
55.414,46
56.340,49
57.170,50
58.389,47
59.561,48
60.143,47
61.362,46
62.580,46
63.117,48
64.385,46
65.313,43
66.091,38
67.599,39
68.190,40
69.139,46
70.287,32
71.307,35
72.089,44
73.257,40
74.141,43
75.106,43
76.280,57
77.109,52
78.107,54
79.205,59
80.188,59
81.010,61
82.181,64
83.105,61
83.982,69
85.152,67
86.083,62
86.957,69
88.126,65
89.052,42
89.937,39
91.197,41
92.078,42
92.905,45
94.363,43
95.000,32
95.878,73
97.047,80
97.973,65
98.855,43
100.070,55
100.960,71
101.824,65
103.045,55
103.922,68
104.941,76
106.017,75
106.894,81
107.865,82
109.084,80
109.867,73
111.034,72
112.009,75
112.987,66
113.768,51
114.995,48
115.815,40
116.742,34
118.008,33
118.790,41
119.764,40
120.932,38
121.761,39
122.736,47
123.859,54
124.783,62
125.953,84
126.831,74
128.000,11
128.683,0
130.197,100
130.779,100
131.861,0
132.927,0
133.804,0
134.582,18
135.752,36
136.680,30
137.555,33
138.725,30
139.659,27
140.529,0
141.699,0
142.827,0
143.597,30
144.672,0
145.646,0
146.726,0
147.691,20
148.572,59
149.449,74
150.668,76
151.545,81
152.458,79
153.930,78
154.519,71
155.396,74
157.151,45
157.589,47
158.420,42
159.634,39
160.526,47
161.392,56
162.707,61
163.537,64
164.365,67
165.535,67
166.467,59
167.341,62
168.563,73
169.435,77
170.316,84
171.540,85
172.414,65
173.431,44
174.458,32
175.482,27
176.305,25
177.478,30
178.356,41
179.233,79
180.455,77
181.329,75
182.256,74
183.426,72
184.303,66
185.180,66
186.399,62
187.277,66
188.348,72
189.373,70
190.325,79
191.127,83
192.347,81
193.227,75
194.246,77
195.319,80
196.220,78
197.219,74
198.608,78
199.198,80
200.098,77
201.317,74
202.144,71
203.070,69
204.240,58
205.215,56
206.044,52
207.213,48
208.091,47
209.017,45
210.236,44
211.217,45
211.991,43
213.161,39
214.135,0
214.979,0
216.137,45
217.304,48
218.133,53
219.257,59
220.034,65
220.914,74
222.224,75
223.151,64
223.885,66
225.152,60
225.985,44
226.907,48
228.176,39
228.957,26
229.832,29
231.051,12
231.928,0
232.854,9
234.025,0
234.909,0
236.111,0
236.998,0
238.020,19
238.756,26
239.971,25
240.951,55
241.773,64
242.945,73
243.823,78
244.940,81
245.918,80
246.890,80
247.675,81
248.892,81
249.770,77
250.796,65
251.870,70
252.806,76
253.717,58
255.234,55
255.719,58
256.649,45
257.813,48
258.840,52
259.908,55
261.075,46
261.663,33
262.590,27
263.763,18
264.638,19
265.563,12
266.735,4
267.611,1
268.586,0
269.708,25
270.584,21
271.511,0
272.684,24
273.856,36
274.484,18
275.803,8
276.531,58
277.556,43
278.676,44
279.554,36
280.455,35
281.601,29
282.527,26
283.406,0
284.818,0
285.546,0
286.378,0
287.748,8
288.572,0
289.352,0
290.522,0
291.543,0
292.378,26
293.510,32
294.565,0
295.347,32
296.598,33
297.397,31
298.273,0
299.453,0
300.369,0
301.340,0
302.563,30
303.342,30
304.220,23
305.441,26
306.316,26
307.194,38
308.556,0
309.289,0
310.167,3
311.386,8
312.264,13
313.287,0
314.505,0
315.481,32
316.116,30
317.430,0
318.212,9
319.233,8
320.358,13
321.184,1
322.061,22
323.581,27
324.401,27
325.035,21
326.255,22
327.131,29
328.057,25
329.227,43
330.109,34
331.035,38
332.204,28
333.084,54
334.296,57
335.176,61
336.054,64
336.980,71
338.394,53
339.074,55
340.194,39
341.134,31
342.073,30
342.926,0
344.095,31
345.313,30
345.903,36
347.069,22
347.995,33
348.872,26
350.042,36
351.063,38
351.894,42
353.551,42
353.945,37
354.917,34
356.330,37
356.916,34
357.796,29
359.256,29
359.889,25
360.828,24
361.988,32
362.863,0
363.740,6
365.204,0
365.882,10
366.715,16
367.981,25
368.819,6
369.928,0
370.906,32
371.787,29
372.661,28
373.882,33
374.759,41
375.637,0
376.997,4
377.731,11
378.657,13
379.828,5
380.705,12
381.871,0
382.801,25
383.827,0
384.653,23
385.869,0
386.651,23
387.581,30
388.748,58
389.626,63
390.532,62
391.721,68
392.599,62
393.476,66
394.695,66
395.572,36
396.450,28
397.669,34
398.630,13
399.424,5
400.739,4
401.520,0
402.446,0
403.617,0
404.493,43
405.468,30
406.687,47
407.467,45
408.344,41
409.755,41
410.449,0
411.318,7
412.537,7
413.414,0
414.341,0
415.511,0
416.436,20
417.506,29
418.486,18
419.516,0
420.291,23
421.503,13
422.335,0
