df_hash,22ZHK4.FHJRBH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.B9Y6
person_label,v139
date_time_start,2026-04-14_16-01-41.301000_+03
date_time_start_unix,1776164501.301
date_time_end,2026-04-14_16-10-25.541000_+03
length_difference_noticed,no

time,acc_mag
4.467,0.971
4.497,0.973
4.527,0.965
4.557,0.968
4.587,0.971
4.617,0.970
4.647,0.973
4.677,0.974
4.707,0.964
4.737,0.971
4.767,0.964
4.797,0.967
4.827,0.971
4.857,0.972
4.887,0.972
4.917,0.968
4.947,0.968
4.977,0.973
5.007,0.970
5.037,0.969
5.067,0.973
5.097,0.973
5.127,0.970
5.157,0.964
5.187,0.971
5.217,0.974
5.247,0.970
5.277,0.972
5.307,0.971
5.337,0.972
5.367,0.966
5.397,0.968
5.427,0.970
5.457,0.971
5.487,0.974
5.517,0.977
5.547,0.969
5.577,0.966
5.607,0.973
5.637,0.974
5.667,0.972
5.697,0.976
5.727,0.973
5.757,0.970
5.787,0.966
5.817,0.965
5.847,0.974
5.877,0.973
5.907,0.968
5.937,0.969
5.967,0.966
5.997,0.968
6.027,0.971
6.057,0.970
6.087,0.971
6.117,0.970
6.147,0.972
6.177,0.971
6.207,0.970
6.237,0.967
6.267,0.967
6.297,0.975
6.327,0.972
6.357,0.970
6.387,0.964
6.417,0.963
6.447,0.968
6.477,0.971
6.507,0.970
6.537,0.972
6.567,0.971
6.597,0.962
6.627,0.966
6.657,0.974
6.687,0.967
6.717,0.970
6.747,0.971
6.777,0.971
6.807,0.965
6.837,0.970
6.867,0.974
6.897,0.966
6.927,0.969
6.957,0.971
6.987,0.973
7.017,0.972
7.047,0.966
7.077,0.970
7.107,0.970
7.137,0.975
7.167,0.971
7.197,0.969
7.227,0.968
7.257,0.966
7.287,0.962
7.317,0.966
7.347,0.975
7.377,0.978
7.407,0.979
7.437,0.969
7.467,0.969
7.497,0.972
7.527,0.963
7.557,0.972
7.587,0.974
7.617,0.972
7.647,0.974
7.677,0.972
7.707,0.966
7.737,0.971
7.767,0.973
7.797,0.968
7.827,0.969
7.857,0.972
7.887,0.972
7.917,0.967
7.947,0.970
7.977,0.970
8.007,0.973
8.037,0.971
8.067,0.969
8.097,0.967
8.127,0.973
8.157,0.976
8.187,0.970
8.217,0.970
8.247,0.976
8.277,0.969
8.307,0.969
8.337,0.969
8.367,0.967
8.397,0.965
8.427,0.973
8.457,0.970
8.487,0.975
8.517,0.973
8.547,0.970
8.577,0.962
8.607,0.974
8.637,0.975
8.667,0.973
8.697,0.971
8.727,0.967
8.757,0.970
8.787,0.974
8.817,0.970
8.847,0.973
8.877,0.970
8.907,0.974
8.937,0.967
8.967,0.969
8.997,0.973
9.027,0.978
9.057,0.974
9.087,0.970
9.117,0.970
9.147,0.971
9.177,0.969
9.207,0.972
9.237,0.970
9.267,0.973
9.297,0.968
9.327,0.972
9.357,0.968
9.387,0.968
9.417,0.974
9.447,0.970
9.477,0.969
9.507,0.976
9.537,0.970
9.567,0.971
9.597,0.971
9.627,0.972
9.657,0.972
9.687,0.975
9.717,0.975
9.747,0.968
9.777,0.979
9.807,0.977
9.837,0.975
9.867,0.974
9.897,0.968
9.927,0.967
9.957,0.973
9.987,0.974
10.017,0.972
10.047,0.966
10.077,0.969
10.107,0.973
10.137,0.977
10.167,0.967
10.197,0.970
10.227,0.978
10.257,0.966
10.287,0.970
10.317,0.972
10.347,0.977
10.377,0.968
10.407,0.968
10.437,0.967
10.467,0.970
10.497,0.970
10.527,0.972
10.557,0.968
10.587,0.970
10.617,0.967
10.647,0.971
10.677,0.975
10.707,0.968
10.737,0.970
10.767,0.973
10.797,0.972
10.827,0.969
10.857,0.972
10.887,0.969
10.917,0.970
10.947,0.967
10.977,0.968
11.007,0.972
11.037,0.968
11.067,0.973
11.097,0.967
11.127,0.972
11.157,0.977
11.187,0.974
11.217,0.965
11.247,0.976
11.277,0.971
11.307,0.968
11.337,0.974
11.367,0.974
11.397,0.973
11.427,0.972
11.457,0.962
11.487,0.966
11.517,0.971
11.547,0.973
11.577,0.972
11.607,0.973
11.637,0.971
11.667,0.964
11.697,0.968
11.727,0.974
11.757,0.977
11.787,0.970
11.817,0.968
11.847,0.972
11.877,0.973
11.907,0.968
11.937,0.973
11.967,0.978
11.997,0.971
12.027,0.968
12.057,0.960
12.087,0.973
12.117,0.971
12.147,0.976
12.177,0.977
12.207,0.970
12.237,0.967
12.267,0.969
12.297,0.969
12.327,0.971
12.357,0.976
12.387,0.971
12.417,0.968
12.447,0.968
12.477,0.973
12.507,0.970
12.537,0.973
12.567,0.974
12.597,0.974
12.627,0.971
12.657,0.966
12.687,0.963
12.717,0.971
12.747,0.973
12.777,0.975
12.807,0.972
12.837,0.968
12.867,0.968
12.897,0.967
12.927,0.970
12.957,0.974
12.987,0.974
13.017,0.974
13.047,0.967
13.077,0.980
13.107,0.970
13.137,0.970
13.167,0.972
13.197,0.973
13.227,0.969
13.257,0.971
13.287,0.965
13.317,0.972
13.347,0.971
13.377,0.974
13.407,0.969
13.437,0.966
13.467,0.968
13.497,0.972
13.527,0.974
13.557,0.973
13.587,0.967
13.617,0.966
13.647,0.971
13.677,0.973
13.707,0.975
13.737,0.969
13.767,0.971
13.797,0.972
13.827,0.970
