df_hash,22ZHK4.FHJRBH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.B9Y6
person_label,v139
date_time_start,2026-04-14_16-01-41.301000_+03
date_time_start_unix,1776164501.301
date_time_end,2026-04-14_16-10-25.541000_+03
length_difference_noticed,no

time,battery
11.487,56
21.482,56
31.475,56
41.518,56
51.511,56
61.505,56
71.548,56
81.493,56
91.489,56
101.480,56
111.474,56
121.563,56
131.515,55
141.501,55
151.494,55
161.486,55
171.528,55
181.484,55
191.491,55
201.458,55
211.475,55
221.500,55
231.448,54
241.528,54
251.472,54
261.465,54
271.459,54
281.452,54
291.548,54
301.496,54
311.432,54
321.425,54
331.454,54
341.459,54
351.453,53
361.449,53
371.440,53
381.444,53
391.524,53
401.419,53
411.412,53
421.406,53
431.448,53
441.489,53
451.434,53
461.428,53
471.421,53
481.414,53
491.505,52
501.414,52
511.492,52
