df_hash,22ZHK4.FHJRBH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.B9Y6
person_label,v139
date_time_start,2026-04-14_16-01-41.301000_+03
date_time_start_unix,1776164501.301
date_time_end,2026-04-14_16-10-25.541000_+03
length_difference_noticed,no

time,rr_int
13.486,8905
13.489,10
13.632,20
13.635,45
13.681,20
13.690,15
13.729,15
13.734,10
13.737,15
13.925,10
13.928,20
14.074,385
14.217,125
14.899,485
14.924,10
15.290,130
15.436,450
15.582,125
15.874,105
15.878,395
16.557,10
16.852,665
17.240,225
17.535,505
18.068,205
18.117,530
18.122,10
18.237,10
18.479,185
18.499,15
18.800,20
18.804,490
18.808,10
19.490,10
19.580,710
19.586,15
19.592,10
20.996,15
21.000,1335
21.006,10
21.287,10
21.295,430
21.969,10
22.553,640
22.700,585
22.704,145
22.709,20
22.849,10
23.090,20
23.383,425
23.389,210
23.824,10
23.919,500
23.923,10
23.927,15
24.604,85
25.439,650
25.478,790
26.162,10
26.165,695
26.843,10
26.850,750
26.990,10
26.994,85
27.038,15
27.042,10
27.047,10
27.285,10
27.547,15
27.575,485
28.111,10
28.355,640
28.799,230
29.138,380
29.362,10
30.063,620
31.133,670
31.137,1065
32.127,10
32.255,1050
32.547,355
32.551,10
33.815,330
33.961,960
33.965,185
34.086,10
34.208,70
34.211,15
34.351,10
35.036,315
35.039,670
36.301,10
36.837,1270
36.841,550
37.568,10
38.251,705
38.398,660
38.788,195
39.080,440
39.518,210
39.535,455
39.765,10
40.057,105
40.348,480
40.737,250
40.741,330
41.323,15
41.469,665
41.472,15
41.478,65
41.569,135
41.577,20
41.580,10
41.584,10
41.615,10
41.619,15
41.859,15
41.863,20
41.870,15
41.873,10
41.876,220
43.126,620
43.130,605
43.176,10
43.808,10
43.813,630
43.992,10
44.541,165
44.637,490
44.640,145
44.735,20
44.738,15
44.742,15
44.783,15
44.786,10
44.790,10
44.793,15
45.174,20
45.320,435
45.760,185
45.905,485
45.909,145
46.003,10
46.444,100
46.588,385
46.977,10
46.980,605
47.123,10
47.127,125
47.130,15
47.270,15
47.273,15
47.709,20
47.719,430
47.722,10
47.757,10
47.760,15
47.806,10
47.809,10
47.812,25
47.859,90
48.247,10
48.250,410
48.781,10
48.784,600
48.927,10
48.930,10
48.976,10
48.979,10
48.983,15
49.027,10
49.030,20
49.033,15
49.074,35
49.077,35
49.125,15
49.133,10
49.513,20
49.757,425
50.232,245
50.344,450
50.356,10
50.390,160
50.395,20
50.878,15
51.025,490
51.173,165
51.462,20
51.465,450
51.708,10
51.855,150
51.860,25
52.145,15
52.148,450
52.291,15
52.295,130
52.343,20
52.346,10
52.393,15
52.437,15
52.827,25
52.831,410
52.974,10
52.977,15
53.364,135
53.412,480
53.416,20
53.562,10
53.613,10
53.619,10
53.949,20
53.952,485
54.632,10
55.899,620
55.908,1325
56.054,15
56.142,155
56.146,10
56.191,100
56.194,20
56.198,10
56.202,10
56.289,10
56.345,105
56.348,15
56.438,150
56.630,15
57.118,630
57.702,10
57.709,575
57.872,10
58.531,120
58.534,495
59.034,170
59.067,480
59.116,10
59.214,90
59.217,10
59.220,110
59.264,10
59.267,10
60.042,380
60.046,505
61.165,10
61.456,1275
62.702,1245
62.821,235
62.825,20
62.829,15
63.269,330
63.455,10
63.459,80
63.487,145
63.602,10
63.799,310
64.391,10
64.479,630
64.922,65
64.926,500
65.259,10
65.351,300
65.363,15
65.375,10
65.379,10
65.387,20
65.457,15
65.656,220
65.662,10
66.429,830
66.575,15
66.737,330
66.871,10
67.991,1255
68.381,10
68.390,355
68.536,220
68.574,10
68.817,190
69.500,700
69.647,10
69.792,305
69.798,10
70.482,650
70.670,10
70.676,125
70.870,10
71.060,25
71.077,405
71.181,10
71.206,160
71.212,15
71.218,15
71.602,20
71.745,425
72.279,15
72.285,635
72.474,10
72.477,155
73.107,25
73.113,460
73.208,160
73.211,15
73.651,25
73.791,490
73.797,10
74.278,185
74.911,480
74.915,655
75.057,10
75.112,10
75.116,135
75.119,10
75.235,25
75.253,30
75.256,15
75.260,10
75.499,15
76.033,325
76.179,590
76.325,10
76.329,270
76.423,15
76.427,15
76.476,15
76.483,25
76.487,15
76.569,10
76.716,250
78.031,10
78.036,1255
78.129,10
78.133,125
78.177,20
78.181,15
78.184,10
78.227,15
78.231,15
78.280,10
78.283,10
78.291,10
78.300,15
78.389,95
78.519,15
78.523,10
78.665,260
78.669,10
79.350,10
79.354,655
79.933,15
79.937,650
80.079,10
80.084,130
80.176,10
80.225,10
80.231,90
80.236,15
80.240,10
80.277,10
80.282,10
80.307,20
80.359,20
80.371,10
80.377,15
80.383,10
80.387,10
80.493,200
80.616,10
81.747,910
81.883,360
81.891,10
82.019,120
82.032,105
82.420,25
82.565,375
82.569,10
82.614,170
82.617,15
82.621,10
82.711,15
82.715,15
83.150,20
83.153,425
83.156,10
83.248,10
83.784,155
83.788,500
83.835,10
83.931,10
84.369,150
84.564,515
84.664,10
85.055,160
85.198,525
85.203,15
85.247,25
85.252,65
85.258,15
85.344,15
85.350,20
85.393,25
85.398,20
85.403,15
85.448,10
85.734,15
85.737,365
85.881,10
86.320,115
86.330,515
87.001,15
87.005,595
87.151,10
87.196,135
87.200,15
87.204,10
87.208,10
87.248,10
