df_hash,22ZHK4.PSDHWK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.K20S
person_label,V29
date_time_start,2025-08-06_11-13-35.368000_+03
date_time_start_unix,1754460815.368
date_time_end,2025-08-06_11-15-12.561000_+03
length_difference_noticed,no

time,acc_mag
3.214,1.047
3.244,1.042
3.274,1.046
3.304,1.040
3.334,1.044
3.364,1.046
3.394,1.046
3.424,1.042
3.454,1.042
3.484,1.042
3.514,1.043
3.544,1.046
3.574,1.041
3.604,1.050
3.634,1.045
3.664,1.043
3.694,1.046
3.724,1.043
3.754,1.043
3.784,1.039
3.814,1.044
3.844,1.049
3.874,1.050
3.904,1.041
3.934,1.042
3.964,1.044
3.994,1.044
4.024,1.043
4.054,1.044
4.084,1.044
4.114,1.045
4.144,1.043
4.174,1.045
4.204,1.043
4.234,1.048
4.264,1.042
4.294,1.046
4.324,1.044
4.354,1.047
4.384,1.049
4.414,1.049
4.444,1.041
4.474,1.038
4.504,1.042
4.534,1.050
4.564,1.050
4.594,1.042
4.624,1.038
4.654,1.043
4.684,1.047
4.714,1.046
4.744,1.043
4.774,1.044
4.804,1.046
4.834,1.043
4.864,1.046
4.894,1.046
4.924,1.044
4.954,1.048
4.984,1.040
5.014,1.044
5.044,1.048
5.074,1.045
5.104,1.046
5.134,1.043
5.164,1.041
5.194,1.043
5.224,1.050
5.254,1.045
5.284,1.042
5.314,1.046
5.344,1.045
5.374,1.042
5.404,1.044
5.434,1.041
5.464,1.045
5.494,1.046
5.524,1.040
5.554,1.041
5.584,1.048
5.614,1.044
5.644,1.042
5.674,1.047
5.704,1.042
5.734,1.046
5.764,1.047
5.794,1.043
5.824,1.039
5.854,1.044
5.884,1.043
5.914,1.046
5.944,1.043
5.974,1.043
6.004,1.049
6.034,1.045
6.064,1.042
6.094,1.041
6.124,1.041
6.154,1.046
6.184,1.041
6.214,1.046
6.244,1.047
6.274,1.046
6.304,1.048
6.334,1.042
6.364,1.037
6.394,1.043
6.424,1.042
6.454,1.046
6.484,1.043
6.514,1.044
6.544,1.043
6.574,1.043
6.604,1.049
6.634,1.043
6.664,1.041
6.694,1.044
6.724,1.042
6.754,1.043
6.784,1.042
6.814,1.043
6.844,1.045
6.874,1.043
6.904,1.043
6.934,1.045
6.964,1.049
6.994,1.049
7.024,1.040
7.054,1.040
7.084,1.051
7.114,1.045
7.144,1.043
7.174,1.044
7.204,1.040
7.234,1.043
7.264,1.048
7.294,1.048
7.324,1.041
7.354,1.042
7.384,1.045
7.414,1.042
7.444,1.041
7.474,1.040
7.504,1.043
7.534,1.045
7.564,1.047
7.594,1.041
7.624,1.041
7.654,1.052
7.684,1.045
7.714,1.041
7.744,1.045
7.774,1.050
7.804,1.046
7.834,1.045
7.864,1.042
7.894,1.039
7.924,1.044
7.954,1.048
7.984,1.052
8.014,1.034
8.044,1.040
8.074,1.047
8.104,1.046
8.134,1.044
8.164,1.039
8.194,1.044
8.224,1.045
8.254,1.048
8.284,1.046
8.314,1.042
8.344,1.047
8.374,1.044
8.404,1.046
8.434,1.041
8.464,1.039
8.494,1.045
8.524,1.045
8.554,1.042
8.584,1.042
8.614,1.041
8.644,1.048
8.674,1.050
8.704,1.040
8.734,1.041
8.764,1.043
8.794,1.050
8.824,1.043
8.854,1.042
8.884,1.040
8.914,1.041
8.944,1.044
8.974,1.044
9.004,1.043
9.034,1.040
9.064,1.045
9.094,1.039
9.124,1.045
9.154,1.047
9.184,1.042
9.214,1.046
9.244,1.046
9.274,1.045
9.304,1.048
9.334,1.048
9.364,1.047
9.394,1.051
9.424,1.040
9.454,1.041
9.484,1.043
9.514,1.041
9.544,1.037
9.574,1.038
9.604,1.039
9.634,1.043
9.664,1.047
9.694,1.043
9.724,1.043
9.754,1.043
9.784,1.043
9.814,1.041
9.844,1.041
9.874,1.040
9.904,1.046
9.934,1.043
9.964,1.043
9.994,1.042
10.024,1.041
10.054,1.041
10.084,1.048
10.114,1.049
10.144,1.041
10.174,1.041
10.204,1.046
10.234,1.042
10.264,1.042
10.294,1.040
10.324,1.043
10.354,1.046
10.384,1.042
10.414,1.041
10.444,1.039
10.474,1.042
10.504,1.042
10.534,1.037
10.564,1.044
10.594,1.043
10.624,1.047
10.654,1.046
10.684,1.043
10.714,1.046
10.744,1.041
10.774,1.043
10.804,1.047
10.834,1.050
10.864,1.041
10.894,1.042
10.924,1.042
10.954,1.041
10.984,1.042
11.014,1.043
11.044,1.040
11.074,1.045
11.104,1.045
11.134,1.049
11.164,1.040
11.194,1.046
11.224,1.042
11.254,1.044
11.284,1.042
11.314,1.043
11.344,1.046
11.374,1.041
11.404,1.040
11.434,1.040
11.464,1.041
11.494,1.048
11.524,1.046
11.554,1.038
11.584,1.042
11.614,1.042
11.644,1.046
11.674,1.039
11.704,1.044
11.734,1.043
11.764,1.043
11.794,1.041
11.824,1.042
11.854,1.045
11.884,1.044
11.914,1.045
11.944,1.041
11.974,1.036
12.004,1.044
12.034,1.046
12.064,1.046
12.094,1.043
12.124,1.042
12.154,1.043
12.184,1.042
12.214,1.046
12.244,1.051
12.274,1.044
12.304,1.040
12.334,1.045
12.364,1.046
12.394,1.042
12.424,1.040
12.454,1.040
12.484,1.044
12.514,1.043
12.544,1.041
12.574,1.043
