df_hash,22ZHK4.JVF6GR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2LVU
person_label,V157
date_time_start,2026-06-08_20-04-04.390000_+03
date_time_start_unix,1780931044.39
date_time_end,2026-06-08_20-13-20.835000_+03
length_difference_noticed,no

time,temperature
5.507,34.500
6.669,34.500
7.598,34.469
8.521,34.469
9.545,34.469
10.658,34.469
11.592,34.531
12.568,34.531
13.545,34.531
14.809,34.562
15.496,34.562
16.618,34.594
18.034,34.625
18.564,34.625
19.539,34.625
20.660,34.625
21.659,34.625
22.610,34.625
23.608,34.656
24.512,34.656
25.489,34.656
26.608,34.656
27.586,34.688
28.606,34.688
29.533,34.688
30.654,34.719
31.636,34.750
32.604,34.781
33.530,34.812
34.554,34.812
35.529,34.812
36.799,34.844
37.579,34.844
38.597,34.875
39.526,34.938
40.647,34.906
41.627,34.875
42.795,34.875
43.574,34.875
44.548,34.906
45.530,34.938
46.647,35.000
47.627,35.062
48.793,35.031
49.520,35.031
50.641,35.031
51.617,35.062
52.592,35.062
53.567,35.031
54.542,35.031
55.516,35.031
56.638,34.969
57.628,34.938
58.592,34.969
59.563,34.969
60.538,34.969
61.759,35.000
62.585,35.000
63.723,35.000
64.535,34.969
65.714,35.000
66.602,34.969
67.607,34.938
68.582,34.938
69.573,34.906
70.532,34.938
71.653,34.938
73.020,34.938
73.602,34.938
74.534,34.969
75.553,35.000
76.625,35.031
77.600,35.062
78.584,35.094
79.550,35.125
80.531,35.094
81.647,35.031
82.622,35.031
83.548,35.062
84.572,35.031
85.939,35.062
87.060,35.062
87.594,35.094
88.644,35.062
89.544,35.000
90.519,35.062
92.010,35.062
92.664,35.094
93.601,35.094
94.860,35.094
95.543,35.062
96.661,34.969
97.595,35.000
98.761,35.000
99.635,35.031
100.513,35.031
101.639,35.062
102.609,35.031
103.587,35.000
104.560,35.000
105.534,35.000
106.701,35.062
107.630,35.031
108.849,35.031
109.580,35.062
110.555,35.062
111.628,35.062
112.603,35.062
113.919,35.062
114.554,35.062
115.580,35.062
116.600,35.062
117.624,35.094
118.637,35.094
119.574,35.094
120.549,35.094
121.524,35.125
122.645,35.094
123.573,35.125
124.595,35.062
125.525,35.062
126.523,35.062
127.622,35.062
128.599,35.094
129.568,35.062
130.544,35.094
131.518,35.094
132.639,35.125
133.647,35.125
134.589,35.188
135.616,35.188
136.539,35.219
137.611,35.219
138.735,35.219
139.564,35.250
140.536,35.219
141.511,35.250
142.633,35.250
143.608,35.219
144.583,35.250
145.509,35.281
146.533,35.281
147.654,35.375
148.650,35.375
149.604,35.312
150.681,35.344
151.653,35.281
152.626,35.281
153.601,35.312
154.591,35.312
155.551,35.281
156.562,35.281
157.647,35.188
158.622,35.250
159.613,35.281
160.575,35.281
161.547,35.281
162.620,35.281
163.740,35.312
164.569,35.281
165.545,35.281
166.541,35.281
167.641,35.281
168.616,35.250
169.598,35.219
170.570,35.250
171.541,35.281
172.670,35.219
173.646,35.188
174.563,35.188
175.538,35.250
176.522,35.219
177.594,35.219
178.614,35.188
179.591,35.250
180.560,35.219
181.534,35.219
182.658,35.281
183.582,35.312
184.754,35.312
185.581,35.250
186.556,35.312
187.530,35.312
188.511,35.312
189.589,35.281
190.751,35.281
191.528,35.250
192.503,35.250
193.624,35.219
194.604,35.250
195.526,35.281
196.695,35.250
197.524,35.281
198.654,35.375
199.621,35.375
200.547,35.375
201.768,35.406
202.521,35.406
203.620,35.406
204.593,35.406
205.568,35.375
206.563,35.375
207.523,35.312
208.643,35.312
209.614,35.281
210.492,35.312
211.564,35.219
212.787,35.219
213.614,35.219
214.610,35.219
215.561,35.250
216.537,35.281
217.516,35.281
218.644,35.281
219.625,35.312
220.607,35.312
221.557,35.406
222.533,35.469
223.634,35.469
224.580,35.469
225.554,35.438
226.705,35.438
227.505,35.438
228.675,35.406
229.604,35.406
230.576,35.406
231.849,35.406
232.526,35.375
233.745,35.375
234.574,35.375
235.549,35.375
236.818,35.375
237.645,35.375
238.622,35.375
239.546,35.375
240.582,35.375
241.554,35.375
242.519,35.344
243.641,35.344
244.615,35.344
245.493,35.375
246.566,35.375
247.541,35.375
248.613,35.406
249.588,35.406
250.581,35.406
251.538,35.438
252.513,35.469
253.638,35.500
254.609,35.500
255.608,35.469
256.806,35.500
257.534,35.656
258.606,35.625
259.602,35.656
260.520,35.656
261.532,35.625
262.507,35.625
263.482,35.562
264.554,35.562
265.578,35.531
266.553,35.562
267.528,35.438
268.552,35.469
269.739,35.500
270.582,35.469
271.525,35.469
272.500,35.469
273.621,35.500
274.596,35.562
275.573,35.562
276.549,35.531
277.521,35.531
278.657,35.562
279.617,35.562
280.552,35.562
281.552,35.594
282.527,35.594
283.625,35.594
284.590,35.594
285.565,35.594
286.540,35.625
287.517,35.594
288.638,35.531
289.562,35.531
290.610,35.531
291.561,35.531
292.535,35.531
293.608,35.500
294.588,35.500
295.510,35.562
296.533,35.531
297.459,35.562
298.483,35.594
299.604,35.594
300.579,35.594
301.609,35.594
302.529,35.594
303.922,35.562
304.577,35.562
305.554,35.500
306.526,35.500
307.502,35.500
308.650,35.469
309.598,35.438
310.573,35.438
311.548,35.438
312.474,35.438
313.498,35.438
314.570,35.438
315.545,35.469
316.537,35.500
317.495,35.469
318.526,35.500
