df_hash,22ZHK4.JVF6GR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2LVU
person_label,V157
date_time_start,2026-06-08_20-04-04.390000_+03
date_time_start_unix,1780931044.39
date_time_end,2026-06-08_20-13-20.835000_+03
length_difference_noticed,no

time,acc_mag
4.607,1.044
4.637,1.051
4.667,1.059
4.697,1.033
4.727,1.070
4.757,1.067
4.787,1.057
4.817,1.043
4.847,1.044
4.877,1.052
4.907,1.050
4.937,1.034
4.967,1.036
4.997,1.035
5.027,1.032
5.057,1.042
5.087,1.030
5.117,1.024
5.147,1.021
5.177,1.021
5.207,1.015
5.237,1.040
5.267,1.050
5.297,1.047
5.327,1.043
5.357,1.040
5.387,1.038
5.417,1.038
5.447,1.036
5.477,1.040
5.507,1.042
5.537,1.039
5.567,1.038
5.597,1.051
5.627,1.055
5.657,1.041
5.687,1.035
5.717,1.026
5.747,1.025
5.777,1.042
5.807,1.032
5.837,1.035
5.867,1.039
5.897,1.043
5.927,1.043
5.957,1.038
5.987,1.034
6.017,1.036
6.047,1.031
6.077,1.031
6.107,1.035
6.137,1.034
6.167,1.030
6.197,1.034
6.227,1.031
6.257,1.031
6.287,1.050
6.317,1.041
6.347,1.037
6.377,1.033
6.407,1.035
6.437,1.037
6.467,1.027
6.497,1.036
6.527,1.034
6.557,1.034
6.587,1.036
6.617,1.037
6.647,1.034
6.677,1.034
6.707,1.033
6.737,1.036
6.767,1.030
6.797,1.045
6.827,1.044
6.857,1.041
6.887,1.034
6.917,1.032
6.947,1.033
6.977,1.027
7.007,1.029
7.037,1.043
7.067,1.046
7.097,1.040
7.127,1.034
7.157,1.036
7.187,1.034
7.217,1.033
7.247,1.032
7.277,1.038
7.307,1.021
7.337,1.044
7.367,1.043
7.397,1.041
7.427,1.035
7.457,1.026
7.487,1.035
7.517,1.029
7.547,1.043
7.577,1.044
7.607,1.037
7.637,1.031
7.667,1.032
7.697,1.040
7.727,1.038
7.757,1.030
7.787,1.037
7.817,1.031
7.847,1.034
7.877,1.058
7.907,1.042
7.937,1.035
7.967,1.022
7.997,1.033
8.027,1.035
8.057,1.028
8.087,1.037
8.117,1.043
8.147,1.038
8.177,1.038
8.207,1.040
8.237,1.041
8.267,1.034
8.297,1.033
8.327,1.036
8.357,1.023
8.387,1.042
8.417,1.048
8.447,1.034
8.477,1.033
8.507,1.034
8.537,1.037
8.567,1.032
8.597,1.037
8.627,1.038
8.657,1.035
8.687,1.033
8.717,1.037
8.747,1.036
8.777,1.036
8.807,1.030
8.837,1.039
8.867,1.034
8.897,1.029
8.927,1.049
8.957,1.039
8.987,1.033
9.017,1.034
9.047,1.037
9.077,1.040
9.107,1.027
9.137,1.038
9.167,1.036
9.197,1.038
9.227,1.036
9.257,1.037
9.287,1.040
9.317,1.035
9.347,1.028
9.377,1.036
9.407,1.025
9.437,1.046
9.467,1.044
9.497,1.039
9.527,1.030
9.557,1.030
9.587,1.033
9.617,1.035
9.647,1.034
9.677,1.042
9.707,1.037
9.737,1.034
9.767,1.035
9.797,1.037
9.827,1.042
9.857,1.031
9.887,1.037
9.917,1.034
9.947,1.028
9.977,1.049
10.007,1.040
10.037,1.032
10.067,1.029
10.097,1.035
10.127,1.036
10.157,1.033
10.187,1.039
10.217,1.036
10.247,1.026
10.277,1.024
10.307,1.034
10.337,1.042
10.367,1.044
10.397,1.033
10.427,1.032
10.457,1.029
10.487,1.043
10.517,1.045
10.547,1.037
10.577,1.033
10.607,1.032
10.637,1.034
10.667,1.030
10.697,1.025
10.727,1.039
10.757,1.042
10.787,1.039
10.817,1.033
10.847,1.034
10.877,1.035
10.907,1.036
10.937,1.031
10.967,1.035
10.997,1.029
11.027,1.047
11.057,1.049
11.087,1.037
11.117,1.030
11.147,1.027
11.177,1.030
11.207,1.032
11.237,1.033
11.267,1.046
11.297,1.042
11.327,1.035
11.357,1.033
11.387,1.032
11.417,1.036
11.447,1.039
11.477,1.034
11.507,1.041
11.537,1.036
11.567,1.035
11.597,1.049
11.627,1.033
11.657,1.033
11.687,1.032
11.717,1.034
11.747,1.040
11.777,1.030
11.807,1.036
11.837,1.035
11.867,1.036
11.897,1.036
11.927,1.034
11.957,1.034
11.987,1.037
12.017,1.035
12.047,1.045
12.077,1.042
12.107,1.025
12.137,1.047
12.167,1.043
12.197,1.038
12.227,1.038
12.257,1.034
12.287,1.044
12.317,1.038
12.347,1.040
12.377,1.032
12.407,0.989
12.437,1.008
12.467,1.021
12.497,1.014
12.527,1.022
12.557,1.015
12.587,1.018
12.617,1.002
12.647,1.009
12.677,1.015
12.707,1.017
12.737,1.021
12.767,1.027
12.797,1.030
12.827,1.036
12.857,1.049
12.887,1.072
12.917,1.068
12.947,1.064
12.977,1.066
13.007,1.051
13.037,1.048
13.067,1.026
13.097,1.017
13.127,1.021
13.157,1.026
13.187,1.009
13.217,1.022
13.247,1.022
13.277,1.003
13.307,1.019
13.337,1.032
13.367,1.037
13.397,1.037
13.427,1.035
13.457,1.031
13.487,1.016
13.517,1.023
13.547,1.033
13.577,1.030
13.607,1.027
13.637,1.023
13.667,1.036
13.697,1.035
13.727,1.028
13.757,1.039
13.787,1.031
13.817,1.024
13.847,1.021
13.877,1.026
13.907,1.027
13.937,1.023
13.967,1.031
