df_hash,22ZHK4.XSPGQY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Y4L3
person_label,V125
date_time_start,2026-04-07_16-37-59.228000_+03
date_time_start_unix,1775561879.228
date_time_end,2026-04-07_16-45-15.946000_+03
length_difference_noticed,no

time,acc_mag
-55.967,0.975
-55.937,0.978
-55.907,0.976
-55.877,0.975
-55.847,0.969
-55.817,0.975
-55.787,0.974
-55.757,0.981
-55.727,0.976
-55.697,0.969
-55.667,0.970
-55.637,0.974
-55.607,0.975
-55.577,0.976
-55.547,0.977
-55.517,0.970
-55.487,0.979
-55.457,0.975
-55.427,0.969
-55.397,0.971
-55.367,0.975
-55.337,0.977
-55.307,0.975
-55.277,0.974
-55.247,0.976
-55.217,0.973
-55.187,0.975
-55.157,0.977
-55.127,0.973
-55.097,0.975
-55.067,0.974
-55.037,0.975
-55.007,0.973
-54.977,0.971
-54.947,0.976
-54.917,0.979
-54.887,0.972
-54.857,0.973
-54.827,0.977
-54.797,0.976
-54.767,0.975
-54.737,0.979
-54.707,0.969
-54.677,0.976
-54.647,0.979
-54.617,0.973
-54.587,0.971
-54.557,0.974
-54.527,0.978
-54.497,0.974
-54.467,0.975
-54.437,0.974
-54.407,0.972
-54.377,0.972
-54.347,0.978
-54.317,0.980
-54.287,0.976
-54.257,0.974
-54.227,0.974
-54.197,0.971
-54.167,0.979
-54.137,0.977
-54.107,0.970
-54.077,0.976
-54.047,0.974
-54.017,0.973
-53.987,0.978
-53.957,0.973
-53.927,0.974
-53.897,0.979
-53.867,0.975
-53.837,0.969
-53.807,0.976
-53.777,0.972
-53.747,0.972
-53.717,0.976
-53.687,0.978
-53.657,0.972
-53.627,0.974
-53.597,0.975
-53.567,0.974
-53.537,0.976
-53.507,0.975
-53.477,0.969
-53.447,0.976
-53.417,0.982
-53.387,0.977
-53.357,0.971
-53.327,0.974
-53.297,0.972
-53.267,0.973
-53.237,0.976
-53.207,0.971
-53.177,0.974
-53.147,0.979
-53.117,0.973
-53.087,0.972
-53.057,0.971
-53.027,0.977
-52.997,0.974
-52.967,0.972
-52.937,0.976
-52.907,0.974
-52.877,0.976
-52.847,0.977
-52.817,0.975
-52.787,0.973
-52.757,0.973
-52.727,0.969
-52.697,0.980
-52.667,0.977
-52.637,0.971
-52.607,0.976
-52.577,0.973
-52.547,0.973
-52.517,0.979
-52.487,0.970
-52.457,0.976
-52.427,0.979
-52.397,0.970
-52.367,0.971
-52.337,0.975
-52.307,0.973
-52.277,0.972
-52.247,0.976
-52.217,0.972
-52.187,0.975
-52.157,0.974
-52.127,0.976
-52.097,0.975
-52.067,0.972
-52.037,0.973
-52.007,0.977
-51.977,0.971
-51.947,0.969
-51.917,0.974
-51.887,0.976
-51.857,0.979
-51.827,0.971
-51.797,0.973
-51.767,0.979
-51.737,0.974
-51.707,0.970
-51.677,0.975
-51.647,0.970
-51.617,0.972
-51.587,0.975
-51.557,0.977
-51.527,0.973
-51.497,0.977
-51.467,0.977
-51.437,0.974
-51.407,0.978
-51.377,0.974
-51.347,0.970
-51.317,0.970
-51.287,0.979
-51.257,0.978
-51.227,0.978
-51.197,0.967
-51.167,0.975
-51.137,0.974
-51.107,0.973
-51.077,0.974
-51.047,0.971
-51.017,0.971
-50.987,0.970
-50.957,0.973
-50.927,0.973
-50.897,0.973
-50.867,0.974
-50.837,0.970
-50.807,0.979
-50.777,0.979
-50.747,0.969
-50.717,0.976
-50.687,0.972
-50.657,0.973
-50.627,0.974
-50.597,0.974
-50.567,0.978
-50.537,0.976
-50.507,0.971
-50.477,0.973
-50.447,0.976
-50.417,0.972
-50.387,0.971
-50.357,0.976
-50.327,0.973
-50.297,0.973
-50.267,0.979
-50.237,0.973
-50.207,0.971
-50.177,0.975
-50.147,0.976
-50.117,0.972
-50.087,0.974
-50.057,0.975
-50.027,0.975
-49.997,0.979
-49.967,0.975
-49.937,0.970
-49.907,0.977
-49.877,0.976
-49.847,0.972
-49.817,0.969
-49.787,0.983
-49.757,0.975
-49.727,0.967
-49.697,0.969
-49.667,0.968
-49.637,0.972
-49.607,0.975
-49.577,0.974
-49.547,0.975
-49.517,0.970
-49.487,0.973
-49.457,0.973
-49.427,0.972
-49.397,0.978
-49.367,0.976
-49.337,0.974
-49.307,0.973
-49.277,0.971
-49.247,0.971
-49.217,0.978
-49.187,0.974
-49.157,0.972
-49.127,0.976
-49.097,0.976
-49.067,0.974
-49.037,0.973
-49.007,0.972
-48.977,0.973
-48.947,0.972
-48.917,0.979
-48.887,0.975
-48.857,0.973
-48.827,0.976
-48.797,0.971
-48.767,0.973
-48.737,0.977
-48.707,0.973
-48.677,0.975
-48.647,0.977
-48.617,0.975
-48.587,0.973
-48.557,0.970
-48.527,0.971
-48.497,0.981
-48.467,0.974
-48.437,0.968
-48.407,0.973
-48.377,0.978
-48.347,0.973
-48.317,0.973
-48.287,0.970
-48.257,0.967
-48.227,0.974
-48.197,0.977
-48.167,0.975
-48.137,0.975
-48.107,0.977
-48.077,0.974
-48.047,0.970
-48.017,0.974
-47.987,0.976
-47.957,0.976
-47.927,0.980
-47.897,0.970
-47.867,0.979
-47.837,0.976
-47.807,0.969
-47.777,0.971
-47.747,0.976
-47.717,0.972
-47.687,0.971
-47.657,0.972
