df_hash,22ZHK4.XSPGQY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Y4L3
person_label,V125
date_time_start,2026-04-07_16-37-59.228000_+03
date_time_start_unix,1775561879.228
date_time_end,2026-04-07_16-45-15.946000_+03
length_difference_noticed,no

time,ppg_med
-54.997,791
-54.972,908
-54.947,1096
-54.922,1197
-54.897,1158
-54.872,1117
-54.847,1225
-54.822,1423
-54.797,1498
-54.772,1377
-54.747,1247
-54.722,1314
-54.697,1497
-54.672,1508
-54.647,1246
-54.622,969
-54.597,953
-54.572,1088
-54.547,989
-54.522,523
-54.497,35
-54.472,-104
-54.447,-43
-54.422,-289
-54.397,-1015
-54.372,-1762
-54.347,-2046
-54.322,-2059
-54.297,-2462
-54.272,-3472
-54.247,-4495
-54.222,-4902
-54.197,-4942
-54.172,-5461
-54.147,-6733
-54.122,-7994
-54.097,-8444
-54.072,-8399
-54.047,-8931
-54.022,-10380
-53.997,-11780
-53.972,-12122
-53.947,-11804
-53.922,-12174
-53.897,-13654
-53.872,-15033
-53.847,-15048
-53.822,-14198
-53.797,-14169
-53.772,-15488
-53.747,-16643
-53.722,-16060
-53.697,-14366
-53.672,-13664
-53.647,-14616
-53.622,-15336
-53.597,-13866
-53.572,-10986
-53.547,-9333
-53.522,-9743
-53.497,-9861
-53.472,-7227
-53.447,-2821
-53.422,25
-53.397,235
-53.372,782
-53.347,4807
-53.322,11070
-53.297,15284
-53.272,16018
-53.247,17112
-53.222,22693
-53.197,31174
-53.172,32767
-53.147,32767
-53.122,32767
-53.097,32767
-53.072,32767
-53.047,32767
-53.022,32767
-52.997,32767
-52.972,32767
-52.947,32767
-52.922,32767
-52.897,32767
-52.872,32767
-52.847,32767
-52.822,32767
-52.797,32767
-52.772,32767
-52.747,21134
-52.722,-32768
-52.697,-32768
-52.672,-32768
-52.647,-32768
-52.622,-32768
-52.597,-32768
-52.572,-32768
-52.547,-32768
-52.522,-32768
-52.497,-32768
-52.472,-32768
-52.447,-32768
-52.422,-32768
-52.397,-32768
-52.372,-32768
-52.347,-32768
-52.322,-32768
-52.297,-32768
-52.272,-24991
-52.247,-17548
-52.222,-14822
-52.197,-14599
-52.172,-12015
-52.147,-6159
-52.122,-825
-52.097,967
-52.072,866
-52.047,2561
-52.022,6704
-51.997,10311
-51.972,11015
-51.947,10149
-51.922,10685
-51.897,13200
-51.872,15345
-51.847,15228
-51.822,13895
-51.797,13710
-51.772,15121
-51.747,16215
-51.722,15450
-51.697,13701
-51.672,12974
-51.647,13763
-51.622,14592
-51.597,14141
-51.572,12914
-51.547,12326
-51.522,12683
-51.497,12852
-51.472,11909
-51.447,10373
-51.422,9423
-51.397,9299
-51.372,9090
-51.347,8073
-51.322,6674
-51.297,5815
-51.272,5646
-51.247,5402
-51.222,4501
-51.197,3299
-51.172,2545
-51.147,2356
-51.122,2124
-51.097,1384
-51.072,426
-51.047,-153
-51.022,-272
-50.997,-434
-50.972,-1014
-50.947,-1744
-50.922,-2056
-50.897,-1782
-50.872,-1301
-50.847,-1024
-50.822,-953
-50.797,-818
-50.772,-524
-50.747,-266
-50.722,-233
-50.697,-347
-50.672,-389
-50.647,-287
-50.622,-176
-50.597,-182
-50.572,-250
-50.547,-250
-50.522,-165
-50.497,-108
-50.472,-155
-50.447,-253
-50.422,-303
-50.397,-305
-50.372,-344
-50.347,-456
-50.322,-572
-50.297,-626
-50.272,-656
-50.247,-755
-50.222,-904
-50.197,-925
-50.172,-679
-50.147,-267
-50.122,164
-50.097,473
-50.072,634
-50.047,719
-50.022,798
-49.997,868
-49.972,884
-49.947,836
-49.922,777
-49.897,762
-49.872,785
-49.847,789
-49.822,738
-49.797,652
-49.772,571
-49.747,494
-49.722,383
-49.697,225
-49.672,59
-49.647,-65
-49.622,-161
-49.597,-290
-49.572,-481
-49.547,-651
-49.522,-657
-49.497,-428
-49.472,-38
-49.447,352
-49.422,624
-49.397,772
-49.372,856
-49.347,913
-49.322,931
-49.297,887
-49.272,798
-49.247,713
-49.222,662
-49.197,636
-49.172,607
-49.147,553
-49.122,474
-49.097,375
-49.072,267
-49.047,161
-49.022,56
-48.997,-73
-48.972,-256
-48.947,-474
-48.922,-639
-48.897,-631
-48.872,-404
-48.847,-36
-48.822,322
-48.797,563
-48.772,687
-48.747,763
-48.722,836
-48.697,887
-48.672,879
-48.647,824
-48.622,778
-48.597,776
-48.572,776
-48.547,687
-48.522,460
-48.497,137
-48.472,-179
-48.447,-414
-48.422,-573
-48.397,-718
-48.372,-878
-48.347,-998
-48.322,-963
-48.297,-696
-48.272,-233
-48.247,286
-48.222,712
-48.197,978
-48.172,1117
-48.147,1195
-48.122,1239
-48.097,1233
-48.072,1162
-48.047,1053
-48.022,956
-47.997,893
-47.972,838
-47.947,757
-47.922,644
-47.897,521
-47.872,404
-47.847,287
-47.822,162
-47.797,40
-47.772,-75
-47.747,-215
-47.722,-424
-47.697,-689
-47.672,-898
-47.647,-903
-47.622,-654
-47.597,-252
-47.572,125
-47.547,378
-47.522,533
-47.497,672
-47.472,814
-47.447,895
-47.422,862
-47.397,749
-47.372,654
-47.347,635
-47.322,660
-47.297,659
-47.272,604
-47.247,527
-47.222,462
-47.197,402
-47.172,323
-47.147,223
-47.122,126
-47.097,31
