df_hash,22ZHK4.PQKCV4
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1AT4
person_label,v132
date_time_start,2026-04-07_18-21-14.430000_+03
date_time_start_unix,1775568074.43
date_time_end,2026-04-07_18-29-30.496000_+03
length_difference_noticed,no

time,ppg_med
5.381,549
5.406,631
5.431,762
5.456,832
5.481,804
5.506,775
5.531,851
5.556,989
5.581,1041
5.606,956
5.631,866
5.656,913
5.681,1041
5.706,1049
5.731,866
5.756,673
5.781,662
5.806,758
5.831,689
5.856,364
5.881,24
5.906,-72
5.931,-27
5.956,-199
5.981,-705
6.006,-1225
6.031,-1422
6.056,-1429
6.081,-1710
6.106,-2414
6.131,-3126
6.156,-3408
6.181,-3434
6.206,-3796
6.231,-4683
6.256,-5561
6.281,-5873
6.306,-5838
6.331,-6209
6.356,-7220
6.381,-8196
6.406,-8431
6.431,-8207
6.456,-8464
6.481,-9499
6.506,-10460
6.531,-10468
6.556,-9873
6.581,-9854
6.606,-10777
6.631,-11583
6.656,-11174
6.681,-9991
6.706,-9503
6.731,-10173
6.756,-10677
6.781,-9650
6.806,-7641
6.831,-6493
6.856,-6787
6.881,-6874
6.906,-5037
6.931,-1964
6.956,14
6.981,149
7.006,524
7.031,3332
7.056,7700
7.081,10630
7.106,11128
7.131,11882
7.156,15775
7.181,21690
7.206,25636
7.231,26221
7.256,27052
7.281,32135
7.306,32767
7.331,32767
7.356,32767
7.381,32767
7.406,32767
7.431,32767
7.456,32767
7.481,32767
7.506,32767
7.531,32767
7.556,32767
7.581,32767
7.606,32767
7.631,14377
7.656,-32768
7.681,-32768
7.706,-32768
7.731,-32768
7.756,-32768
7.781,-32768
7.806,-32768
7.831,-32768
7.856,-32768
7.881,-32768
7.906,-32768
7.931,-32768
7.956,-32768
7.981,-32768
8.006,-28088
8.031,-25803
8.056,-25774
8.081,-23400
8.106,-17930
8.131,-12932
8.156,-11132
8.181,-10948
8.206,-9027
8.231,-4833
8.256,-1084
8.281,119
8.306,-13
8.331,1142
8.356,4055
8.381,6629
8.406,7194
8.431,6665
8.456,7115
8.481,8956
8.506,10576
8.531,10665
8.556,9924
8.581,9949
8.606,11019
8.631,11832
8.656,11380
8.681,10293
8.706,9905
8.731,10457
8.756,10873
8.781,10297
8.806,9196
8.831,8634
8.856,8815
8.881,8894
8.906,8202
8.931,7127
8.956,6533
8.981,6579
9.006,6559
9.031,5877
9.056,4781
9.081,3943
9.106,3549
9.131,3147
9.156,2363
9.181,1435
9.206,879
9.231,814
9.256,872
9.281,736
9.306,515
9.331,486
9.356,626
9.381,617
9.406,293
9.431,-131
9.456,-354
9.481,-390
9.506,-534
9.531,-939
9.556,-1393
9.581,-1559
9.606,-1362
9.631,-1039
9.656,-832
9.681,-760
9.706,-699
9.731,-601
9.756,-533
9.781,-532
9.806,-522
9.831,-430
9.856,-315
9.881,-318
9.906,-480
9.931,-675
9.956,-738
9.981,-640
10.006,-493
10.031,-390
10.056,-301
10.081,-137
10.106,112
10.131,361
10.156,526
10.181,628
10.206,730
10.231,818
10.256,895
10.281,934
10.306,930
10.331,905
10.356,893
10.381,902
10.406,901
10.431,844
10.456,712
10.481,527
10.506,340
10.531,193
10.556,94
10.581,24
10.606,-36
10.631,-93
10.656,-131
10.681,-142
10.706,-138
10.731,-141
10.756,-165
10.781,-201
10.806,-234
10.831,-259
10.856,-290
10.881,-342
10.906,-407
10.931,-450
10.956,-436
10.981,-356
11.006,-238
11.031,-124
11.056,-43
11.081,5
11.106,43
11.131,94
11.156,153
11.181,200
11.206,216
11.231,217
11.256,238
11.281,304
11.306,391
11.331,449
11.356,445
11.381,400
11.406,368
11.431,365
11.456,358
11.481,304
11.506,223
11.531,198
11.556,298
11.581,510
11.606,758
11.631,987
11.656,1214
11.681,1464
11.706,1685
11.731,1745
11.756,1558
11.781,1189
11.806,822
11.831,595
11.856,473
11.881,302
11.906,-16
11.931,-412
11.956,-715
11.981,-824
12.006,-802
12.031,-790
12.056,-860
12.081,-954
12.106,-967
12.131,-860
12.156,-694
12.181,-548
12.206,-450
12.231,-371
12.256,-275
12.281,-154
12.306,-7
12.331,186
12.356,455
12.381,784
12.406,1099
12.431,1317
12.456,1419
12.481,1459
12.506,1504
12.531,1542
12.556,1475
12.581,1198
12.606,704
12.631,115
12.656,-392
12.681,-696
12.706,-791
12.731,-754
12.756,-672
12.781,-593
12.806,-527
12.831,-467
12.856,-411
12.881,-361
12.906,-322
12.931,-296
12.956,-273
12.981,-223
13.006,-102
13.031,110
13.056,383
13.081,632
13.106,784
13.131,832
13.156,837
13.181,868
13.206,944
13.231,1037
13.256,1124
13.281,1215
13.306,1324
13.331,1410
13.356,1371
13.381,1123
13.406,686
13.431,193
13.456,-195
13.481,-410
13.506,-497
13.531,-550
13.556,-623
13.581,-693
13.606,-713
13.631,-672
13.656,-611
13.681,-580
13.706,-593
13.731,-612
13.756,-579
13.781,-447
13.806,-201
13.831,137
13.856,512
13.881,846
13.906,1073
13.931,1184
13.956,1229
13.981,1276
14.006,1353
14.031,1419
14.056,1410
14.081,1293
14.106,1091
14.131,839
14.156,539
14.181,172
14.206,-256
14.231,-675
14.256,-976
14.281,-1093
14.306,-1041
14.331,-902
14.356,-765
14.381,-680
14.406,-656
