df_hash,22ZHK4.YPQ43H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8438
person_label,V24
date_time_start,2025-08-05_11-36-03.957000_+03
date_time_start_unix,1754375763.957
date_time_end,2025-08-05_11-44-20.112000_+03
length_difference_noticed,no

time,temperature
4.864,32.094
5.889,32.156
6.862,32.156
7.886,32.219
8.861,32.219
9.884,32.219
10.889,32.250
11.883,32.312
12.861,32.312
13.882,32.344
14.856,32.406
15.881,32.375
16.856,32.406
17.879,32.469
18.854,32.531
19.900,32.562
21.004,32.594
21.877,32.594
22.852,32.625
23.881,32.688
24.850,32.688
25.874,32.750
26.849,32.812
27.873,32.844
28.848,32.844
29.873,32.875
30.907,32.906
31.870,32.938
32.845,32.969
33.873,33.000
34.844,33.000
35.965,33.000
36.855,33.000
37.868,33.000
38.890,32.969
39.865,33.000
40.846,33.031
41.868,33.062
42.887,33.062
43.867,33.062
44.886,33.094
46.010,33.125
46.884,33.031
47.859,33.062
48.883,33.156
49.883,33.188
50.882,33.250
51.857,33.281
52.881,33.438
53.856,33.438
54.882,33.469
55.882,33.500
56.878,33.656
57.853,33.656
58.877,33.656
59.851,33.625
60.875,33.625
61.850,33.625
62.874,33.500
64.044,33.562
64.872,33.562
65.851,33.562
66.874,33.531
67.846,33.562
68.870,33.594
69.845,33.625
70.869,33.656
71.892,33.688
72.869,33.750
73.842,33.750
75.012,33.750
75.987,33.750
76.867,33.750
77.940,33.750
78.863,33.750
79.838,33.781
81.016,33.781
81.877,33.781
82.861,33.750
83.841,33.750
84.859,33.781
85.889,33.812
86.858,33.844
87.837,33.875
89.054,33.906
89.832,33.938
90.856,33.938
92.134,33.969
92.854,33.969
93.878,34.000
94.857,34.000
95.877,34.000
96.851,34.031
97.881,34.000
98.850,34.000
99.873,34.000
101.046,34.031
101.875,34.062
102.945,34.094
103.871,34.094
104.858,34.125
105.870,34.125
106.845,34.125
107.868,34.125
108.905,34.156
109.867,34.156
110.845,34.125
111.866,34.094
112.849,34.125
113.913,34.125
114.839,34.125
115.914,34.125
116.987,34.125
117.862,34.188
118.850,34.156
119.871,34.125
120.836,34.188
121.859,34.219
122.931,34.219
123.858,34.250
124.834,34.281
126.154,34.312
126.835,34.281
127.857,34.312
128.830,34.312
129.853,34.375
130.829,34.344
131.853,34.344
132.828,34.312
133.874,34.344
134.826,34.344
135.850,34.344
137.241,34.406
137.851,34.375
138.824,34.375
139.872,34.375
140.871,34.312
141.846,34.344
142.870,34.375
143.845,34.375
144.868,34.375
145.994,34.375
146.867,34.406
147.843,34.438
148.866,34.438
149.841,34.438
151.062,34.531
152.083,34.531
152.863,34.562
153.838,34.531
154.861,34.562
156.083,34.562
156.860,34.469
157.835,34.500
158.860,34.531
159.836,34.500
160.858,34.531
162.079,34.531
162.856,34.531
163.835,34.562
164.855,34.531
165.830,34.594
166.854,34.625
167.829,34.625
168.854,34.594
169.850,34.625
170.851,34.625
171.826,34.625
172.850,34.656
173.825,34.625
174.848,34.656
175.823,34.656
176.947,34.625
177.922,34.625
178.846,34.656
179.872,34.656
180.845,34.688
181.824,34.719
182.843,34.719
183.828,34.750
184.842,34.750
185.817,34.750
186.841,34.750
187.961,34.781
188.839,34.750
189.862,34.750
190.838,34.719
191.839,34.656
192.837,34.656
193.860,34.625
194.835,34.656
195.859,34.688
197.015,34.688
197.858,34.719
198.835,34.719
199.856,34.719
200.852,34.750
201.855,34.844
202.928,34.875
203.854,34.875
204.829,34.906
205.853,34.906
206.831,34.906
207.852,34.875
208.832,34.938
209.851,34.906
210.826,34.906
211.850,34.875
212.825,34.875
213.874,34.875
214.824,34.844
215.847,34.844
216.822,34.812
217.850,34.844
218.821,34.844
219.845,34.875
220.820,34.875
222.088,34.875
222.819,34.906
223.843,34.906
224.818,34.906
225.841,34.938
226.822,35.000
227.840,34.969
228.864,34.969
229.839,35.000
230.869,34.969
231.838,34.969
232.836,34.938
233.837,34.938
234.818,34.969
235.836,35.000
237.104,34.969
237.835,35.000
238.858,35.000
239.844,35.000
240.857,35.000
241.981,35.000
242.856,35.000
243.831,35.031
244.855,34.969
245.831,34.938
246.854,34.906
247.832,34.906
248.853,34.938
249.828,34.875
250.854,34.906
251.854,34.938
252.850,34.938
253.854,34.906
254.849,34.969
255.876,34.969
256.914,35.000
257.823,35.000
258.870,34.938
259.822,34.969
260.870,34.969
261.859,34.938
262.900,34.969
263.820,35.000
264.844,34.969
265.819,35.000
266.842,35.031
267.817,35.031
268.841,35.094
269.865,35.094
270.840,35.125
271.877,35.062
272.839,35.062
273.814,35.031
274.838,35.062
275.813,35.031
276.837,35.062
277.822,35.062
278.836,35.031
279.810,35.062
280.838,35.062
281.809,35.125
283.079,35.125
283.809,35.188
284.832,35.156
285.856,35.188
286.830,35.188
287.854,35.219
288.829,35.250
289.853,35.250
290.828,35.250
291.873,35.281
292.833,35.281
293.851,35.219
294.826,35.219
295.849,35.188
296.840,35.188
297.864,35.250
298.824,35.219
299.847,35.219
300.823,35.219
301.846,35.219
302.821,35.188
303.847,35.219
304.821,35.250
305.992,35.281
306.819,35.312
307.884,35.219
308.918,35.219
309.841,35.219
310.816,35.219
311.843,35.250
312.816,35.250
313.887,35.281
314.832,35.281
315.838,35.312
316.813,35.281
317.837,35.281
