df_hash,22ZHK4.JCYLLW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.AJFP
person_label,V26
date_time_start,2025-08-05_12-01-44.304000_+03
date_time_start_unix,1754377304.304
date_time_end,2025-08-05_12-09-59.263000_+03
length_difference_noticed,no

time,acc_mag
4.840,1.019
4.870,1.013
4.900,1.017
4.930,1.017
4.960,1.019
4.990,1.018
5.020,1.015
5.050,1.015
5.080,1.019
5.110,1.015
5.140,1.017
5.170,1.015
5.200,1.010
5.230,1.011
5.260,1.018
5.290,1.017
5.320,1.015
5.350,1.019
5.380,1.015
5.410,1.017
5.440,1.015
5.470,1.014
5.500,1.014
5.530,1.017
5.560,1.021
5.590,1.014
5.620,1.019
5.650,1.018
5.680,1.018
5.710,1.015
5.740,1.020
5.770,1.016
5.800,1.011
5.830,1.015
5.860,1.017
5.890,1.012
5.920,1.017
5.950,1.020
5.980,1.014
6.010,1.016
6.040,1.017
6.070,1.022
6.100,1.012
6.130,1.014
6.160,1.014
6.190,1.014
6.220,1.014
6.250,1.017
6.280,1.016
6.310,1.015
6.340,1.018
6.370,1.013
6.400,1.013
6.430,1.018
6.460,1.018
6.490,1.016
6.520,1.014
6.550,1.016
6.580,1.016
6.610,1.015
6.640,1.017
6.670,1.019
6.700,1.021
6.730,1.010
6.760,1.020
6.790,1.015
6.820,1.016
6.850,1.009
6.880,1.013
6.910,1.019
6.940,1.021
6.970,1.018
7.000,1.017
7.030,1.011
7.060,1.010
7.090,1.017
7.120,1.018
7.150,1.013
7.180,1.016
7.210,1.019
7.240,1.019
7.270,1.019
7.300,1.016
7.330,1.014
7.360,1.014
7.390,1.017
7.420,1.018
7.450,1.018
7.480,1.015
7.510,1.014
7.540,1.016
7.570,1.019
7.600,1.017
7.630,1.013
7.660,1.016
7.690,1.018
7.720,1.017
7.750,1.021
7.780,1.010
7.810,1.009
7.840,1.014
7.870,1.009
7.900,1.016
7.930,1.019
7.960,1.013
7.990,1.019
8.020,1.011
8.050,1.019
8.080,1.013
8.110,1.011
8.140,1.009
8.170,1.015
8.200,1.016
8.230,1.016
8.260,1.022
8.290,1.026
8.320,1.020
8.350,1.010
8.380,1.018
8.410,1.014
8.440,1.020
8.470,1.017
8.500,1.017
8.530,1.014
8.560,1.018
8.590,1.013
8.620,1.011
8.650,1.007
8.680,1.013
8.710,1.018
8.740,1.015
8.770,1.016
8.800,1.017
8.830,1.022
8.860,1.011
8.890,1.016
8.920,1.019
8.950,1.012
8.980,1.012
9.010,1.015
9.040,1.017
9.070,1.013
9.100,1.013
9.130,1.015
9.160,1.013
9.190,1.013
9.220,1.018
9.250,1.021
9.280,1.017
9.310,1.015
9.340,1.012
9.370,1.013
9.400,1.019
9.430,1.017
9.460,1.015
9.490,1.011
9.520,1.011
9.550,1.015
9.580,1.014
9.610,1.014
9.640,1.017
9.670,1.020
9.700,1.010
9.730,1.019
9.760,1.015
9.790,1.021
9.820,1.015
9.850,1.017
9.880,1.016
9.910,1.017
9.940,1.021
9.970,1.016
10.000,1.017
10.030,1.011
10.060,1.014
10.090,1.010
10.120,1.015
10.150,1.018
10.180,1.016
10.210,1.016
10.240,1.015
10.270,1.016
10.300,1.010
10.330,1.017
10.360,1.015
10.390,1.011
10.420,1.015
10.450,1.017
10.480,1.015
10.510,1.016
10.540,1.017
10.570,1.022
10.600,1.012
10.630,1.017
10.660,1.012
10.690,1.014
10.720,1.010
10.750,1.018
10.780,1.014
10.810,1.015
10.840,1.018
10.870,1.017
10.900,1.016
10.930,1.017
10.960,1.014
10.990,1.015
11.020,1.011
11.050,1.018
11.080,1.020
11.110,1.020
11.140,1.009
11.170,1.010
11.200,1.015
11.230,1.013
11.260,1.025
11.290,1.018
11.320,1.010
11.350,1.010
11.380,1.011
11.410,1.014
11.440,1.017
11.470,1.012
11.500,1.016
11.530,1.010
11.560,1.017
11.590,1.015
11.620,1.016
11.650,1.019
11.680,1.015
11.710,1.016
11.740,1.018
11.770,1.015
11.800,1.011
11.830,1.014
11.860,1.015
11.890,1.015
11.920,1.014
11.950,1.014
11.980,1.016
12.010,1.015
12.040,1.015
12.070,1.009
12.100,1.014
12.130,1.018
12.160,1.014
12.190,1.019
12.220,1.012
12.250,1.014
12.280,1.014
12.310,1.017
12.340,1.017
12.370,1.014
12.400,1.009
12.430,1.013
12.460,1.017
12.490,1.022
12.520,1.013
12.550,1.012
12.580,1.015
12.610,1.012
12.640,1.014
12.670,1.014
12.700,1.015
12.730,1.014
12.760,1.017
12.790,1.012
12.820,1.015
12.850,1.015
12.880,1.011
12.910,1.017
12.940,1.015
12.970,1.015
13.000,1.010
13.030,1.010
13.060,1.017
13.090,1.015
13.120,1.019
13.150,1.016
13.180,1.013
13.210,1.013
13.240,1.013
13.270,1.013
13.300,1.017
13.330,1.010
13.360,1.011
13.390,1.013
13.420,1.016
13.450,1.018
13.480,1.015
13.510,1.015
13.540,1.015
13.570,1.016
13.600,1.015
13.630,1.015
13.660,1.016
13.690,1.015
13.720,1.017
13.750,1.016
13.780,1.017
13.810,1.011
13.840,1.013
13.870,1.017
13.900,1.014
13.930,1.010
13.960,1.009
13.990,1.017
14.020,1.016
14.050,1.021
14.080,1.015
14.110,1.014
14.140,1.015
14.170,1.016
14.200,1.015
