df_hash,22ZHK4.Z5RDGQ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F750
person_label,V82(2)
date_time_start,2025-11-03_16-41-10.212000_+03
date_time_start_unix,1762173670.212
date_time_end,2025-11-03_16-49-55.970000_+03
length_difference_noticed,no

time,acc_mag
4.535,1.012
4.565,1.009
4.595,1.011
4.625,1.025
4.655,1.023
4.685,1.014
4.715,1.012
4.745,1.014
4.775,1.011
4.805,1.019
4.835,1.013
4.865,1.017
4.895,1.019
4.925,1.018
4.955,1.016
4.985,1.018
5.015,1.015
5.045,1.014
5.075,1.017
5.105,1.020
5.135,1.019
5.165,1.015
5.195,1.016
5.225,1.011
5.255,1.019
5.285,1.025
5.315,1.020
5.345,1.014
5.375,1.010
5.405,1.015
5.435,1.018
5.465,1.015
5.495,1.019
5.525,1.018
5.555,1.017
5.585,1.015
5.615,1.021
5.645,1.016
5.675,1.011
5.705,1.014
5.735,1.022
5.765,1.020
5.795,1.018
5.825,1.018
5.855,1.011
5.885,1.009
5.915,1.026
5.945,1.021
5.975,1.016
6.005,1.012
6.035,1.015
6.065,1.016
6.095,1.016
6.125,1.013
6.155,1.021
6.185,1.018
6.215,1.016
6.245,1.018
6.275,1.020
6.305,1.017
6.335,1.020
6.365,1.013
6.395,1.018
6.425,1.022
6.455,1.017
6.485,1.015
6.515,1.014
6.545,1.005
6.575,1.015
6.605,1.025
6.635,1.033
6.665,1.008
6.695,1.013
6.725,1.021
6.755,1.020
6.785,1.017
6.815,1.017
6.845,1.019
6.875,1.020
6.905,1.015
6.935,1.012
6.965,1.017
6.995,1.017
7.025,1.015
7.055,1.016
7.085,1.018
7.115,1.019
7.145,1.018
7.175,1.011
7.205,1.010
7.235,1.026
7.265,1.024
7.295,1.015
7.325,1.014
7.355,1.013
7.385,1.016
7.415,1.021
7.445,1.013
7.475,1.018
7.505,1.018
7.535,1.019
7.565,1.018
7.595,1.018
7.625,1.016
7.655,1.013
7.685,1.019
7.715,1.021
7.745,1.014
7.775,1.018
7.805,1.021
7.835,1.013
7.865,1.010
7.895,1.021
7.925,1.023
7.955,1.018
7.985,1.011
8.015,1.013
8.045,1.019
8.075,1.018
8.105,1.014
8.135,1.019
8.165,1.024
8.195,1.019
8.225,1.017
8.255,1.017
8.285,1.019
8.315,1.019
8.345,1.015
8.375,1.015
8.405,1.019
8.435,1.019
8.465,1.015
8.495,1.016
8.525,1.018
8.555,1.009
8.585,1.020
8.615,1.028
8.645,1.021
8.675,1.013
8.705,1.016
8.735,1.019
8.765,1.019
8.795,1.019
8.825,1.022
8.855,1.018
8.885,1.012
8.915,1.015
8.945,1.017
8.975,1.013
9.005,1.012
9.035,1.016
9.065,1.017
9.095,1.015
9.125,1.020
9.155,1.020
9.185,1.017
9.215,1.013
9.245,1.012
9.275,1.012
9.305,1.036
9.335,1.024
9.365,1.015
9.395,1.008
9.425,1.014
9.455,1.018
9.485,1.022
9.515,1.015
9.545,1.019
9.575,1.020
9.605,1.017
9.635,1.016
9.665,1.021
9.695,1.018
9.725,1.019
9.755,1.020
9.785,1.017
9.815,1.017
9.845,1.021
9.875,1.019
9.905,1.015
9.935,1.009
9.965,1.015
9.995,1.029
10.025,1.022
10.055,1.013
10.085,1.017
10.115,1.017
10.145,1.015
10.175,1.015
10.205,1.018
10.235,1.015
10.265,1.016
10.295,1.016
10.325,1.018
10.355,1.016
10.385,1.015
10.415,1.014
10.445,1.019
10.475,1.020
10.505,1.019
10.535,1.019
10.565,1.017
10.595,1.013
10.625,1.021
10.655,1.026
10.685,1.022
10.715,1.015
10.745,1.017
10.775,1.015
10.805,1.018
10.835,1.017
10.865,1.020
10.895,1.021
10.925,1.018
10.955,1.018
10.985,1.018
11.015,1.019
11.045,1.018
11.075,1.019
11.105,1.015
11.135,1.018
11.165,1.021
11.195,1.022
11.225,1.021
11.255,1.015
11.285,1.011
11.315,1.026
11.345,1.024
11.375,1.017
11.405,1.016
11.435,1.016
11.465,1.019
11.495,1.018
11.525,1.017
11.555,1.019
11.585,1.020
11.615,1.021
11.645,1.016
11.675,1.016
11.705,1.018
11.735,1.020
11.765,1.014
11.795,1.015
11.825,1.021
11.855,1.024
11.885,1.021
11.915,1.018
11.945,1.010
11.975,1.016
12.005,1.035
12.035,1.028
12.065,1.019
12.095,1.016
12.125,1.014
12.155,1.019
12.185,1.014
12.215,1.014
12.245,1.021
12.275,1.021
12.305,1.014
12.335,1.020
12.365,1.018
12.395,1.018
12.425,1.015
12.455,1.018
12.485,1.018
12.515,1.021
12.545,1.021
12.575,1.017
12.605,1.013
12.635,1.018
12.665,1.028
12.695,1.021
12.725,1.012
12.755,1.009
12.785,1.014
12.815,1.019
12.845,1.019
12.875,1.023
12.905,1.017
12.935,1.020
12.965,1.019
12.995,1.018
13.025,1.018
13.055,1.016
13.085,1.017
13.115,1.016
13.145,1.018
13.175,1.019
13.205,1.019
13.235,1.021
13.265,1.011
13.295,1.032
13.325,1.024
13.355,1.020
13.385,1.018
13.415,1.019
13.445,1.013
13.475,1.022
13.505,1.019
13.535,1.022
13.565,1.021
13.595,1.019
13.625,1.019
13.655,1.019
13.685,1.020
13.715,1.017
13.745,1.016
13.775,1.019
13.805,1.021
13.835,1.019
13.865,1.018
13.895,1.015
