df_hash,22ZHK4.Z5RDGQ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F750
person_label,V82(2)
date_time_start,2025-11-03_16-41-10.212000_+03
date_time_start_unix,1762173670.212
date_time_end,2025-11-03_16-49-55.970000_+03
length_difference_noticed,no

time,quality
13.859,58
14.687,74
15.660,75
16.805,76
17.660,76
18.587,77
19.756,75
20.633,76
21.900,74
22.729,73
23.902,75
24.533,76
25.848,74
26.628,69
27.505,73
28.675,71
29.623,71
30.480,70
32.041,74
32.636,73
33.695,77
34.670,78
35.549,75
36.426,73
37.932,74
38.859,68
39.398,67
40.616,77
41.494,75
42.715,77
43.591,77
44.513,76
45.394,76
46.565,76
47.486,73
48.369,73
49.587,66
50.467,66
51.535,76
52.710,75
53.444,75
54.315,74
55.485,75
56.701,76
57.481,76
58.551,75
59.629,74
60.260,73
61.480,73
62.405,71
63.233,71
64.500,72
65.331,71
66.307,70
67.596,63
68.497,66
69.527,76
70.448,70
71.422,66
72.394,75
73.421,70
74.300,68
75.468,72
76.396,75
77.275,76
78.296,73
79.368,73
80.246,70
81.123,69
82.344,71
83.608,69
84.097,69
85.316,72
86.439,75
87.216,73
88.338,74
89.212,76
90.092,75
91.356,73
92.291,62
93.066,63
94.528,72
95.113,73
96.183,74
97.456,71
98.136,70
99.013,69
100.326,69
101.155,54
101.989,45
103.251,43
104.085,44
104.971,48
106.179,45
107.113,63
108.129,65
109.153,73
110.031,74
111.053,71
112.127,70
113.004,62
113.930,60
115.150,59
115.979,60
117.193,63
118.074,63
118.955,64
119.882,68
121.142,67
121.927,70
122.852,69
124.023,71
124.993,68
125.852,72
127.138,73
128.113,68
128.799,67
130.021,71
130.943,71
131.773,75
133.039,76
133.923,76
134.746,74
136.110,75
136.843,78
137.918,79
139.040,77
140.111,78
140.742,71
141.913,66
142.839,69
143.716,70
144.886,71
145.814,71
146.731,66
147.860,67
148.786,67
149.664,69
150.884,71
151.854,73
152.683,69
154.048,71
155.030,72
155.705,75
156.830,75
157.714,75
158.682,71
159.812,71
160.681,73
161.608,77
162.778,76
163.726,78
164.581,76
165.994,73
166.678,72
167.562,71
168.728,69
169.891,71
170.623,73
171.896,62
172.670,63
173.797,62
174.723,64
175.744,77
176.476,79
177.695,82
178.583,75
179.450,75
180.669,77
181.594,78
182.474,78
183.643,76
184.815,70
185.495,68
186.710,68
187.544,65
188.519,67
189.592,78
190.765,81
191.491,80
193.025,77
193.490,75
194.562,62
195.732,56
196.464,54
197.343,61
198.628,61
199.439,61
200.363,58
201.561,53
202.422,55
203.338,69
204.849,74
205.479,73
206.655,75
207.725,69
208.702,73
209.285,78
210.456,79
211.382,73
212.260,64
213.478,64
214.357,71
215.476,76
216.456,71
217.330,64
218.208,57
219.469,54
220.353,52
221.181,45
222.740,44
223.279,49
224.204,53
225.422,61
226.267,59
227.278,71
228.347,62
229.270,55
230.443,63
231.464,64
232.246,62
233.125,59
234.586,60
235.222,63
236.098,58
237.518,49
238.496,59
239.075,66
240.290,67
241.214,68
242.140,55
243.266,52
244.439,48
245.023,64
246.240,75
247.358,72
248.052,74
249.230,77
250.090,74
251.015,75
252.185,78
253.064,72
253.990,71
255.159,69
256.086,72
257.109,77
258.327,75
259.133,53
259.971,60
261.200,64
262.032,62
262.910,65
264.130,60
265.051,66
265.883,73
267.248,80
267.981,57
268.860,50
270.121,44
270.953,40
271.974,32
273.050,40
273.927,47
274.853,48
276.125,53
277.093,68
277.901,70
279.140,73
280.023,72
280.803,69
282.019,68
282.946,72
283.777,70
285.039,66
286.111,68
286.750,59
287.967,46
288.941,59
289.784,60
290.940,56
291.818,54
292.792,56
294.008,60
294.816,66
295.724,74
296.887,78
298.106,77
298.693,72
299.861,76
300.789,75
301.714,75
302.880,75
303.763,68
304.642,64
305.857,71
306.735,70
307.707,73
308.834,78
309.712,78
310.586,78
311.807,79
312.683,80
314.102,76
314.778,65
315.951,67
316.579,68
317.752,64
318.630,65
319.653,68
320.726,64
322.007,62
322.532,62
323.740,78
324.869,76
325.506,52
326.679,50
327.599,42
328.478,33
329.648,40
330.668,53
331.451,63
332.649,62
333.549,67
334.502,65
335.644,65
336.570,66
337.399,70
338.617,71
339.498,76
340.667,76
341.591,72
342.493,72
343.490,72
344.710,75
345.541,76
346.368,76
347.538,75
348.465,73
349.488,74
350.512,74
351.488,68
352.513,63
353.875,69
354.458,68
355.304,65
356.658,65
357.389,45
358.263,38
359.534,48
360.362,55
361.287,53
362.456,70
363.476,60
364.238,58
365.430,68
366.307,70
367.378,68
368.404,64
369.281,68
370.208,58
371.377,60
372.547,67
373.183,58
374.352,57
375.279,49
376.155,38
377.374,33
378.256,62
379.181,62
380.439,52
381.229,57
382.156,71
383.321,68
384.245,70
385.078,68
386.438,63
387.172,59
388.050,75
389.463,76
390.341,68
391.073,59
392.244,72
393.217,56
394.047,31
395.265,43
396.143,65
397.021,65
398.190,71
399.357,61
400.015,67
401.212,69
402.090,71
403.110,64
404.186,67
405.110,77
405.943,79
407.188,82
408.040,76
408.920,67
410.180,68
411.106,63
411.938,55
413.158,54
413.986,47
415.055,50
416.133,61
416.959,62
417.885,74
419.101,78
420.078,77
420.862,74
422.075,69
422.955,69
423.976,71
425.003,67
425.978,55
426.807,58
428.027,51
