df_hash,22ZHK4.J6TT4M
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YU3D
person_label,V78
date_time_start,2025-11-03_14-27-12.158000_+03
date_time_start_unix,1762165632.158
date_time_end,2025-11-03_14-36-02.613000_+03
length_difference_noticed,no

time,ppg_quality
54.491,122
56.511,126
57.521,128
58.531,132
59.541,134
61.561,129
63.581,127
65.591,124
67.611,121
70.641,114
71.651,114
72.661,112
74.681,93
76.701,59
77.711,46
78.721,37
81.751,35
83.771,30
84.781,48
86.801,74
87.811,89
89.831,101
90.841,101
92.861,109
94.881,116
95.891,121
96.901,125
97.901,123
98.911,125
99.921,127
101.941,132
103.961,126
105.981,118
108.001,115
110.021,113
111.031,109
112.041,103
113.051,105
115.071,110
116.081,112
117.091,113
119.111,112
121.131,121
123.151,125
124.161,126
126.181,117
127.191,114
128.201,117
130.211,117
132.231,118
133.241,117
135.261,119
137.281,129
139.301,127
140.311,126
141.321,123
142.331,120
143.341,119
144.351,118
145.361,119
146.371,119
147.381,121
148.391,120
150.411,122
152.431,127
154.451,131
155.461,132
157.481,127
158.491,124
159.501,123
161.521,125
163.541,125
164.551,124
165.561,123
167.581,125
169.601,127
170.611,125
171.621,124
172.631,124
174.651,124
176.671,122
178.691,120
180.711,119
181.721,120
183.741,120
184.751,118
185.761,120
187.781,119
189.801,122
191.821,115
194.851,98
196.871,99
198.891,105
199.901,100
201.921,108
202.931,117
204.951,133
205.961,134
207.981,127
210.001,126
212.021,126
213.031,124
214.041,121
216.061,116
217.071,118
218.081,120
219.091,119
220.101,116
221.111,112
223.131,110
224.141,110
226.161,112
228.181,115
230.201,118
232.221,122
234.241,123
235.251,123
236.261,121
237.271,120
238.281,119
239.291,119
241.311,118
243.331,116
245.351,116
246.361,120
247.371,121
249.391,122
250.401,124
252.421,128
253.431,121
254.441,110
256.461,86
257.471,79
259.491,51
260.501,38
261.511,34
263.531,31
265.551,47
267.571,44
268.581,45
270.601,46
271.611,42
274.641,43
276.661,55
278.681,76
279.691,82
281.711,87
282.721,78
283.731,72
285.751,67
287.771,43
288.781,37
289.791,34
291.811,22
292.821,24
294.841,16
295.851,12
296.861,16
297.871,27
298.881,31
299.891,37
300.901,46
302.921,58
304.941,73
305.951,68
307.971,77
309.991,85
312.011,89
314.031,91
316.051,106
319.081,103
321.101,105
322.111,99
323.121,100
325.141,98
326.151,96
327.161,95
330.191,91
332.211,84
334.231,77
336.251,73
338.271,67
339.281,65
341.301,58
343.321,46
345.341,41
347.361,41
348.371,47
350.391,50
351.401,52
352.411,54
353.421,57
354.431,60
355.441,54
356.451,46
357.461,40
358.471,34
360.491,34
363.521,45
364.531,41
365.541,54
366.551,59
367.561,51
369.581,36
371.601,21
373.621,17
374.631,15
376.651,14
377.661,24
378.671,34
380.691,48
382.711,60
384.731,77
387.761,87
389.781,82
391.801,54
392.811,54
393.821,50
394.831,43
396.851,31
398.871,21
399.881,29
400.891,35
402.911,33
404.931,26
405.941,29
406.951,34
409.981,33
412.001,44
414.021,46
416.041,57
417.051,50
418.061,48
419.071,50
421.091,52
422.101,43
423.111,35
425.131,28
426.141,29
428.161,32
429.171,26
430.181,16
432.201,23
434.221,27
435.231,22
436.241,14
438.261,13
439.271,18
440.281,27
441.291,23
442.301,14
443.311,4
444.321,13
445.331,23
453.411,2
456.441,13
458.461,63
459.471,70
460.481,69
462.501,67
464.521,79
465.531,83
467.551,92
469.571,89
471.591,98
472.601,104
473.611,109
474.621,113
475.631,120
476.641,119
477.651,117
478.661,114
479.671,114
480.681,112
482.701,112
484.721,103
485.731,103
486.741,105
487.751,107
489.771,108
490.781,106
491.791,107
493.811,112
495.831,110
497.851,96
499.871,73
502.901,28
504.921,21
505.931,19
506.941,23
508.961,37
509.971,49
511.991,77
514.011,99
516.031,84
517.041,77
518.051,66
520.071,25
522.091,8
526.131,3
527.141,11
