df_hash,22ZHK4.J6TT4M
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YU3D
person_label,V78
date_time_start,2025-11-03_14-27-12.158000_+03
date_time_start_unix,1762165632.158
date_time_end,2025-11-03_14-36-02.613000_+03
length_difference_noticed,no

time,quality
5.606,100
6.474,100
7.740,21
8.572,0
9.448,0
10.718,2
11.543,0
12.613,37
13.640,39
14.563,39
15.440,60
16.613,62
17.499,63
18.660,64
19.587,70
20.489,65
21.391,59
22.562,63
23.585,55
24.365,57
25.537,54
26.462,58
27.341,65
28.581,68
29.629,64
30.312,67
31.628,67
32.409,64
33.460,71
34.504,70
35.382,69
36.308,70
37.478,72
38.356,62
39.282,65
40.595,66
41.427,66
42.353,70
43.576,64
44.354,64
45.229,64
46.497,64
47.420,63
48.308,63
49.446,66
50.338,65
51.177,60
52.445,53
53.273,65
54.151,66
55.564,65
56.248,66
57.222,66
58.344,64
59.315,69
60.152,69
61.317,65
62.392,62
63.121,62
64.385,66
65.217,64
66.095,70
67.265,75
68.217,75
69.117,76
70.287,74
71.165,64
72.042,57
73.310,43
74.427,50
75.070,47
76.329,41
77.158,45
78.039,48
79.449,32
80.086,6
81.061,0
82.182,1
83.202,9
84.178,4
85.155,0
86.082,0
87.071,37
88.370,36
89.248,44
89.933,63
91.162,70
92.124,55
92.907,35
94.130,51
95.003,49
95.881,49
97.145,56
98.221,57
98.949,51
100.073,50
100.951,59
101.879,63
103.049,61
103.973,60
104.851,69
106.164,69
106.947,68
107.893,67
109.186,62
110.162,67
111.188,66
112.309,67
112.992,69
113.772,71
115.043,69
115.869,68
116.783,66
118.112,63
118.842,67
119.768,69
120.939,67
121.862,67
122.788,64
123.913,52
124.867,58
125.715,62
127.278,66
127.861,50
128.833,52
129.906,60
130.786,64
131.663,63
132.956,71
133.951,70
134.638,68
135.906,66
136.737,69
137.903,71
138.839,68
139.707,68
140.925,57
141.804,55
142.681,53
143.607,54
144.778,56
145.801,62
146.582,63
147.751,67
148.677,65
149.555,67
150.776,62
151.654,63
152.574,62
153.750,55
154.670,56
155.502,47
156.723,48
157.612,55
158.478,47
159.748,53
160.618,56
161.452,60
162.963,63
163.592,65
164.572,68
165.884,68
166.665,68
167.447,69
168.616,72
169.493,69
170.419,71
171.784,72
172.565,72
173.637,64
174.709,65
175.830,65
176.367,65
177.658,67
178.466,68
179.349,60
180.511,64
181.440,69
182.317,69
183.622,69
184.462,68
185.455,64
186.602,55
187.385,53
188.313,59
189.576,55
190.501,48
191.379,65
192.652,70
193.430,73
194.259,75
195.574,73
196.306,65
197.283,67
198.548,68
199.328,67
200.398,66
201.390,69
202.442,68
203.179,62
204.399,52
205.284,56
206.254,62
207.421,61
208.306,65
209.127,70
210.346,66
211.223,71
212.178,67
213.373,61
214.340,61
215.124,66
216.293,63
217.268,66
218.142,66
219.288,62
220.196,63
221.412,61
222.261,58
223.411,57
224.045,55
225.309,56
226.141,58
227.018,60
228.242,64
229.115,69
229.993,68
231.403,67
232.235,65
233.016,66
234.377,65
235.205,65
235.989,62
237.262,67
238.133,67
239.011,69
240.132,68
241.058,71
242.082,70
243.152,71
244.032,61
244.934,65
246.087,66
247.007,61
247.935,63
249.103,68
250.220,65
250.907,53
252.076,33
252.981,39
253.880,32
255.050,32
255.929,37
256.864,42
258.366,35
258.901,33
259.921,35
261.339,35
261.875,35
263.142,46
264.066,48
264.897,30
265.918,23
266.945,0
267.871,0
268.811,1
269.969,0
270.942,38
271.722,26
272.941,0
273.867,22
275.036,22
275.960,23
276.939,24
277.718,63
279.031,62
279.766,48
280.694,0
281.864,20
282.743,0
283.668,22
284.836,28
285.713,26
286.689,0
287.904,41
288.931,27
289.806,27
290.785,36
291.756,45
292.600,67
293.757,51
294.683,50
295.566,40
296.734,39
297.904,42
298.730,41
299.857,46
300.661,46
301.509,26
302.727,33
303.653,35
304.483,34
305.709,28
306.580,40
307.506,32
308.675,26
309.701,0
310.481,34
311.694,27
312.674,51
313.500,55
314.768,74
315.549,78
316.740,71
317.742,80
318.617,77
319.838,77
320.619,73
321.545,66
322.665,63
323.593,61
324.473,65
325.393,67
326.712,66
327.452,68
328.321,68
329.590,63
330.419,65
331.441,65
332.564,51
333.538,43
334.320,0
335.582,34
336.613,37
337.583,35
338.507,24
339.433,25
340.368,33
342.068,25
342.368,26
343.238,26
344.701,51
345.381,55
346.212,64
347.432,62
348.369,56
349.186,53
350.420,46
351.331,44
352.308,45
353.447,28
354.354,34
355.185,36
356.498,33
357.329,36
358.158,0
359.328,26
360.255,0
361.227,27
362.350,25
363.226,31
364.104,32
365.477,34
366.202,60
367.177,49
368.342,38
369.174,24
370.243,0
371.364,19
372.147,20
373.074,21
374.244,0
375.365,54
376.047,49
377.356,50
378.143,36
379.021,34
380.239,32
381.163,31
382.048,39
383.164,69
384.114,71
384.968,69
386.379,57
387.065,37
387.942,30
389.210,29
390.039,30
390.916,35
392.188,35
393.015,36
394.340,36
395.118,28
396.035,33
397.204,47
398.083,46
398.960,48
400.032,41
401.106,36
401.982,50
402.862,31
404.079,43
404.957,43
405.834,44
407.199,34
408.222,34
408.808,27
410.029,26
410.916,25
411.781,25
413.098,36
413.877,45
414.800,50
415.974,51
417.050,52
417.753,58
418.950,48
419.871,45
