df_hash,22ZHK4.J6TT4M
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YU3D
person_label,V78
date_time_start,2025-11-03_14-27-12.158000_+03
date_time_start_unix,1762165632.158
date_time_end,2025-11-03_14-36-02.613000_+03
length_difference_noticed,no

time,heart_rate
5.594,46
6.470,47
7.689,47
8.566,47
9.444,46
10.711,46
11.540,46
12.608,46
13.636,46
14.514,46
15.396,84
16.610,83
17.488,83
18.416,83
19.584,82
20.486,82
21.387,81
22.558,81
23.581,81
24.361,81
25.531,81
26.457,80
27.335,79
28.578,78
29.436,77
30.309,76
31.625,75
32.405,75
33.424,75
34.501,76
35.379,76
36.305,76
37.475,77
38.352,78
39.279,79
40.449,79
41.424,79
42.350,79
43.572,79
44.349,79
45.226,79
46.400,79
47.326,79
48.300,79
49.443,79
50.330,79
51.174,79
52.441,79
53.270,78
54.147,77
55.423,76
56.244,76
57.170,76
58.341,76
59.220,77
60.144,77
61.314,77
62.244,77
63.117,77
64.291,77
65.214,77
66.091,78
67.261,78
68.214,78
69.114,78
70.284,79
71.161,79
72.039,79
73.306,78
74.200,77
75.067,76
76.231,76
77.109,74
78.035,74
79.246,74
80.082,74
81.058,74
82.179,74
83.105,74
84.005,74
85.152,74
86.079,74
87.064,77
88.226,77
89.078,75
89.930,73
91.149,72
92.030,73
92.904,73
94.123,76
95.000,78
95.878,79
97.118,78
97.976,78
98.901,78
100.070,78
100.948,77
101.874,76
103.044,76
103.970,76
104.847,76
106.042,77
106.944,78
107.890,79
109.161,79
109.926,80
110.799,80
112.044,80
112.892,81
113.769,81
115.038,81
115.865,81
116.779,81
117.966,81
118.839,81
119.765,82
120.935,82
121.813,83
122.739,83
123.909,82
124.863,81
125.713,80
127.275,79
127.858,79
128.713,80
129.856,81
130.783,82
131.660,82
132.953,82
133.760,82
134.635,82
135.902,82
136.731,82
137.683,82
138.826,82
139.704,82
140.632,81
141.800,81
142.678,81
143.604,80
144.774,80
145.798,80
146.578,80
147.748,79
148.674,79
149.551,78
150.770,78
151.647,78
152.525,78
153.745,78
154.621,78
155.499,78
156.718,77
157.595,77
158.473,77
159.742,77
160.569,78
161.446,77
162.957,77
163.543,76
164.563,76
165.641,76
166.571,76
167.443,76
168.613,76
169.490,77
170.416,77
171.589,77
172.561,77
173.396,76
174.564,76
175.489,76
176.364,76
177.636,77
178.460,79
179.337,79
180.508,80
181.434,82
182.311,83
183.617,83
184.456,83
185.450,84
186.515,85
187.381,87
188.308,89
189.526,90
190.365,88
191.281,89
192.461,88
193.427,88
194.255,88
195.435,88
196.303,87
197.278,86
198.410,86
199.325,85
200.206,85
201.387,85
202.433,85
203.176,84
204.395,84
205.274,83
206.248,82
207.371,82
208.295,82
209.124,82
210.343,81
211.220,81
212.175,81
213.365,81
214.247,81
215.120,81
216.290,81
217.174,81
218.138,81
219.264,81
220.191,81
221.121,81
222.238,81
223.408,82
224.041,82
225.215,82
226.138,82
227.015,82
228.234,82
229.111,82
229.989,83
231.231,83
232.231,84
233.011,84
234.282,84
235.097,83
235.985,83
237.214,82
238.035,82
239.008,81
240.129,81
241.055,81
242.079,81
243.129,81
244.029,81
244.928,80
246.077,79
247.003,79
247.929,78
249.099,79
250.116,80
250.903,80
252.073,79
252.976,79
253.876,79
255.046,79
255.924,79
256.851,81
258.362,81
258.898,80
259.824,81
261.335,81
261.871,82
262.848,82
264.041,82
264.894,81
265.820,81
266.941,81
267.868,81
268.791,81
269.964,81
270.939,85
271.719,82
272.938,83
273.819,82
274.696,82
275.916,88
276.935,84
277.715,90
278.888,90
279.763,92
280.689,90
281.859,90
282.736,90
283.663,90
284.833,90
285.710,90
286.685,90
287.809,85
288.696,87
289.737,85
290.780,87
291.706,87
292.584,88
293.754,89
294.680,89
295.558,88
296.728,88
297.898,90
298.645,91
299.854,91
300.658,92
301.505,91
302.724,91
303.650,91
304.479,91
305.700,91
306.575,89
307.501,90
308.671,89
309.695,89
310.475,90
311.645,90
312.577,90
313.498,89
314.765,88
315.545,87
316.720,86
317.739,86
318.531,86
319.400,87
320.615,87
321.542,87
322.423,87
323.589,87
324.466,87
325.362,87
326.568,86
327.441,86
328.318,86
329.586,87
330.414,87
331.438,87
332.560,88
333.391,87
334.314,87
335.557,87
336.608,87
337.437,87
338.486,87
339.384,87
340.361,83
341.436,85
342.358,87
343.235,89
344.408,88
345.338,88
346.209,87
347.428,87
348.355,86
349.183,86
350.402,86
351.282,85
352.303,85
353.429,85
354.351,85
355.179,85
356.354,85
357.324,87
358.153,85
359.323,85
360.249,85
361.133,84
362.345,84
363.223,84
364.100,84
365.471,82
366.196,82
367.172,82
368.297,83
369.170,82
370.118,82
371.269,82
372.144,82
373.070,82
374.240,82
375.362,80
376.044,79
377.329,78
378.140,75
379.018,74
380.236,75
381.114,75
382.041,75
383.161,75
384.111,75
384.965,76
386.187,77
387.061,76
387.939,76
389.207,76
390.036,76
390.913,77
392.183,76
393.009,76
394.332,76
395.105,76
396.031,81
396.932,81
398.079,82
398.957,82
400.029,83
401.102,82
401.979,84
402.857,82
404.075,83
404.953,82
405.830,83
407.098,82
407.931,82
408.804,82
410.023,82
410.900,82
411.778,82
413.094,86
413.874,87
414.794,88
415.971,89
417.046,89
417.750,89
418.944,89
419.823,87
