df_hash,22ZHK4.J6TT4M
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YU3D
person_label,V78
date_time_start,2025-11-03_14-27-12.158000_+03
date_time_start_unix,1762165632.158
date_time_end,2025-11-03_14-36-02.613000_+03
length_difference_noticed,no

time,temperature
1.417,29.609
2.424,29.609
3.404,29.625
4.767,29.688
5.445,29.734
6.427,29.703
7.417,29.750
8.420,29.797
9.410,29.797
10.568,29.812
11.394,29.859
12.602,29.906
13.396,29.938
14.438,29.984
15.445,30.016
16.415,30.125
17.390,30.188
18.665,30.234
19.438,30.281
20.413,30.344
21.582,30.375
22.460,30.406
23.417,30.438
24.410,30.484
25.434,30.469
26.409,30.453
27.432,30.484
28.457,30.547
29.431,30.594
30.457,30.656
31.430,30.719
32.600,30.734
33.581,30.844
34.404,30.844
35.428,30.938
36.406,31.016
37.427,31.062
38.648,31.078
39.425,31.094
40.400,31.125
41.434,31.125
42.399,31.234
43.463,31.203
44.398,31.250
45.422,31.266
46.397,31.297
47.425,31.328
48.395,31.359
49.860,31.375
50.394,31.391
51.466,31.438
52.737,31.438
53.416,31.453
54.440,31.453
55.710,31.484
56.391,31.500
57.414,31.516
58.389,31.562
59.412,31.625
60.430,31.656
61.412,31.625
62.486,31.688
63.410,31.688
64.392,31.734
65.413,31.750
66.630,31.766
67.408,31.797
68.383,31.797
69.432,31.828
70.674,31.859
71.408,31.891
72.429,31.875
73.404,31.906
74.433,31.984
75.403,31.984
76.427,32.031
77.402,32.031
78.427,32.062
79.454,32.094
80.426,32.094
81.840,32.094
82.423,32.156
83.641,32.156
84.423,32.125
85.397,32.125
86.448,32.125
87.395,32.125
88.441,32.125
89.488,32.125
90.418,32.125
91.398,32.125
92.461,32.156
93.393,32.188
94.415,32.219
95.734,32.250
96.414,32.281
97.389,32.312
98.413,32.312
99.444,32.312
100.412,32.375
101.481,32.406
102.415,32.375
103.680,32.375
104.458,32.438
105.384,32.438
106.408,32.469
107.431,32.469
108.407,32.500
109.628,32.531
110.405,32.531
111.448,32.531
112.453,32.562
113.525,32.594
114.403,32.625
115.378,32.625
116.402,32.656
117.391,32.656
118.412,32.656
119.670,32.656
120.504,32.688
121.423,32.719
122.398,32.719
123.422,32.750
124.399,32.750
125.469,32.750
126.396,32.719
127.419,32.781
128.398,32.781
129.418,32.812
130.393,32.812
131.434,32.844
132.392,32.844
133.464,32.844
134.441,32.812
135.415,32.875
136.389,32.875
137.418,32.875
138.437,32.875
139.505,32.875
140.389,32.906
141.437,32.906
142.410,32.906
143.409,32.906
144.384,32.938
145.654,32.906
146.426,32.969
147.407,32.969
148.431,33.031
149.405,33.031
150.432,33.031
151.404,33.062
152.406,33.094
153.403,33.125
154.451,33.125
155.402,33.125
156.534,33.125
157.401,33.156
158.380,33.156
159.600,33.156
160.423,33.156
161.398,33.156
162.667,33.125
163.397,33.156
164.372,33.156
165.396,33.125
166.370,33.125
167.394,33.094
168.469,33.094
169.393,33.125
170.368,33.156
171.586,33.156
172.416,33.188
173.641,33.188
174.463,33.188
175.390,33.250
176.413,33.281
177.388,33.281
178.412,33.312
179.387,33.281
180.410,33.344
181.386,33.375
182.507,33.438
183.384,33.500
184.408,33.500
185.460,33.500
186.505,33.500
187.431,33.500
188.409,33.500
189.381,33.531
190.507,33.531
191.384,33.500
192.403,33.438
193.436,33.406
194.414,33.406
195.425,33.438
196.400,33.469
197.605,33.469
198.399,33.531
199.719,33.500
200.402,33.500
201.373,33.531
202.543,33.531
203.472,33.562
204.493,33.531
205.423,33.531
206.443,33.562
207.429,33.531
208.393,33.500
209.368,33.531
210.440,33.531
211.464,33.500
212.390,33.531
213.560,33.500
214.514,33.531
215.364,33.562
216.388,33.531
217.642,33.562
218.630,33.562
219.416,33.594
220.412,33.562
221.776,33.562
222.384,33.594
223.421,33.594
224.461,33.594
225.445,33.625
226.382,33.625
227.405,33.594
228.422,33.656
229.478,33.781
230.379,33.812
231.408,33.875
232.770,33.875
233.401,33.875
234.381,33.906
235.695,33.875
236.765,33.875
237.399,33.906
238.374,33.906
239.641,33.781
240.617,33.750
241.397,33.719
242.372,33.750
243.419,33.750
244.468,33.719
245.394,33.719
246.373,33.719
247.393,33.750
248.368,33.750
249.391,33.750
250.659,33.750
251.783,33.781
252.367,33.750
253.390,33.812
254.364,33.844
255.437,33.781
256.561,33.844
257.407,33.812
258.371,33.812
259.386,33.781
260.409,33.781
261.405,33.781
262.359,33.812
263.383,33.781
264.407,33.781
265.382,33.812
266.409,33.812
267.381,33.812
268.407,33.781
269.380,33.844
270.405,33.844
271.381,33.844
272.451,33.781
273.377,33.781
274.438,33.781
275.379,33.812
276.399,33.875
277.374,33.906
278.398,34.000
279.373,34.000
280.396,34.031
281.380,34.000
282.396,34.062
283.371,34.094
284.405,34.062
285.421,34.031
286.393,33.938
287.517,33.938
288.391,33.875
289.367,33.875
290.391,33.844
291.365,33.844
292.389,33.844
293.364,33.812
294.416,33.875
295.367,33.875
296.387,33.875
297.657,33.875
298.629,33.938
299.461,33.969
300.384,34.000
301.359,34.000
302.431,34.000
303.358,34.000
304.386,33.969
305.357,33.969
306.529,33.969
307.356,33.969
308.626,33.938
309.387,33.906
310.427,33.906
311.402,33.875
312.430,33.875
313.352,33.906
314.393,33.906
