df_hash,22ZHK4.Z7HMM1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7235
person_label,v141
date_time_start,2026-04-14_16-53-01.848000_+03
date_time_start_unix,1776167581.848
date_time_end,2026-04-14_17-01-17.693000_+03
length_difference_noticed,no

time,ppg_med
6.922,614
6.947,706
6.972,852
6.997,930
7.022,900
7.047,868
7.072,953
7.097,1107
7.122,1166
7.147,1071
7.172,970
7.197,1023
7.222,1166
7.247,1174
7.272,970
7.297,755
7.322,742
7.347,848
7.372,771
7.397,408
7.422,29
7.447,-78
7.472,-30
7.497,-222
7.522,-787
7.547,-1368
7.572,-1589
7.597,-1599
7.622,-1913
7.647,-2700
7.672,-3495
7.697,-3813
7.722,-3844
7.747,-4250
7.772,-5241
7.797,-6222
7.822,-6573
7.847,-6538
7.872,-6954
7.897,-8084
7.922,-9174
7.947,-9440
7.972,-9193
7.997,-9483
8.022,-10637
8.047,-11710
8.072,-11722
8.097,-11062
8.122,-11041
8.147,-12071
8.172,-12969
8.197,-12516
8.222,-11198
8.247,-10654
8.272,-11397
8.297,-11957
8.322,-10811
8.347,-8570
8.372,-7286
8.397,-7607
8.422,-7697
8.447,-5644
8.472,-2213
8.497,0
8.522,163
8.547,593
8.572,3731
8.597,8609
8.622,11889
8.647,12462
8.672,13320
8.697,17673
8.722,24279
8.747,28696
8.772,29373
8.797,30322
8.822,32767
8.847,32767
8.872,32767
8.897,32767
8.922,32767
8.947,32767
8.972,32767
8.997,32767
9.022,32767
9.047,32767
9.072,32767
9.097,32767
9.122,32767
9.147,32767
9.172,16631
9.197,-32768
9.222,-32768
9.247,-32768
9.272,-32768
9.297,-32768
9.322,-32768
9.347,-32768
9.372,-32768
9.397,-32768
9.422,-32768
9.447,-32768
9.472,-32768
9.497,-32768
9.522,-32768
9.547,-32088
9.572,-29642
9.597,-29634
9.622,-26858
9.647,-20473
9.672,-14539
9.697,-12211
9.722,-11795
9.747,-9545
9.772,-4814
9.797,-608
9.822,699
9.847,421
9.872,1497
9.897,4524
9.922,7245
9.947,7821
9.972,7234
9.997,7733
10.022,9745
10.047,11473
10.072,11482
10.097,10584
10.122,10582
10.147,11814
10.172,12839
10.197,12512
10.222,11494
10.247,11228
10.272,11952
10.297,12461
10.322,11802
10.347,10505
10.372,9771
10.397,9848
10.422,9819
10.447,8938
10.472,7619
10.497,6800
10.522,6668
10.547,6491
10.572,5681
10.597,4567
10.622,3883
10.647,3762
10.672,3615
10.697,2971
10.722,2087
10.747,1549
10.772,1479
10.797,1435
10.822,1053
10.847,506
10.872,201
10.897,194
10.922,141
10.947,-201
10.972,-651
10.997,-855
11.022,-762
11.047,-651
11.072,-747
11.097,-953
11.122,-1033
11.147,-940
11.172,-838
11.197,-828
11.222,-789
11.247,-555
11.272,-159
11.297,181
11.322,315
11.347,307
11.372,314
11.397,379
11.422,403
11.447,312
11.472,169
11.497,93
11.522,109
11.547,129
11.572,73
11.597,-26
11.622,-84
11.647,-71
11.672,-49
11.697,-81
11.722,-144
11.747,-177
11.772,-178
11.797,-104
11.822,37
11.847,204
11.872,341
11.897,421
11.922,450
11.947,446
11.972,417
11.997,356
12.022,268
12.047,185
12.072,151
12.097,191
12.122,287
12.147,393
12.172,469
12.197,503
12.222,514
12.247,522
12.272,533
12.297,536
12.322,514
12.347,457
12.372,366
12.397,253
12.422,129
12.447,2
12.472,-126
12.497,-257
12.522,-389
12.547,-515
12.572,-625
12.597,-718
12.622,-793
12.647,-846
12.672,-864
12.697,-833
12.722,-744
12.747,-597
12.772,-402
12.797,-167
12.822,92
12.847,353
12.872,582
12.897,751
12.922,855
12.947,911
12.972,937
12.997,946
13.022,937
13.047,909
13.072,871
13.097,833
13.122,804
13.147,784
13.172,767
13.197,746
13.222,717
13.247,676
13.272,619
13.297,542
13.322,448
13.347,339
13.372,224
13.397,113
13.422,20
13.447,-41
13.472,-70
13.497,-73
13.522,-62
13.547,-44
13.572,-23
13.597,-7
13.622,-5
13.647,-24
13.672,-61
13.697,-101
13.722,-131
13.747,-143
13.772,-142
13.797,-137
13.822,-131
13.847,-128
13.872,-133
13.897,-155
13.922,-192
13.947,-232
13.972,-255
13.997,-246
14.022,-211
14.047,-166
14.072,-125
14.097,-87
14.122,-34
14.147,51
14.172,181
14.197,343
14.222,514
14.247,665
14.272,780
14.297,856
14.322,899
14.347,918
14.372,914
14.397,883
14.422,829
14.447,760
14.472,691
14.497,630
14.522,578
14.547,530
14.572,482
14.597,435
14.622,390
14.647,349
14.672,307
14.697,261
14.722,206
14.747,142
14.772,73
14.797,13
14.822,-16
14.847,-4
14.872,42
14.897,99
14.922,140
14.947,155
14.972,152
14.997,152
15.022,163
15.047,176
15.072,175
15.097,151
15.122,113
15.147,80
15.172,67
15.197,72
15.222,83
15.247,92
15.272,97
15.297,98
15.322,91
15.347,71
15.372,36
15.397,0
15.422,-21
15.447,-17
15.472,-5
15.497,-9
15.522,-32
15.547,-50
15.572,-25
15.597,59
15.622,181
15.647,297
15.672,379
15.697,426
15.722,461
15.747,493
15.772,515
15.797,511
15.822,482
15.847,445
15.872,423
15.897,423
15.922,436
15.947,443
15.972,433
15.997,405
16.022,366
16.047,325
16.072,290
16.097,265
16.122,247
16.147,234
16.172,221
16.197,204
