df_hash,22ZHK4.JPPQDU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.U6PK
person_label,V61
date_time_start,2025-10-31_15-57-37.375000_+03
date_time_start_unix,1761911857.375
date_time_end,2025-10-31_16-06-24.462000_+03
length_difference_noticed,no

time,heart_rate
8.918,64
9.795,65
11.014,65
11.892,65
12.769,64
13.991,64
14.865,69
15.792,71
16.962,71
17.839,71
18.721,70
19.936,69
20.815,69
21.739,69
22.909,69
23.836,69
24.713,69
25.955,68
26.809,68
27.834,69
28.862,69
29.907,70
30.676,71
31.881,72
32.757,72
33.634,71
34.902,70
35.731,69
36.608,69
37.827,70
38.764,71
39.637,71
40.801,72
41.678,74
42.580,75
43.972,74
44.980,73
45.603,71
46.748,70
47.626,69
48.552,69
49.722,69
50.648,69
51.526,69
52.722,69
53.622,69
54.500,70
55.694,70
56.606,70
57.474,70
58.643,70
59.570,70
60.447,70
61.669,71
62.593,72
63.570,73
64.690,73
65.517,72
66.397,72
67.728,71
68.492,70
69.495,69
70.587,69
71.488,69
72.391,69
73.710,70
74.487,72
75.365,73
76.535,74
77.467,73
78.342,72
79.564,72
80.435,72
81.312,72
82.531,73
83.409,74
84.311,74
85.505,74
86.383,74
87.309,73
88.531,72
89.356,71
90.335,70
91.453,70
92.379,71
93.256,72
94.450,73
95.353,74
96.230,74
97.400,72
98.332,71
99.205,70
100.428,69
101.300,69
102.178,70
103.397,71
104.279,71
105.200,72
106.403,73
107.492,73
108.179,73
109.390,73
110.222,72
111.443,72
112.367,72
113.245,72
114.122,72
115.292,73
116.222,73
117.095,73
118.271,74
119.192,75
120.069,76
121.242,76
122.185,76
123.048,75
124.262,73
125.142,72
126.060,71
127.274,71
128.262,72
129.286,73
130.210,74
131.087,74
132.030,74
133.183,74
134.102,74
134.987,74
136.310,74
137.044,74
138.110,74
139.131,74
140.057,74
140.939,73
142.125,73
143.031,73
143.908,73
145.082,73
146.005,73
146.882,73
148.101,79
149.275,83
149.862,83
151.082,83
151.964,83
152.878,82
154.102,80
154.926,79
155.852,77
157.049,76
158.004,75
158.826,75
160.000,75
160.873,74
161.875,73
162.970,72
163.945,70
164.773,69
165.950,68
166.870,69
167.796,70
168.917,72
169.843,72
170.721,72
171.943,71
172.817,70
173.720,70
174.914,70
175.937,70
176.788,70
177.887,71
178.960,71
179.691,71
180.861,71
181.739,71
182.665,71
183.835,71
184.761,71
185.639,72
186.955,72
187.757,71
188.908,70
189.782,68
190.712,66
191.586,65
192.805,65
193.683,66
194.560,68
195.779,71
196.803,72
197.534,73
198.753,74
199.630,75
200.556,75
201.726,75
202.653,74
203.579,73
204.700,72
205.626,73
206.528,73
207.771,73
208.651,73
209.506,73
210.697,73
211.574,73
212.467,73
213.670,72
214.550,72
215.480,72
216.651,71
217.602,71
218.448,71
219.618,71
220.499,72
221.423,73
222.592,74
223.490,74
224.395,72
225.568,71
226.499,70
227.369,70
228.564,70
229.465,70
230.369,70
231.562,70
232.439,70
233.317,70
234.536,70
235.417,70
236.339,70
237.516,75
238.410,76
239.313,76
240.632,84
241.363,84
242.288,88
243.457,89
244.383,91
245.298,89
246.434,89
247.401,89
248.234,89
249.404,86
250.331,85
251.215,84
252.429,83
253.328,82
254.182,82
255.405,81
256.278,81
257.239,81
258.374,81
259.256,81
260.178,81
261.370,81
262.226,81
263.187,81
264.343,82
265.248,82
266.175,82
267.296,82
268.264,81
269.100,81
270.273,81
271.196,82
272.073,82
273.300,81
274.170,81
275.047,80
276.268,80
277.147,80
278.060,80
279.240,80
280.266,80
281.043,80
282.213,80
283.091,80
284.017,80
285.188,80
286.065,80
286.991,80
288.165,80
289.091,80
289.965,80
291.135,79
292.061,79
292.942,79
294.168,79
295.035,79
295.912,78
297.131,78
298.012,76
298.886,77
300.105,76
300.986,76
301.861,76
303.104,76
303.966,76
304.886,78
306.102,78
306.933,77
307.861,77
309.029,78
309.956,78
310.830,78
312.001,78
312.933,77
313.804,76
314.983,76
315.900,73
316.778,73
317.996,73
318.874,73
319.751,73
320.970,73
321.945,73
322.728,73
324.010,73
324.821,73
325.764,72
326.921,72
327.816,72
328.722,65
329.892,63
330.818,65
331.699,67
332.893,68
333.792,70
334.913,72
335.839,74
336.792,75
337.645,77
338.862,78
339.739,78
340.915,77
341.837,76
342.762,75
343.596,74
344.811,74
345.687,74
346.614,77
347.783,75
348.685,75
349.587,75
350.757,75
351.634,75
352.609,75
353.730,75
354.657,75
355.632,75
356.704,84
357.641,78
358.510,82
359.727,81
360.604,81
361.482,81
362.701,80
363.620,80
364.456,80
365.722,80
366.553,80
367.479,80
368.652,74
369.562,77
370.556,76
371.622,76
372.499,79
373.426,79
374.622,79
375.522,79
376.425,79
377.569,79
378.496,79
379.373,79
380.543,79
381.471,78
382.495,76
383.587,75
384.454,75
385.321,75
386.540,77
387.417,79
388.294,80
389.513,78
390.391,78
391.317,77
392.487,77
393.442,76
394.291,76
395.461,75
396.338,75
397.265,75
398.436,75
399.363,75
400.242,75
401.450,75
402.335,75
403.239,75
404.382,75
405.340,75
406.186,75
407.453,75
408.282,75
409.162,75
410.399,78
411.256,79
412.134,79
413.352,78
414.230,78
415.107,72
416.326,65
417.204,69
418.137,70
419.300,69
420.177,68
421.104,68
422.302,78
423.200,83
