df_hash,22ZHK4.JPPQDU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.U6PK
person_label,V61
date_time_start,2025-10-31_15-57-37.375000_+03
date_time_start_unix,1761911857.375
date_time_end,2025-10-31_16-06-24.462000_+03
length_difference_noticed,no

time,battery
7.846,14
17.937,13
27.843,13
37.919,13
47.921,13
57.961,13
67.862,13
77.921,13
87.846,13
97.840,13
107.833,13
117.827,13
127.967,13
137.867,13
147.890,13
157.851,13
167.845,13
177.839,13
187.849,13
197.827,13
207.969,13
217.984,13
227.857,13
237.900,13
247.845,13
257.842,13
267.833,13
277.826,13
287.820,13
297.814,13
307.856,13
317.953,13
327.850,13
337.845,13
347.832,13
357.849,13
367.820,13
377.814,13
387.808,13
397.801,13
407.795,13
417.838,13
427.833,13
437.861,13
447.868,13
457.959,13
467.808,13
477.898,13
487.810,13
497.842,13
507.964,13
517.874,13
