df_hash,22ZHK4.JPPQDU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.U6PK
person_label,V61
date_time_start,2025-10-31_15-57-37.375000_+03
date_time_start_unix,1761911857.375
date_time_end,2025-10-31_16-06-24.462000_+03
length_difference_noticed,no

time,rr_int
11.112,6190
11.115,15
11.940,65
11.943,795
11.989,10
12.092,10
12.187,125
12.190,25
12.234,10
12.237,15
12.240,15
12.282,15
12.285,10
12.819,10
12.821,575
12.916,10
13.014,165
13.066,20
13.647,20
13.651,615
14.478,10
14.576,880
15.304,15
15.597,845
15.600,190
15.603,30
15.606,25
16.328,15
16.331,600
17.115,10
17.405,855
17.948,15
18.083,885
18.089,10
18.135,160
18.229,15
18.234,10
18.281,10
18.284,10
18.966,10
19.061,690
19.206,15
19.740,305
19.746,505
20.569,10
20.573,870
21.448,10
21.545,915
22.373,10
22.377,895
22.687,10
23.251,265
23.352,595
23.494,170
23.504,10
23.545,20
23.549,10
24.177,20
24.275,665
24.278,10
25.054,10
25.058,875
25.883,10
25.887,835
26.031,10
26.078,135
26.082,15
26.086,10
26.176,10
26.179,10
26.183,10
26.187,10
26.471,10
26.474,15
26.712,20
26.715,570
26.858,10
27.541,205
27.545,655
27.687,10
28.369,175
28.374,690
28.546,15
28.576,10
28.662,15
28.666,140
28.811,30
28.814,35
29.199,25
29.931,525
30.027,765
30.227,10
30.271,170
30.274,20
30.277,15
30.281,15
30.862,15
30.910,625
31.733,10
31.744,910
32.659,10
32.663,900
32.711,10
32.955,10
33.586,270
33.589,565
33.684,15
33.691,165
33.781,40
34.366,15
34.369,605
35.195,15
35.487,875
36.023,225
36.559,645
36.563,490
36.852,15
36.856,305
36.998,10
37.001,70
37.147,20
37.150,10
37.681,25
38.124,650
38.509,255
38.516,585
38.697,15
38.705,110
38.711,15
38.716,15
38.721,15
38.754,15
38.759,25
39.241,15
39.340,550
39.484,155
39.490,20
39.533,15
39.538,15
39.543,15
39.583,10
39.596,10
39.601,10
39.606,15
39.631,15
39.650,15
40.076,25
40.316,470
40.898,10
40.902,790
40.948,15
41.093,15
41.097,145
41.100,25
41.143,20
41.727,60
41.730,560
42.556,10
42.848,895
43.531,195
43.542,695
43.677,15
43.680,120
43.775,15
43.778,10
43.823,10
43.826,10
43.830,10
43.872,10
43.875,15
44.363,25
44.411,605
44.674,15
45.188,260
45.192,640
45.481,15
45.486,195
45.530,20
45.535,15
45.540,20
46.163,25
46.167,610
46.215,10
46.218,105
46.311,10
46.316,15
46.325,20
46.328,20
46.358,20
46.362,15
46.407,10
46.411,15
46.456,15
46.459,15
46.553,20
46.567,15
46.573,10
46.576,15
46.992,20
46.996,500
47.138,10
47.142,165
47.821,15
47.870,700
47.873,10
48.113,10
48.128,230
48.747,10
48.750,625
49.625,10
49.636,880
49.918,10
50.503,270
50.551,585
50.600,10
51.331,190
51.478,615
52.160,245
52.427,650
52.988,225
52.992,615
53.135,10
53.138,145
53.233,15
53.236,15
53.281,20
53.284,10
53.288,10
53.817,15
53.821,595
53.963,10
54.111,180
54.646,45
54.650,635
55.626,15
55.670,890
55.962,10
56.478,265
56.597,600
56.603,10
56.680,10
56.698,120
56.706,20
56.742,10
56.747,10
56.750,10
56.753,10
56.756,10
56.891,10
57.279,15
57.579,600
58.108,225
58.112,650
58.157,15
58.400,20
58.985,210
58.992,620
59.232,10
59.862,10
59.866,810
59.960,15
59.963,130
60.057,15
60.061,15
60.106,10
60.109,10
60.112,10
60.353,10
60.356,10
60.691,20
60.695,500
60.842,10
61.471,165
61.474,675
61.478,15
62.336,10
62.446,820
62.455,10
62.495,160
62.499,20
62.543,20
62.610,20
63.129,35
63.132,590
63.275,10
63.278,10
63.324,115
63.328,20
63.374,15
63.424,20
63.961,85
64.104,535
64.786,180
64.790,660
65.083,10
65.615,260
65.622,610
65.859,10
66.590,165
66.594,755
66.736,15
66.741,150
67.419,30
67.422,690
67.565,15
67.568,125
67.614,15
67.617,10
67.620,10
67.662,10
67.665,15
68.443,15
68.446,645
68.471,15
68.540,175
69.126,35
69.271,685
69.277,10
70.100,15
70.344,880
70.929,275
70.933,550
71.075,10
71.078,140
71.124,20
71.131,10
71.134,10
71.175,10
71.179,10
71.242,10
71.465,15
71.616,10
71.858,525
72.440,10
72.444,825
72.734,15
73.341,225
73.415,555
73.418,10
73.421,10
73.583,170
74.098,30
74.147,620
74.244,20
74.978,180
75.804,630
75.807,860
76.051,10
76.681,230
76.684,620
76.688,10
76.925,10
76.928,215
77.613,40
77.617,560
77.620,10
77.754,120
77.757,25
77.761,20
77.852,25
78.290,50
78.583,575
79.119,210
79.122,630
79.999,15
80.013,820
80.240,10
80.243,200
80.827,75
80.922,520
80.926,10
80.971,140
80.975,15
81.508,30
81.800,585
81.804,200
81.807,25
82.337,15
83.165,595
83.169,795
83.172,10
83.459,15
83.994,280
83.997,480
84.141,10
84.823,160
84.872,675
85.652,10
85.702,885
85.798,10
85.801,115
85.850,15
85.869,20
85.947,30
85.993,20
85.996,10
86.000,10
86.090,15
86.531,110
86.535,535
86.676,10
86.687,125
86.773,15
86.779,20
86.822,10
86.836,10
86.841,10
86.968,15
87.406,15
87.412,575
87.604,15
88.186,10
88.333,855
88.479,15
88.483,185
88.528,30
89.161,60
89.164,580
