df_hash,22ZHK4.JPPQDU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.U6PK
person_label,V61
date_time_start,2025-10-31_15-57-37.375000_+03
date_time_start_unix,1761911857.375
date_time_end,2025-10-31_16-06-24.462000_+03
length_difference_noticed,no

time,acc_mag
4.750,1.003
4.780,1.004
4.810,1.003
4.840,0.997
4.870,1.000
4.900,1.006
4.930,1.003
4.960,1.004
4.990,1.005
5.020,1.000
5.050,1.000
5.080,1.002
5.110,1.003
5.140,1.005
5.170,1.003
5.200,1.007
5.230,1.002
5.260,1.000
5.290,1.001
5.320,1.005
5.350,1.005
5.380,1.006
5.410,1.003
5.440,1.003
5.470,1.004
5.500,1.002
5.530,1.006
5.560,1.001
5.590,1.000
5.620,1.004
5.650,1.005
5.680,1.008
5.710,1.000
5.740,1.005
5.770,1.003
5.800,1.004
5.830,1.000
5.860,1.004
5.890,1.003
5.920,1.006
5.950,1.005
5.980,1.006
6.010,1.002
6.040,1.006
6.070,1.005
6.100,1.002
6.130,1.003
6.160,1.002
6.190,1.003
6.220,1.006
6.250,1.007
6.280,1.007
6.310,1.001
6.340,1.005
6.370,1.002
6.400,1.003
6.430,1.000
6.460,1.006
6.490,1.004
6.520,1.008
6.550,1.010
6.580,1.000
6.610,1.005
6.640,1.005
6.670,1.000
6.700,1.004
6.730,1.007
6.760,1.003
6.790,1.000
6.820,1.004
6.850,1.007
6.880,1.004
6.910,1.006
6.940,1.001
6.970,1.004
7.000,1.001
7.030,1.003
7.060,1.007
7.090,1.004
7.120,0.997
7.150,1.005
7.180,1.004
7.210,1.007
7.240,1.004
7.270,1.000
7.300,1.001
7.330,1.004
7.360,1.004
7.390,1.003
7.420,1.007
7.450,1.000
7.480,1.006
7.510,1.003
7.540,1.000
7.570,1.005
7.600,1.007
7.630,1.001
7.660,1.002
7.690,1.006
7.720,1.005
7.750,1.004
7.780,1.003
7.810,1.002
7.840,1.004
7.870,1.006
7.900,1.006
7.930,1.001
7.960,1.007
7.990,1.001
8.020,1.005
8.050,1.002
8.080,1.002
8.110,1.002
8.140,1.001
8.170,1.002
8.200,1.008
8.230,1.010
8.260,1.000
8.290,1.001
8.320,1.006
8.350,1.003
8.380,1.000
8.410,1.007
8.440,1.003
8.470,1.002
8.500,1.004
8.530,1.005
8.560,1.004
8.590,1.000
8.620,1.005
8.650,1.003
8.680,0.999
8.710,1.003
8.740,1.004
8.770,1.007
8.800,0.999
8.830,1.007
8.860,1.000
8.890,1.002
8.920,1.003
8.950,1.004
8.980,1.000
9.010,1.003
9.040,1.003
9.070,1.008
9.100,1.007
9.130,1.000
9.160,1.002
9.190,1.007
9.220,0.999
9.250,1.004
9.280,1.004
9.310,1.002
9.340,1.004
9.370,1.003
9.400,1.004
9.430,1.002
9.460,1.005
9.490,1.006
9.520,1.003
9.550,1.001
9.580,1.003
9.610,1.004
9.640,1.005
9.670,1.006
9.700,0.999
9.730,1.004
9.760,1.004
9.790,1.009
9.820,1.006
9.850,1.001
9.880,1.000
9.910,1.003
9.940,1.001
9.970,1.005
10.000,1.008
10.030,0.998
10.060,1.003
10.090,1.003
10.120,1.001
10.150,1.001
10.180,1.007
10.210,1.002
10.240,1.003
10.270,1.005
10.300,1.007
10.330,1.004
10.360,1.005
10.390,1.001
10.420,1.001
10.450,1.001
10.480,0.998
10.510,1.003
10.540,1.005
10.570,1.004
10.600,1.003
10.630,1.001
10.660,1.004
10.690,1.006
10.720,1.003
10.750,1.004
10.780,1.002
10.810,1.001
10.840,1.004
10.870,1.005
10.900,1.009
10.930,0.997
10.960,1.002
10.990,1.010
11.020,1.003
11.050,1.001
11.080,1.002
11.110,1.003
11.140,1.002
11.170,1.007
11.200,1.006
11.230,1.001
11.260,1.001
11.290,1.003
11.320,1.001
11.350,0.997
11.380,1.002
11.410,1.005
11.440,1.004
11.470,1.001
11.500,1.001
11.530,1.009
11.560,1.007
11.590,1.005
11.620,1.002
11.650,1.000
11.680,1.002
11.710,1.003
11.740,1.005
11.770,1.005
11.800,0.998
11.830,1.000
11.860,1.005
11.890,0.999
11.920,0.999
11.950,1.005
11.980,1.001
12.010,1.000
12.040,1.003
12.070,1.007
12.100,1.006
12.130,1.002
12.160,1.003
12.190,1.002
12.220,1.005
12.250,1.002
12.280,1.002
12.310,1.001
12.340,1.006
12.370,1.002
12.400,1.007
12.430,1.003
12.460,1.002
12.490,1.001
12.520,1.001
12.550,1.006
12.580,1.005
12.610,1.002
12.640,1.001
12.670,1.006
12.700,1.003
12.730,1.004
12.760,1.003
12.790,1.004
12.820,1.001
12.850,1.006
12.880,1.005
12.910,1.003
12.940,1.004
12.970,1.005
13.000,1.006
13.030,1.001
13.060,1.003
13.090,1.004
13.120,1.003
13.150,1.002
13.180,1.003
13.210,1.005
13.240,1.003
13.270,1.004
13.300,1.001
13.330,1.003
13.360,0.999
13.390,1.006
13.420,1.003
13.450,1.000
13.480,0.998
13.510,1.005
13.540,1.006
13.570,1.001
13.600,1.004
13.630,1.003
13.660,1.003
13.690,1.001
13.720,1.004
13.750,1.006
13.780,1.003
13.810,1.003
13.840,1.004
13.870,1.002
13.900,1.004
13.930,1.004
13.960,1.005
13.990,1.003
14.020,1.008
14.050,1.001
14.080,1.004
14.110,1.004
