df_hash,22ZHK4.JPPQDU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.U6PK
person_label,V61
date_time_start,2025-10-31_15-57-37.375000_+03
date_time_start_unix,1761911857.375
date_time_end,2025-10-31_16-06-24.462000_+03
length_difference_noticed,no

time,temperature
4.987,31.047
5.944,31.078
7.117,31.078
8.041,31.078
8.967,31.062
9.942,31.094
10.967,31.078
12.087,31.062
13.062,31.094
13.988,31.094
14.982,31.141
15.987,31.156
17.108,31.203
18.086,31.234
19.085,31.234
19.985,31.203
20.964,31.219
21.984,31.281
23.029,31.266
23.982,31.312
24.957,31.312
25.987,31.344
26.960,31.391
28.008,31.406
28.960,31.453
29.979,31.500
31.303,31.484
31.985,31.484
32.952,31.531
33.998,31.484
34.951,31.562
35.975,31.547
36.962,31.547
37.994,31.562
39.000,31.578
40.071,31.594
40.953,31.656
41.971,31.672
42.946,31.688
44.360,31.734
44.991,31.734
45.969,31.719
46.947,31.750
47.967,31.750
48.943,31.766
49.966,31.797
51.188,31.766
51.965,31.812
52.940,31.812
53.967,31.812
55.234,31.844
56.310,31.844
56.941,31.828
57.965,31.844
58.936,31.875
60.010,31.875
60.935,31.938
61.959,31.938
62.983,31.984
63.957,32.000
64.934,31.984
65.958,32.031
66.980,32.031
67.955,32.062
68.979,32.125
69.954,32.094
70.978,32.062
71.977,32.062
72.977,32.062
73.952,32.094
74.975,32.156
76.048,32.188
76.974,32.250
77.949,32.281
78.984,32.250
79.975,32.281
81.072,32.312
81.947,32.375
82.971,32.375
83.946,32.406
84.969,32.406
85.944,32.406
86.997,32.406
87.978,32.375
89.015,32.406
89.942,32.438
90.965,32.469
92.041,32.438
92.964,32.406
93.939,32.375
94.963,32.406
95.949,32.406
97.111,32.406
97.937,32.406
98.961,32.438
99.936,32.406
100.959,32.406
101.983,32.438
102.958,32.438
103.934,32.469
104.957,32.438
105.980,32.469
106.990,32.500
108.174,32.500
108.957,32.531
110.075,32.562
110.958,32.594
111.977,32.594
113.196,32.594
113.927,32.625
114.951,32.625
115.975,32.625
116.950,32.656
117.973,32.656
118.948,32.656
119.994,32.656
121.022,32.656
121.972,32.688
123.044,32.719
124.067,32.688
124.945,32.688
126.017,32.719
127.138,32.719
127.974,32.750
129.045,32.750
130.000,32.750
130.992,32.750
131.994,32.719
132.942,32.750
133.969,32.781
134.939,32.781
135.962,32.812
136.937,32.781
137.963,32.750
138.936,32.750
139.960,32.750
141.036,32.781
141.959,32.781
142.934,32.812
144.222,32.781
145.078,32.781
145.956,32.812
146.931,32.812
147.955,32.812
148.931,32.844
149.954,32.875
151.075,32.906
151.954,32.906
152.976,32.906
153.956,32.938
154.935,32.938
155.950,32.969
156.974,33.000
158.046,33.031
158.924,33.000
159.996,33.000
161.068,33.000
161.946,33.000
162.922,33.031
164.191,33.000
164.978,33.062
165.944,33.094
166.969,33.062
167.959,33.031
168.966,33.094
169.941,33.094
170.965,33.125
172.242,33.125
172.964,33.125
173.939,33.188
174.965,33.188
176.029,33.188
176.962,33.281
177.937,33.281
178.969,33.250
179.935,33.250
181.029,33.188
181.934,33.188
182.957,33.156
183.958,33.125
184.957,33.094
186.005,33.094
186.963,33.062
187.979,33.094
188.954,33.125
189.929,33.125
191.002,33.156
192.074,33.156
192.952,33.188
193.927,33.188
195.150,33.250
195.926,33.250
196.998,33.250
197.973,33.219
198.997,33.188
199.923,33.188
200.946,33.188
201.923,33.250
203.193,33.219
203.922,33.188
204.944,33.188
206.114,33.188
206.943,33.188
207.982,33.188
209.042,33.219
209.917,33.219
210.941,33.219
211.917,33.219
212.940,33.219
213.963,33.250
214.938,33.219
215.962,33.219
216.937,33.219
217.989,33.250
218.940,33.250
219.960,33.281
220.983,33.281
221.969,33.281
222.944,33.250
223.980,33.281
224.932,33.281
225.956,33.281
226.931,33.312
227.955,33.344
229.075,33.344
229.953,33.312
230.928,33.281
232.001,33.281
232.934,33.312
233.951,33.312
234.975,33.281
235.950,33.312
237.025,33.281
237.949,33.312
238.923,33.344
240.020,33.344
240.922,33.375
241.946,33.406
242.921,33.375
243.944,33.406
244.979,33.375
245.944,33.375
246.919,33.375
247.942,33.344
248.917,33.344
249.941,33.375
251.062,33.375
251.961,33.375
252.915,33.344
253.965,33.344
254.914,33.375
255.937,33.375
256.918,33.375
257.936,33.375
258.911,33.375
259.935,33.344
260.959,33.344
261.985,33.344
262.970,33.375
263.937,33.375
264.959,33.469
265.931,33.500
266.962,33.438
268.027,33.438
268.954,33.500
269.929,33.500
270.952,33.562
271.928,33.562
272.967,33.656
273.951,33.625
274.950,33.531
275.925,33.562
277.143,33.594
277.924,33.594
278.947,33.594
279.923,33.625
280.946,33.500
281.947,33.500
282.945,33.406
283.920,33.438
284.945,33.469
285.942,33.438
286.942,33.469
287.923,33.469
288.951,33.438
289.917,33.406
290.940,33.438
291.915,33.469
292.939,33.438
294.096,33.469
294.938,33.469
296.110,33.469
296.964,33.438
298.009,33.438
298.936,33.438
299.912,33.406
300.940,33.438
301.909,33.438
302.932,33.438
303.918,33.406
304.940,33.406
305.907,33.438
306.930,33.438
307.910,33.438
309.026,33.469
309.952,33.469
310.928,33.469
311.952,33.438
313.226,33.406
313.951,33.438
314.979,33.469
315.949,33.406
316.925,33.438
317.958,33.469
