df_hash,22ZHK4.JPPQDU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.U6PK
person_label,V61
date_time_start,2025-10-31_15-57-37.375000_+03
date_time_start_unix,1761911857.375
date_time_end,2025-10-31_16-06-24.462000_+03
length_difference_noticed,no

time,quality
8.924,100
9.798,100
11.017,11
11.894,0
12.772,0
14.186,43
14.882,63
15.795,79
16.965,79
17.843,78
18.960,76
19.939,78
20.960,78
21.744,77
22.913,82
23.839,84
24.717,82
25.981,83
26.813,86
27.837,83
28.955,81
29.912,80
30.856,75
31.978,77
32.767,69
33.638,67
34.905,72
35.734,80
36.611,79
37.834,75
38.769,72
39.644,65
40.805,64
41.685,64
42.584,64
43.976,62
44.983,59
45.609,70
46.751,69
47.629,69
48.556,69
49.725,70
50.652,74
51.529,74
52.726,79
53.625,85
54.504,82
55.697,82
56.658,83
57.487,84
58.649,82
59.573,85
60.451,84
61.766,80
62.598,78
63.573,80
64.694,81
65.521,75
66.495,82
67.858,77
68.507,79
69.501,80
70.594,83
71.611,88
72.394,79
73.716,77
74.491,75
75.371,86
76.542,81
77.607,78
78.439,82
79.947,80
80.438,83
81.316,83
82.542,80
83.412,80
84.582,77
85.508,82
86.386,73
87.314,74
88.534,75
89.360,79
90.432,78
91.456,81
92.382,80
93.259,81
94.453,82
95.356,86
96.236,75
97.407,66
98.476,69
99.208,80
100.718,78
101.304,80
102.181,83
103.402,81
104.323,83
105.205,80
106.422,85
107.495,84
108.224,81
109.392,81
110.225,77
111.447,79
112.370,78
113.249,78
114.136,82
115.297,80
116.318,84
117.100,81
118.512,80
119.200,75
120.073,81
121.291,79
122.263,76
123.290,75
124.266,73
125.337,77
126.063,77
127.532,77
128.265,80
129.289,82
130.218,84
131.097,79
132.260,83
133.186,78
134.353,81
135.008,83
136.318,82
137.132,83
138.115,83
139.134,79
140.060,69
141.032,63
142.202,53
143.034,48
143.911,45
145.325,0
146.010,0
146.886,36
148.104,39
149.284,42
149.905,46
151.172,57
151.969,66
152.882,69
154.392,69
154.930,73
155.856,79
157.054,80
158.007,82
158.830,81
160.191,85
160.878,76
161.880,71
162.973,72
163.949,82
164.777,87
166.046,79
166.875,75
167.799,66
168.920,75
169.847,75
170.770,78
172.235,82
172.821,82
173.841,81
174.919,81
175.942,82
176.792,83
177.891,83
178.964,81
179.695,81
180.910,82
181.743,86
182.668,84
183.838,85
184.765,81
185.642,79
186.958,76
187.834,70
188.911,67
189.788,69
190.809,72
191.590,75
192.808,75
193.689,72
194.563,70
195.782,78
196.808,83
197.575,84
198.756,81
199.634,80
200.559,78
201.729,73
202.656,77
203.582,84
204.703,82
205.631,85
206.555,79
207.775,83
208.799,80
209.510,81
210.702,81
211.623,78
212.501,80
213.673,78
214.599,80
215.720,77
216.693,79
217.618,80
218.451,80
219.621,69
220.741,84
221.568,79
222.598,82
223.813,79
224.399,78
225.614,72
226.589,52
227.373,45
228.568,26
229.469,31
230.638,25
231.566,27
232.450,0
233.324,0
234.547,0
235.466,0
236.347,0
237.558,35
238.413,26
239.318,27
240.635,43
241.458,38
242.297,40
243.462,41
244.390,42
245.507,32
246.482,30
247.603,35
248.238,38
249.408,50
250.334,53
251.359,57
252.433,65
253.551,65
254.187,68
255.650,75
256.281,78
257.246,72
258.378,73
259.401,68
260.181,70
261.644,72
262.230,73
263.307,72
264.569,71
265.252,69
266.178,61
267.300,50
268.319,59
269.103,54
270.277,51
271.199,61
272.076,58
273.342,55
274.176,71
275.050,69
276.656,71
277.193,65
278.314,40
279.243,25
280.269,24
281.047,23
282.217,23
283.094,0
284.025,0
285.192,28
286.069,0
286.996,0
288.358,30
289.383,40
289.969,32
291.140,51
292.064,51
293.189,47
294.304,40
295.040,0
295.918,42
297.135,38
298.353,44
298.894,25
300.108,33
301.277,0
301.865,32
303.128,7
304.203,32
304.889,28
306.247,44
307.128,48
307.905,51
309.172,54
310.053,51
310.833,49
312.007,43
313.221,68
313.808,60
315.022,65
315.903,59
316.783,52
318.002,50
318.878,22
319.756,25
320.975,33
321.949,34
322.825,30
324.013,60
324.825,52
325.796,48
326.967,29
327.844,28
328.725,38
329.896,34
330.821,25
331.744,53
332.899,51
333.798,66
334.922,59
335.845,62
336.866,61
337.838,72
338.867,69
339.742,60
340.921,66
341.933,73
342.765,69
343.689,69
344.907,51
345.690,30
346.759,47
347.790,36
348.688,24
349.590,25
350.768,20
351.639,0
352.612,0
353.734,0
354.660,0
355.635,0
356.708,25
357.732,20
358.557,70
359.730,68
360.608,71
361.485,75
362.705,71
363.873,57
364.463,48
365.823,38
366.571,35
367.485,33
368.749,46
369.821,31
370.566,33
371.626,33
372.503,45
373.429,63
374.625,53
375.530,35
376.428,34
377.573,34
378.499,29
379.384,0
380.546,21
381.519,49
382.504,75
383.764,69
384.589,69
385.325,49
386.543,42
387.422,50
388.308,42
389.563,42
390.394,64
391.320,67
392.491,75
393.462,62
394.295,59
395.464,60
396.342,63
397.268,64
398.442,63
399.606,67
400.287,87
401.457,69
402.338,21
403.247,26
404.386,0
405.359,0
406.191,0
407.703,0
408.286,5
409.465,24
410.576,48
411.260,43
412.145,30
413.355,31
414.234,29
415.111,35
416.332,36
417.208,0
418.231,0
419.349,0
420.181,0
421.107,0
422.306,34
423.203,30
