Time (s),Resistance (Ω),Conductance (µS),Stage
1,70.412,14202.124637845822,callibration
2,70.3411,14216.439606432086,callibration
3,74.7014,13386.62996945171,callibration
4,72.9307,13711.646809916812,callibration
5,75.2997,13280.26539282361,callibration
6,71.9866,13891.474246595895,callibration
7,71.4824,13989.457544794242,callibration
8,72.6391,13766.690391263108,callibration
9,70.6961,14145.051848687552,callibration
10,70.3411,14216.439606432086,callibration
11,72.4937,13794.302125564014,callibration
12,74.1812,13480.504494400197,callibration
13,74.1812,13480.504494400197,callibration
14,69.7761,14331.554787384219,callibration
15,74.1812,13480.504494400197,callibration
16,70.412,14202.124637845822,callibration
17,70.8386,14116.597448283846,callibration
18,70.2703,14230.76321006172,callibration
19,71.9866,13891.474246595895,callibration
20,71.4106,14003.523286458872,Normal stage
21,69.2848,14433.18014918135,Normal stage
22,70.0581,14273.866976124104,Normal stage
23,59.9609,16677.53486021724,Normal stage
24,78.821,12686.974283503127,Normal stage
25,78.587,12724.750913000878,Normal stage
26,77.5033,12902.676402166102,Normal stage
27,73.1501,13670.521297988658,Normal stage
28,80.317,12450.66424293736,Normal stage
29,78.8991,12674.41580448953,Normal stage
30,82.0809,12183.10228079858,Normal stage
31,82.7309,12087.382102696814,Normal stage
32,71.1241,14059.931865570179,Normal stage
33,71.1957,14045.792091376305,Normal stage
34,71.1957,14045.792091376305,Normal stage
35,74.0331,13507.471657947592,Normal stage
36,76.3566,13096.44483908398,Normal stage
37,75.0748,13320.048804658822,Normal stage
38,75.7511,13201.128432458407,Normal stage
39,75.6003,13227.460737589665,Normal stage
40,73.1501,13670.521297988658,Normal stage
41,70.7673,14130.820308249713,Normal stage
42,70.625,14159.29203539823,Normal stage
43,69.6355,14360.491416016257,Normal stage
44,72.1311,13863.645501039078,Normal stage
45,72.8577,13725.385237250148,Normal stage
46,73.0038,13697.917094726576,Normal stage
47,71.1957,14045.792091376305,Normal stage
48,73.2967,13643.179024430841,Normal stage
49,74.9252,13346.644386668302,Normal stage
50,73.0038,13697.917094726576,Normal stage
51,74.2553,13467.052183480506,Normal stage
52,72.5664,13780.482427128809,Normal stage
53,70.5539,14173.560922925593,Normal stage
54,71.1241,14059.931865570179,Normal stage
55,69.5652,14375.003593750898,Normal stage
56,73.8853,13534.491976076433,Normal stage
57,72.2035,13849.744125977271,Normal stage
58,69.5652,14375.003593750898,Normal stage
59,69.5652,14375.003593750898,Normal stage
60,72.4937,13794.302125564014,Normal stage
61,70.4829,14187.838468621467,Normal stage
62,74.1812,13480.504494400197,Normal stage
63,69.6355,14360.491416016257,Normal stage
64,75.2997,13280.26539282361,Normal stage
65,74.1812,13480.504494400197,Normal stage
66,73.8115,13548.024359347799,Normal stage
67,71.3389,14017.597692142715,Normal stage
68,73.9592,13520.968317667039,Normal stage
69,73.8115,13548.024359347799,Normal stage
70,72.276,13835.851458298745,Normal stage
71,72.1311,13863.645501039078,Normal stage
72,73.0769,13684.214847646796,Normal stage
73,72.8577,13725.385237250148,Normal stage
74,71.1241,14059.931865570179,Normal stage
75,72.8577,13725.385237250148,Normal stage
76,73.0769,13684.214847646796,Normal stage
77,75.7511,13201.128432458407,Normal stage
78,73.2234,13656.836475771406,Normal stage
79,73.37,13629.54886193267,Normal stage
80,74.0331,13507.471657947592,Normal stage
81,74.1812,13480.504494400197,Normal stage
82,71.8422,13919.39556416702,Normal stage
83,73.6641,13575.133613252587,Normal stage
84,72.0588,13877.555551854872,Normal stage
85,72.3485,13821.986634138924,Normal stage
86,71.8422,13919.39556416702,Normal stage
87,76.2807,13109.475922481048,Normal stage
88,74.1812,13480.504494400197,Normal stage
89,73.9592,13520.968317667039,Normal stage
90,72.7119,13752.907020721505,Normal stage
91,71.8422,13919.39556416702,Normal stage
92,75.4499,13253.828036882753,Normal stage
93,75.3747,13267.051145808871,Normal stage
94,72.5664,13780.482427128809,Normal stage
95,72.0588,13877.555551854872,Normal stage
96,77.2727,12941.181038063894,Normal stage
97,76.5847,13057.438365626555,Normal stage
98,74.7014,13386.62996945171,Normal stage
99,71.9144,13905.420889279476,Normal stage
100,72.4937,13794.302125564014,Normal stage
101,76.4326,13083.422518663503,Normal stage
102,77.5033,12902.676402166102,Normal stage
103,75.9021,13174.866044549492,Normal stage
104,75.0748,13320.048804658822,Normal stage
105,77.4263,12915.508037966429,Normal stage
106,76.8135,13018.544917234602,Normal stage
107,74.2553,13467.052183480506,Normal stage
108,74.1812,13480.504494400197,Normal stage
109,73.1501,13670.521297988658,Normal stage
110,75.8265,13188.001556184185,Normal stage
111,75,13333.333333333334,Normal stage
112,75.3747,13267.051145808871,Normal stage
113,77.1194,12966.905862856816,Normal stage
114,74.7759,13373.2927320166,Normal stage
115,75.2246,13293.523661142764,Normal stage
116,74.4781,13426.765720392974,Normal stage
117,76.8135,13018.544917234602,Normal stage
118,74.5524,13413.384411501173,Normal stage
119,76.5847,13057.438365626555,Normal stage
120,76.3566,13096.44483908398,Normal stage
