df_hash,22ZHK4.TRV2GV
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.PCK3
person_label,v118
date_time_start,2026-03-10_17-31-48.958000_+03
date_time_start_unix,1773149508.958
date_time_end,2026-03-10_17-40-36.666000_+03
length_difference_noticed,no

time,quality
7.805,100
8.539,100
9.464,100
10.636,100
11.561,0
12.487,0
13.631,0
14.534,60
15.656,56
16.679,47
17.605,34
18.483,0
19.654,37
20.482,30
21.362,0
22.579,26
23.530,30
24.574,30
25.605,37
26.430,77
27.357,69
28.527,70
29.408,74
30.436,82
31.506,78
32.423,76
33.362,82
34.763,82
35.401,82
36.375,74
37.497,73
38.374,68
39.300,69
40.423,72
41.347,78
42.249,79
43.443,87
44.378,84
45.293,82
46.418,77
47.295,80
48.221,86
49.391,77
50.268,84
51.240,88
52.414,81
53.243,74
54.169,76
55.387,83
56.218,53
57.195,50
58.365,40
59.333,42
60.603,43
61.338,36
62.217,45
63.125,48
64.272,43
65.188,45
66.404,46
67.234,45
68.160,60
69.330,54
70.256,56
71.135,47
72.011,34
73.230,25
74.107,24
75.034,0
76.204,29
77.081,44
78.297,27
79.180,30
80.109,30
81.030,29
82.157,30
83.077,25
83.955,0
85.171,45
86.051,53
86.929,56
88.243,49
89.026,52
89.903,46
91.085,58
92.047,67
92.876,69
94.048,73
95.116,79
95.902,60
97.072,28
97.950,28
98.863,8
100.044,1
100.924,4
101.896,6
103.019,4
103.897,43
104.822,40
105.994,48
107.157,63
107.840,77
108.967,71
109.891,77
110.771,69
111.938,65
112.910,72
113.788,76
114.960,77
115.838,81
116.767,81
117.968,80
118.813,62
119.788,42
120.908,36
121.838,28
122.761,27
123.883,18
124.759,26
125.784,30
127.052,27
127.787,27
128.611,29
129.830,31
130.707,38
131.633,65
132.900,63
133.682,66
134.799,65
135.782,72
136.815,74
137.630,81
138.848,78
139.677,72
140.652,77
141.725,75
142.699,78
143.625,79
144.751,79
145.626,81
146.552,77
147.723,76
148.609,75
149.570,81
150.702,74
151.573,74
152.499,60
153.714,25
154.548,0
155.497,0
156.651,41
157.520,0
158.495,32
159.713,34
160.542,49
161.421,75
162.591,76
163.619,63
164.443,68
165.613,66
166.498,67
167.513,68
168.588,71
169.464,70
170.438,71
171.752,69
172.437,68
173.750,70
174.536,45
175.413,41
176.341,31
177.511,26
178.482,36
179.313,40
180.527,35
181.360,27
182.287,34
183.456,54
184.384,61
185.308,63
186.431,65
187.355,67
188.281,73
189.500,80
190.380,70
191.450,75
192.497,62
193.303,67
194.229,73
195.400,78
196.281,79
197.154,73
198.374,49
199.252,26
200.178,28
201.360,33
202.419,0
203.251,0
204.574,47
205.200,52
206.465,59
207.344,58
208.221,67
209.390,64
210.268,68
211.252,67
212.272,73
213.292,63
214.168,47
215.097,29
216.279,31
217.148,29
218.019,32
219.238,33
220.118,43
221.193,71
222.212,81
223.284,82
223.967,82
225.244,80
226.064,78
227.046,82
228.185,79
229.085,81
230.356,78
231.133,82
232.108,79
232.937,69
234.107,46
235.033,45
235.911,46
237.081,0
238.008,0
239.175,5
240.060,12
241.032,0
241.907,34
243.077,34
243.955,30
244.840,28
246.051,26
246.977,24
247.904,27
249.025,26
249.903,29
250.830,26
252.007,32
252.877,29
253.851,31
254.974,29
255.851,5
256.920,0
257.952,34
258.823,42
259.799,45
261.014,59
261.847,55
262.918,55
263.947,52
264.820,50
265.746,62
266.917,51
268.037,52
268.766,61
269.896,53
270.962,55
271.740,60
272.864,53
273.787,57
274.621,61
275.883,55
276.719,54
277.641,60
279.152,54
279.689,69
280.616,64
282.077,59
282.757,52
283.638,51
284.825,31
285.685,26
286.566,28
287.733,23
288.697,33
289.585,29
290.755,44
291.633,41
292.510,43
293.779,48
294.634,46
295.538,0
296.930,0
297.581,4
298.507,8
299.778,5
300.556,0
301.578,31
302.651,43
303.591,56
304.505,72
305.625,68
306.551,59
307.451,56
308.647,35
309.530,42
310.743,46
311.572,39
312.498,36
313.376,34
314.545,30
315.569,34
316.350,0
317.568,0
318.447,0
319.392,40
320.591,47
321.468,50
322.346,64
323.516,61
324.393,70
325.368,60
326.490,49
327.562,52
328.310,52
329.509,54
330.391,57
331.316,63
332.488,80
333.363,68
334.279,48
335.642,49
336.340,53
337.291,60
338.482,60
339.313,69
340.481,66
341.409,60
342.287,38
343.163,30
344.384,24
345.259,24
346.331,32
347.360,31
348.307,19
349.159,27
350.377,0
351.298,0
352.181,34
353.324,44
354.181,26
355.108,36
356.281,36
357.300,56
358.082,61
359.393,65
360.223,63
361.055,67
362.467,71
363.150,61
364.029,57
365.252,57
366.176,55
367.050,57
368.220,60
369.143,36
369.976,20
371.216,26
372.209,32
373.246,22
374.170,23
375.092,0
375.972,30
377.198,0
378.070,23
378.945,20
380.140,50
381.041,44
382.016,50
383.183,50
384.071,51
384.894,57
386.112,73
387.042,81
387.965,78
389.087,80
389.966,68
390.890,59
392.059,45
393.034,39
393.913,34
395.085,33
395.959,32
396.883,38
398.008,46
398.983,42
399.811,34
401.126,0
401.908,2
402.879,0
404.007,0
404.884,0
406.005,0
406.994,28
407.858,0
409.073,1
409.954,0
410.830,30
411.709,29
412.924,41
413.881,50
414.923,18
415.901,31
416.880,31
417.748,24
418.875,28
419.942,29
420.677,29
421.926,44
