df_hash,22ZHK4.TRV2GV
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.PCK3
person_label,v118
date_time_start,2026-03-10_17-31-48.958000_+03
date_time_start_unix,1773149508.958
date_time_end,2026-03-10_17-40-36.666000_+03
length_difference_noticed,no

time,rr_int
14.434,8635
14.580,1005
14.583,255
14.677,20
14.680,15
14.775,20
14.824,205
14.827,20
14.970,10
14.974,20
15.660,505
15.799,310
17.070,10
17.213,1300
17.220,15
17.224,20
17.229,120
17.554,10
17.559,10
18.724,755
19.735,770
19.747,1055
19.991,10
19.995,250
20.137,15
20.141,15
20.236,10
20.246,15
20.249,15
20.256,20
20.407,235
21.799,855
21.844,600
21.847,10
21.850,20
22.039,215
22.236,245
23.745,690
24.578,850
24.625,820
24.730,15
25.549,15
25.553,835
26.378,10
26.524,920
26.528,155
26.673,105
26.768,10
28.182,650
28.185,865
29.010,10
29.985,875
30.131,925
30.135,210
30.278,10
30.283,15
30.326,15
30.329,15
30.335,10
30.818,20
30.822,560
31.839,10
31.842,940
31.850,10
31.938,10
32.618,15
33.638,905
34.421,865
34.432,890
35.485,10
36.225,940
36.381,935
36.566,220
36.570,10
37.103,600
38.081,10
38.227,925
39.004,10
39.881,925
39.885,895
39.982,10
40.733,10
40.762,825
41.686,10
42.514,925
42.517,910
43.343,10
44.318,825
44.321,910
45.147,10
46.123,920
46.950,855
47.783,850
48.608,940
49.437,725
50.412,945
50.427,890
51.245,15
51.393,900
52.215,10
52.219,910
53.044,10
54.020,865
54.897,940
54.994,945
55.825,10
56.297,840
56.701,485
57.675,395
57.682,1040
58.505,10
59.452,790
60.015,810
60.845,805
60.853,825
61.673,10
62.648,835
62.653,900
62.846,10
62.942,280
63.770,500
64.329,315
66.017,570
66.060,1715
66.840,10
67.819,825
68.644,935
68.661,930
68.888,10
68.892,165
69.083,15
69.086,10
69.473,15
69.476,615
69.622,15
69.765,200
70.595,620
71.179,310
71.183,430
71.277,10
71.287,160
71.326,15
71.329,65
71.335,10
71.817,10
72.252,535
72.732,415
72.792,335
73.083,240
73.373,20
74.056,500
74.738,695
74.742,725
75.177,10
75.180,355
75.229,10
75.237,10
75.243,10
75.326,15
75.469,245
75.519,10
77.273,845
77.955,955
79.467,785
80.054,1500
80.199,730
81.271,1065
81.856,10
82.540,535
83.367,665
84.196,935
85.199,855
85.609,865
85.638,120
86.584,375
87.416,940
87.706,875
87.709,240
88.273,10
89.071,540
90.055,915
90.875,930
91.703,895
92.533,800
93.409,850
93.413,855
94.239,10
95.145,835
95.847,760
97.018,750
98.139,1195
98.967,1255
99.800,770
100.625,785
100.628,830
100.917,10
101.307,335
101.311,390
102.136,10
102.140,825
102.184,15
102.188,10
102.192,15
102.431,15
102.435,10
103.013,15
103.966,800
104.107,915
104.673,255
105.504,550
106.329,810
107.186,840
107.847,815
107.989,745
108.669,10
109.497,760
109.501,840
110.375,10
110.380,860
111.204,10
112.032,815
112.036,810
112.937,10
113.690,840
114.518,840
115.234,830
115.493,810
115.500,215
116.177,25
117.030,640
117.995,865
118.275,940
118.712,20
119.101,775
119.726,330
119.930,630
120.369,225
120.373,400
120.377,10
120.466,15
120.470,20
120.518,15
120.521,10
120.524,10
121.051,15
121.056,635
121.197,10
121.201,110
121.344,140
121.347,15
122.465,410
122.611,730
122.858,140
123.004,295
123.294,10
123.297,405
124.122,10
124.808,785
125.488,815
125.491,440
126.365,235
126.368,850
127.247,15
128.026,750
128.705,855
129.144,745
129.534,345
130.362,485
131.191,825
131.195,820
131.922,15
132.021,685
132.069,175
132.166,40
132.170,30
132.751,10
132.755,620
133.581,10
133.589,825
134.413,10
135.533,820
136.067,800
136.899,870
137.725,890
138.455,790
138.459,755
139.284,10
139.287,825
140.259,10
140.941,850
140.949,785
141.625,10
142.453,735
143.574,800
144.159,835
144.988,845
145.134,760
145.694,230
146.500,515
147.230,800
147.234,790
148.059,10
148.156,750
148.160,175
148.206,10
148.212,20
148.227,25
148.303,15
148.741,15
149.576,470
149.623,815
150.399,10
150.402,855
151.230,10
151.959,785
152.203,795
152.354,420
153.617,900
154.445,320
154.451,870
155.138,10
155.185,675
155.859,10
156.397,660
156.544,635
157.078,10
157.907,700
158.736,800
159.420,785
159.467,720
159.760,10
160.149,215
160.152,495
161.027,10
161.856,825
162.663,845
162.782,840
162.928,10
163.367,240
163.464,500
163.657,10
164.147,205
165.025,505
165.857,835
166.557,835
167.218,760
168.073,755
169.025,860
169.753,875
170.049,795
170.103,180
170.582,25
171.265,525
172.093,790
172.147,800
172.922,10
172.925,840
173.119,15
173.790,15
174.433,740
174.617,725
175.993,240
176.529,1330
176.535,515
176.681,10
177.651,10
178.336,1175
178.382,725
179.162,10
179.167,775
179.893,10
180.722,735
181.697,820
181.700,960
182.380,15
183.062,675
183.939,730
183.944,805
184.768,10
185.597,830
185.601,790
186.279,10
186.283,720
186.965,10
187.791,790
188.522,810
189.209,730
190.033,700
190.862,805
191.691,860
191.694,810
191.984,10
192.552,195
193.251,560
194.177,825
195.057,870
195.066,835
195.069,15
195.073,10
195.103,15
195.107,15
195.155,20
195.158,15
195.737,10
196.592,665
197.590,815
197.834,920
198.955,390
199.437,1080
199.495,420
199.506,10
199.511,10
199.515,15
199.637,10
199.681,15
200.466,250
