df_hash,22ZHK4.TRV2GV
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.PCK3
person_label,v118
date_time_start,2026-03-10_17-31-48.958000_+03
date_time_start_unix,1773149508.958
date_time_end,2026-03-10_17-40-36.666000_+03
length_difference_noticed,no

time,acc_mag
4.658,0.964
4.688,0.963
4.718,0.963
4.748,0.961
4.778,0.957
4.808,0.963
4.838,0.960
4.868,0.960
4.898,0.961
4.928,0.961
4.958,0.959
4.988,0.961
5.018,0.962
5.048,0.958
5.078,0.961
5.108,0.960
5.138,0.958
5.168,0.960
5.198,0.962
5.228,0.960
5.258,0.960
5.288,0.962
5.318,0.962
5.348,0.960
5.378,0.960
5.408,0.957
5.438,0.962
5.468,0.961
5.498,0.963
5.528,0.970
5.558,0.956
5.588,0.958
5.618,0.956
5.648,0.964
5.678,0.961
5.708,0.962
5.738,0.961
5.768,0.955
5.798,0.958
5.828,0.959
5.858,0.958
5.888,0.962
5.918,0.961
5.948,0.965
5.978,0.960
6.008,0.963
6.038,0.961
6.068,0.955
6.098,0.961
6.128,0.959
6.158,0.962
6.188,0.961
6.218,0.958
6.248,0.963
6.278,0.959
6.308,0.956
6.338,0.960
6.368,0.960
6.398,0.960
6.428,0.958
6.458,0.954
6.488,0.968
6.518,0.963
6.548,0.958
6.578,0.951
6.608,0.961
6.638,0.964
6.668,0.962
6.698,0.958
6.728,0.957
6.758,0.959
6.788,0.960
6.818,0.959
6.848,0.963
6.878,0.960
6.908,0.958
6.938,0.961
6.968,0.965
6.998,0.958
7.028,0.957
7.058,0.960
7.088,0.961
7.118,0.961
7.148,0.962
7.178,0.961
7.208,0.961
7.238,0.961
7.268,0.963
7.298,0.955
7.328,0.957
7.358,0.970
7.388,0.961
7.418,0.956
7.448,0.957
7.478,0.961
7.508,0.961
7.538,0.964
7.568,0.963
7.598,0.959
7.628,0.960
7.658,0.957
7.688,0.956
7.718,0.958
7.748,0.962
7.778,0.958
7.808,0.959
7.838,0.959
7.868,0.958
7.898,0.963
7.928,0.959
7.958,0.958
7.988,0.959
8.018,0.962
8.048,0.964
8.078,0.968
8.108,0.955
8.138,0.958
8.168,0.955
8.198,0.958
8.228,0.958
8.258,0.962
8.288,0.967
8.318,0.953
8.348,0.957
8.378,0.958
8.408,0.958
8.438,0.959
8.468,0.967
8.498,0.962
8.528,0.958
8.558,0.964
8.588,0.961
8.618,0.956
8.648,0.963
8.678,0.962
8.708,0.961
8.738,0.962
8.768,0.960
8.798,0.961
8.828,0.951
8.858,0.958
8.888,0.960
8.918,0.960
8.948,0.959
8.978,0.959
9.008,0.960
9.038,0.965
9.068,0.962
9.098,0.958
9.128,0.960
9.158,0.957
9.188,0.958
9.218,0.957
9.248,0.959
9.278,0.969
9.308,0.955
9.338,0.957
9.368,0.964
9.398,0.958
9.428,0.961
9.458,0.963
9.488,0.955
9.518,0.962
9.548,0.972
9.578,0.961
9.608,0.960
9.638,0.961
9.668,0.957
9.698,0.959
9.728,0.959
9.758,0.959
9.788,0.962
9.818,0.961
9.848,0.959
9.878,0.960
9.908,0.961
9.938,0.962
9.968,0.963
9.998,0.960
10.028,0.960
10.058,0.960
10.088,0.962
10.118,0.955
10.148,0.961
10.178,0.974
10.208,0.960
10.238,0.955
10.268,0.957
10.298,0.965
10.328,0.966
10.358,0.967
10.388,0.964
10.418,0.955
10.448,0.962
10.478,0.961
10.508,0.960
10.538,0.961
10.568,0.962
10.598,0.962
10.628,0.962
10.658,0.958
10.688,0.958
10.718,0.967
10.748,0.964
10.778,0.960
10.808,0.954
10.838,0.959
10.868,0.962
10.898,0.965
10.928,0.959
10.958,0.964
10.988,0.970
11.018,0.958
11.048,0.953
11.078,0.960
11.108,0.958
11.138,0.963
11.168,0.967
11.198,0.961
11.228,0.957
11.258,0.963
11.288,0.964
11.318,0.959
11.348,0.963
11.378,0.964
11.408,0.959
11.438,0.961
11.468,0.958
11.498,0.959
11.528,0.960
11.558,0.958
11.588,0.960
11.618,0.959
11.648,0.958
11.678,0.958
11.708,0.958
11.738,0.963
11.768,0.966
11.798,0.965
11.828,0.962
11.858,0.963
11.888,0.967
11.918,0.959
11.948,0.951
11.978,0.954
12.008,0.958
12.038,0.958
12.068,0.964
12.098,0.968
12.128,0.965
12.158,0.961
12.188,0.964
12.218,0.961
12.248,0.961
12.278,0.954
12.308,0.952
12.338,0.952
12.368,0.964
12.398,0.970
12.428,0.965
12.458,0.963
12.488,0.960
12.518,0.962
12.548,0.959
12.578,0.964
12.608,0.970
12.638,0.966
12.668,0.968
12.698,0.956
12.728,0.944
12.758,0.947
12.788,0.956
12.818,0.963
12.848,0.970
12.878,0.978
12.908,0.972
12.938,0.958
12.968,0.954
12.998,0.959
13.028,0.965
13.058,0.968
13.088,0.964
13.118,0.951
13.148,0.947
13.178,0.955
13.208,0.960
13.238,0.967
13.268,0.969
13.298,0.968
13.328,0.970
13.358,0.962
13.388,0.964
13.418,0.968
13.448,0.964
13.478,0.956
13.508,0.952
13.538,0.954
13.568,0.963
13.598,0.967
13.628,0.965
13.658,0.966
13.688,0.961
13.718,0.964
13.748,0.966
13.778,0.961
13.808,0.965
13.838,0.970
13.868,0.957
13.898,0.953
13.928,0.953
13.958,0.961
13.988,0.960
14.018,0.961
