df_hash,22ZHK4.TRV2GV
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.PCK3
person_label,v118
date_time_start,2026-03-10_17-31-48.958000_+03
date_time_start_unix,1773149508.958
date_time_end,2026-03-10_17-40-36.666000_+03
length_difference_noticed,no

time,omega
60.178,0.804
91.807,0.767
93.465,0.739
145.189,0.728
149.637,0.725
152.353,0.723
166.755,0.723
167.421,0.723
168.256,0.687
170.102,0.675
172.145,0.704
172.346,0.708
179.230,0.708
183.995,0.688
190.332,0.688
203.152,0.688
207.151,0.708
218.317,0.688
222.605,0.688
225.139,0.688
225.817,0.682
228.425,0.682
229.039,0.682
231.481,0.677
232.209,0.677
265.635,0.680
266.780,0.680
274.040,0.680
290.614,0.681
467.779,0.728
470.651,0.711
471.426,0.695
473.132,0.711
474.064,0.728
