df_hash,22ZHK4.TRV2GV
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.PCK3
person_label,v118
date_time_start,2026-03-10_17-31-48.958000_+03
date_time_start_unix,1773149508.958
date_time_end,2026-03-10_17-40-36.666000_+03
length_difference_noticed,no

time,temperature
384.744,34.906
385.755,34.906
386.743,34.906
387.815,34.875
388.839,34.906
389.960,34.812
390.741,34.812
391.764,34.812
392.803,34.844
393.762,34.875
394.738,34.844
395.810,34.875
396.835,34.875
397.760,34.938
398.735,34.938
399.759,35.000
400.980,35.031
401.759,35.062
402.733,35.031
403.757,35.000
404.739,35.031
405.820,35.000
406.732,35.000
407.754,35.031
408.729,35.000
409.754,35.000
410.782,35.000
411.754,34.969
412.727,34.938
413.751,34.969
414.726,34.969
415.749,34.938
416.873,34.906
417.754,34.906
418.723,34.938
419.746,34.969
420.722,34.969
421.746,35.000
422.721,35.062
423.749,35.062
424.719,35.062
425.892,35.094
427.014,35.094
427.742,35.125
428.963,35.125
429.789,35.094
430.717,35.062
431.743,35.062
432.716,35.031
433.748,35.062
434.764,35.062
435.892,35.094
436.764,35.031
437.737,35.031
438.760,35.000
439.862,34.969
440.781,35.031
441.733,35.031
443.149,35.000
443.802,35.000
444.756,35.000
445.731,34.969
446.754,35.000
447.827,35.000
449.045,35.000
449.729,35.031
450.752,35.000
451.754,35.031
452.997,35.062
453.731,35.094
454.756,35.062
455.764,35.062
456.748,35.094
457.724,35.031
458.748,35.062
459.723,35.062
460.746,35.062
461.721,35.062
462.745,35.094
463.866,35.094
464.846,35.125
465.721,35.156
466.775,35.188
467.746,35.219
468.741,35.219
469.716,35.219
470.740,35.219
471.741,35.219
472.739,35.188
473.714,35.156
474.766,35.156
475.716,35.156
476.736,35.125
477.761,35.125
478.979,35.094
479.712,35.094
480.783,35.094
481.709,35.125
482.733,35.156
483.708,35.188
484.733,35.125
485.755,35.062
486.731,35.094
487.782,35.094
488.729,35.125
489.753,35.031
490.728,35.062
491.752,35.062
492.727,35.062
493.750,35.062
