df_hash,22ZHK4.TRV2GV
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.PCK3
person_label,v118
date_time_start,2026-03-10_17-31-48.958000_+03
date_time_start_unix,1773149508.958
date_time_end,2026-03-10_17-40-36.666000_+03
length_difference_noticed,no

time,spo2
60.022,92
91.707,93
93.458,93
145.138,94
149.630,94
152.207,94
166.731,94
167.221,94
168.245,94
170.094,95
172.097,94
172.337,94
179.210,94
183.988,94
190.037,94
203.102,94
207.002,94
218.309,94
222.553,94
225.091,94
225.781,95
228.403,95
228.990,95
231.474,95
232.157,95
265.623,95
266.721,95
274.033,95
290.414,95
467.769,94
470.645,94
471.377,94
473.034,94
474.057,94
