df_hash,22ZHK4.TRV2GV
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.PCK3
person_label,v118
date_time_start,2026-03-10_17-31-48.958000_+03
date_time_start_unix,1773149508.958
date_time_end,2026-03-10_17-40-36.666000_+03
length_difference_noticed,no

time,battery
6.683,54
16.776,54
26.771,54
36.762,54
46.658,54
56.705,54
66.695,54
76.688,54
86.682,54
96.676,54
106.673,54
116.664,54
126.658,54
136.781,54
146.646,54
156.688,54
166.756,54
176.691,54
186.670,54
196.699,53
206.658,53
216.651,53
226.645,53
236.834,53
246.633,53
256.677,53
266.864,53
276.663,53
286.658,53
296.750,53
306.648,53
316.641,53
326.633,53
336.651,53
346.769,53
356.664,53
366.742,53
376.653,53
386.645,53
396.639,53
406.633,53
416.696,53
426.729,53
436.760,53
446.689,53
456.651,53
466.765,53
476.639,53
486.633,53
496.627,53
506.621,53
516.712,53
