df_hash,22ZHK4.TRV2GV
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.PCK3
person_label,v118
date_time_start,2026-03-10_17-31-48.958000_+03
date_time_start_unix,1773149508.958
date_time_end,2026-03-10_17-40-36.666000_+03
length_difference_noticed,no

time,heart_rate
7.682,46
8.535,46
9.461,46
10.631,47
11.557,46
12.484,46
13.628,46
14.531,67
15.652,65
16.630,56
17.599,58
18.480,61
19.650,60
20.479,58
21.357,59
22.575,59
23.527,59
24.333,58
25.600,58
26.426,64
27.353,66
28.523,68
29.400,68
30.427,68
31.499,68
32.374,68
33.349,67
34.493,67
35.396,67
36.372,67
37.493,66
38.370,66
39.296,66
40.418,67
41.344,68
42.246,68
43.440,68
44.371,68
45.244,68
46.414,68
47.291,68
48.218,68
49.388,68
50.265,69
51.148,69
52.410,69
53.239,69
54.165,68
55.384,67
56.213,67
57.188,68
58.358,67
59.193,67
60.179,67
61.334,67
62.209,69
63.117,70
64.257,70
65.185,70
66.085,69
67.230,69
68.157,70
69.089,70
70.253,69
71.132,68
72.008,68
73.227,68
74.104,68
75.030,68
76.200,68
77.078,75
77.961,72
79.174,71
80.103,63
81.027,61
82.152,60
83.058,61
83.952,61
85.133,68
86.048,73
86.926,75
88.121,75
89.022,75
89.899,73
91.072,71
92.001,70
92.873,70
94.043,70
94.997,70
95.896,72
97.066,71
97.943,70
98.854,70
100.039,70
100.920,70
101.892,70
103.016,70
103.891,72
104.817,73
105.990,73
106.990,72
107.796,72
108.961,73
109.887,74
110.765,75
111.935,75
112.867,74
113.740,73
114.909,72
115.835,73
116.761,72
117.963,72
118.809,71
119.784,71
120.905,71
121.835,71
122.757,71
123.879,71
124.756,71
125.780,71
126.906,71
127.784,74
128.607,75
129.826,75
130.704,74
131.630,74
132.805,75
133.677,75
134.624,75
135.778,75
136.785,74
137.626,73
138.782,72
139.674,73
140.555,73
141.721,74
142.651,75
143.578,75
144.744,75
145.621,75
146.548,75
147.719,76
148.598,76
149.475,77
150.691,77
151.569,77
152.495,76
153.665,76
154.543,76
155.494,76
156.642,76
157.516,76
158.492,76
159.663,80
160.539,80
161.417,80
162.587,79
163.538,78
164.439,77
165.609,77
166.487,76
167.422,76
168.583,77
169.460,76
170.420,75
171.592,75
172.434,75
173.397,75
174.530,75
175.408,75
176.334,75
177.507,75
178.387,75
179.308,68
180.479,62
181.356,66
182.282,70
183.452,73
184.381,74
185.304,75
186.426,76
187.352,77
188.278,77
189.424,77
190.376,78
191.240,78
192.494,77
193.300,77
194.226,76
195.396,75
196.274,74
197.151,74
198.370,74
199.247,74
200.173,74
201.347,74
202.244,74
203.221,74
204.567,74
205.195,75
206.174,75
207.340,73
208.217,72
209.098,71
210.265,71
211.244,71
212.267,71
213.287,73
214.165,72
215.091,71
216.264,71
217.145,71
218.016,71
219.235,71
220.112,73
221.042,72
222.209,71
223.091,71
223.964,71
225.232,71
226.060,71
227.035,72
228.180,73
229.042,74
230.353,74
231.130,75
232.060,75
232.934,75
234.104,74
235.030,74
235.908,73
237.077,73
238.004,73
238.884,73
240.051,73
241.028,73
241.904,75
243.074,76
243.951,73
244.830,73
246.048,73
246.974,73
247.900,73
249.021,73
249.899,67
250.825,69
251.997,63
252.873,65
253.848,60
254.969,56
255.847,58
256.778,58
257.946,58
258.820,57
259.773,57
260.965,68
261.843,74
262.771,75
263.943,76
264.817,77
265.722,77
266.874,76
267.813,76
268.720,75
269.889,75
270.771,75
271.645,76
272.861,75
273.738,75
274.616,75
275.877,76
276.715,78
277.638,80
278.826,80
279.686,81
280.612,81
281.788,82
282.709,81
283.634,81
284.810,81
285.682,81
286.559,81
287.730,81
288.691,81
289.582,81
290.752,83
291.629,83
292.507,82
293.775,81
294.626,79
295.486,80
296.926,79
297.577,79
298.504,79
299.728,79
300.551,79
301.482,79
302.647,76
303.577,75
304.500,75
305.621,74
306.547,74
307.447,75
308.644,74
309.524,77
310.453,80
311.569,78
312.495,78
313.372,78
314.542,78
315.494,78
316.346,78
317.565,78
318.442,78
319.386,80
320.588,80
321.417,80
322.342,80
323.513,79
324.390,79
325.365,79
326.486,78
327.369,79
328.290,79
329.460,79
330.386,79
331.313,79
332.485,78
333.360,78
334.276,78
335.623,80
336.335,81
337.287,83
338.461,83
339.308,83
340.239,83
341.404,83
342.282,83
343.159,83
344.378,83
345.255,83
346.185,83
347.352,83
348.304,83
349.155,83
350.374,83
351.292,83
352.178,87
353.321,89
354.177,90
355.103,89
356.274,88
357.205,86
358.077,85
359.274,84
360.178,85
361.051,85
362.254,86
363.147,86
364.024,86
365.246,86
366.169,87
367.047,87
368.217,88
369.095,87
369.972,87
371.196,87
372.197,87
373.045,87
374.164,87
375.043,87
375.968,90
377.189,88
378.065,88
378.942,88
380.136,86
381.038,83
382.013,81
383.135,80
384.064,79
384.890,79
386.108,79
387.037,80
387.961,80
389.082,80
389.963,80
390.886,80
392.056,80
393.005,80
393.909,80
395.079,80
395.956,80
396.844,81
398.004,82
398.979,82
399.807,81
400.984,81
401.904,81
402.830,81
404.000,81
404.878,81
405.999,81
406.974,81
407.851,81
408.781,81
409.947,81
410.825,83
411.703,84
412.921,86
413.877,88
414.777,86
415.897,86
416.876,86
417.702,86
418.869,86
419.930,86
420.673,86
421.900,87
