df_hash,22ZHK4.SJ97MY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.H7NN
person_label,V153
date_time_start,2026-06-08_18-52-11.533000_+03
date_time_start_unix,1780926731.533
date_time_end,2026-06-08_19-10-04.103000_+03
length_difference_noticed,no

time,respiration_rate
181.051,22
185.491,23
189.731,24
193.991,27
198.251,25
202.501,24
206.781,24
211.101,24
286.741,24
293.801,24
297.901,24
302.721,24
307.161,24
311.741,24
380.401,24
384.831,22
389.401,22
393.771,22
398.061,22
405.021,22
