df_hash,22ZHK4.SJ97MY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.H7NN
person_label,V153
date_time_start,2026-06-08_18-52-11.533000_+03
date_time_start_unix,1780926731.533
date_time_end,2026-06-08_19-10-04.103000_+03
length_difference_noticed,no

time,temperature
4.857,33.969
5.825,34.000
6.800,34.031
8.167,34.031
8.815,34.125
9.822,34.125
11.040,34.125
11.821,34.156
12.796,34.188
13.843,34.219
14.794,34.281
15.841,34.281
16.798,34.344
17.817,34.375
18.791,34.375
19.815,34.438
20.791,34.438
22.060,34.469
22.789,34.531
23.911,34.562
24.984,34.594
25.811,34.625
26.786,34.656
28.064,34.688
28.984,34.781
29.808,34.812
30.788,34.875
31.810,34.906
32.855,34.906
33.805,34.938
34.829,34.969
35.901,34.969
37.028,35.031
37.802,35.062
38.826,35.031
39.923,35.062
40.828,35.062
41.799,35.062
42.823,35.125
43.846,35.125
44.826,35.188
45.797,35.250
46.820,35.281
48.066,35.312
48.819,35.375
49.793,35.375
50.912,35.375
51.792,35.406
52.865,35.406
53.791,35.406
54.822,35.375
55.842,35.375
56.816,35.406
57.788,35.406
58.811,35.375
59.792,35.406
60.810,35.438
61.808,35.469
62.809,35.469
63.930,35.594
64.914,35.625
65.880,35.688
66.952,35.656
67.932,35.688
68.901,35.719
70.079,35.750
70.852,35.781
71.980,35.750
72.952,35.750
73.988,35.656
74.898,35.688
75.921,35.656
76.847,35.719
77.986,35.781
78.946,35.719
79.944,35.719
80.899,35.656
81.820,35.719
83.092,35.781
83.934,35.812
85.185,35.781
85.917,35.781
87.036,35.750
88.015,35.656
88.839,35.781
89.912,35.781
90.886,35.844
91.814,35.812
92.837,35.812
93.909,35.812
94.932,35.844
95.907,35.781
96.886,35.812
97.831,35.875
99.273,35.875
99.904,35.875
100.892,35.906
101.854,35.906
102.829,35.906
103.951,35.938
104.925,35.906
105.900,36.000
106.875,36.031
107.850,36.062
108.825,36.031
109.946,36.031
110.872,36.031
111.901,36.062
112.875,36.062
113.968,36.094
114.918,36.094
116.041,36.062
116.868,36.094
117.843,36.125
118.818,36.156
119.939,36.188
120.914,36.219
121.890,36.188
122.864,36.250
123.790,36.250
125.252,36.281
125.892,36.312
126.863,36.281
127.987,36.250
128.811,36.250
129.955,36.281
130.911,36.250
131.940,36.281
133.005,36.281
133.831,36.219
134.806,36.219
135.879,36.219
136.903,36.250
137.926,36.281
138.852,36.312
139.927,36.312
140.900,36.312
142.167,36.312
142.904,36.312
143.873,36.375
144.956,36.406
145.969,36.438
146.896,36.406
147.873,36.406
149.137,36.375
149.971,36.375
150.943,36.375
151.944,36.344
152.891,36.344
153.866,36.344
155.093,36.344
155.918,36.312
156.888,36.312
158.058,36.312
158.838,36.281
159.813,36.312
160.893,36.312
161.918,36.344
162.886,36.375
163.859,36.344
164.883,36.344
165.932,36.375
167.173,36.406
167.954,36.438
168.883,36.438
169.806,36.438
170.927,36.438
171.907,36.406
172.882,36.438
173.901,36.500
174.827,36.469
176.267,36.469
176.923,36.438
177.920,36.469
178.873,36.500
179.897,36.500
181.066,36.500
182.094,36.500
182.882,36.469
183.850,36.469
185.161,36.469
185.941,36.500
187.111,36.531
187.940,36.500
188.916,36.500
189.816,36.500
190.916,36.500
191.937,36.531
192.916,36.562
194.037,36.562
195.001,36.469
195.842,36.406
196.917,36.438
197.884,36.438
198.859,36.438
199.986,36.438
200.809,36.469
201.930,36.438
202.907,36.438
204.026,36.469
204.855,36.562
205.830,36.594
206.951,36.594
207.936,36.594
208.856,36.625
209.929,36.562
210.854,36.562
212.169,36.562
212.898,36.594
213.898,36.562
214.848,36.562
215.843,36.562
216.949,36.531
218.165,36.531
218.894,36.500
219.890,36.562
220.859,36.531
221.825,36.562
222.980,36.531
224.061,36.531
224.867,36.531
225.865,36.531
227.232,36.562
227.917,36.562
228.985,36.625
229.903,36.625
230.842,36.625
231.812,36.562
233.325,36.562
234.300,36.594
234.883,36.625
235.858,36.625
236.885,36.594
238.054,36.656
238.880,36.656
239.912,36.625
240.979,36.656
242.146,36.719
242.926,36.688
243.903,36.688
244.875,36.719
245.900,36.719
247.043,36.750
247.971,36.688
248.878,36.688
249.897,36.656
250.886,36.688
251.850,36.688
252.919,36.719
253.894,36.719
254.869,36.688
255.844,36.688
256.868,36.625
257.805,36.656
258.771,36.688
260.056,36.719
260.865,36.688
261.856,36.719
262.838,36.688
263.793,36.688
264.911,36.688
265.885,36.656
266.861,36.750
267.835,36.781
268.859,36.781
269.884,36.750
271.104,36.750
272.174,36.812
272.808,36.781
273.785,36.812
274.949,36.844
275.903,36.875
276.854,36.812
277.829,36.781
278.952,36.750
279.925,36.781
280.900,36.781
281.835,36.688
282.850,36.781
283.921,36.688
285.092,36.656
286.018,36.656
286.847,36.688
288.117,36.656
288.846,36.656
290.164,36.625
290.893,36.625
291.922,36.625
292.842,36.562
294.179,36.656
294.939,36.688
295.914,36.719
296.889,36.719
297.864,36.719
298.791,36.781
299.914,36.750
300.934,36.781
302.056,36.812
302.836,36.812
303.860,36.812
304.786,36.781
305.909,36.750
306.833,36.719
307.861,36.688
308.836,36.656
309.855,36.656
310.918,36.688
311.855,36.656
313.139,36.688
314.001,36.656
314.928,36.719
315.905,36.719
316.883,36.750
317.850,36.781
