df_hash,22ZHK4.SJ97MY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.H7NN
person_label,V153
date_time_start,2026-06-08_18-52-11.533000_+03
date_time_start_unix,1780926731.533
date_time_end,2026-06-08_19-10-04.103000_+03
length_difference_noticed,no

time,rr_int
10.505,3920
11.062,1570
11.092,555
11.334,15
12.408,305
12.455,900
13.040,255
13.871,545
14.697,845
15.525,820
16.362,830
17.183,800
18.206,920
18.987,905
19.818,880
20.595,805
21.375,775
22.204,810
23.183,880
24.205,870
25.423,985
26.109,1005
26.936,945
27.821,900
28.592,895
29.466,830
30.266,785
31.026,780
31.806,810
32.656,785
33.467,860
34.438,860
35.121,900
35.954,805
36.681,725
37.513,755
38.414,820
39.313,905
40.142,865
40.835,870
41.127,790
41.653,250
42.482,540
43.213,820
43.462,990
44.579,360
45.407,800
46.286,810
47.098,845
47.805,780
48.380,725
49.014,645
49.745,675
50.452,680
51.256,745
52.085,830
52.913,855
53.742,825
54.719,820
55.302,770
55.556,695
55.990,300
56.813,420
57.403,755
57.646,705
57.690,205
58.080,20
58.779,460
59.496,715
60.322,700
61.201,860
61.395,810
61.980,305
62.910,540
63.686,875
64.615,805
65.299,795
66.123,785
66.708,765
67.683,740
68.268,770
69.200,720
69.799,820
70.705,765
71.534,850
71.878,810
72.363,250
73.045,540
73.922,780
74.703,750
75.147,925
75.726,405
76.018,695
76.311,255
77.237,350
77.871,760
78.748,760
79.626,785
80.166,835
80.703,480
81.381,690
81.965,640
82.551,580
82.892,635
82.895,325
82.945,15
83.464,225
84.647,670
85.476,830
86.163,800
87.064,845
87.938,895
88.547,845
89.326,715
90.009,635
90.304,760
90.349,150
90.354,20
90.360,25
90.450,210
90.716,255
92.689,945
93.519,950
94.493,915
95.322,920
96.164,840
96.930,865
97.718,825
98.393,700
99.367,745
100.342,920
101.074,965
102.146,915
102.832,920
103.853,920
104.246,930
104.684,235
104.928,635
105.709,250
106.582,660
107.571,890
108.191,905
109.117,805
109.995,870
111.068,945
111.993,985
112.822,935
113.943,885
114.674,925
115.702,935
115.866,880
116.482,235
116.578,665
117.452,10
118.330,955
119.207,965
120.133,875
121.131,940
121.894,925
122.814,935
123.692,865
124.734,885
125.642,940
126.668,935
127.499,930
128.426,900
129.151,930
129.547,870
129.642,245
130.127,15
130.809,605
130.812,775
131.589,10
132.320,705
133.201,795
134.124,900
134.952,830
135.684,820
136.513,860
137.389,840
138.121,790
138.803,760
139.583,745
140.588,820
141.245,820
142.170,805
142.996,880
143.775,835
144.507,845
145.141,665
145.823,760
146.603,650
147.431,750
148.265,770
149.240,870
150.067,925
150.893,865
151.672,860
152.550,855
152.745,860
153.428,235
154.256,580
155.110,860
155.250,840
155.864,235
156.693,550
157.571,855
158.545,880
159.423,965
160.300,925
161.331,925
162.104,900
162.981,895
163.183,845
163.289,200
163.574,10
163.599,10
163.811,20
164.493,530
165.516,800
166.253,865
167.178,910
168.051,895
168.928,900
169.855,910
170.683,880
171.639,840
172.488,855
172.682,870
173.315,260
173.998,580
174.930,880
175.900,870
176.680,855
177.605,890
178.485,885
179.376,895
180.286,835
181.072,845
181.898,870
182.675,855
183.699,885
184.430,900
185.551,940
186.383,900
187.137,870
187.988,880
188.824,825
189.499,770
190.377,805
191.326,840
192.180,875
193.060,840
193.887,885
194.666,845
195.446,840
196.519,880
197.299,860
198.128,845
199.005,875
199.785,885
200.667,820
201.490,805
202.332,855
203.197,840
204.032,855
204.811,810
205.586,850
206.658,925
207.390,885
208.462,885
209.290,930
209.973,820
210.851,805
211.533,770
212.364,820
213.288,770
214.169,900
215.092,950
215.970,895
216.895,920
217.682,925
218.509,860
219.284,820
220.133,740
220.410,820
220.990,230
221.722,560
222.517,780
223.329,830
224.066,835
224.938,805
225.817,810
226.600,855
227.522,860
228.275,835
229.133,875
229.569,845
230.019,420
231.179,420
231.714,1095
232.650,550
232.740,1000
232.743,165
232.746,10
234.326,600
235.029,835
235.468,810
235.615,340
235.809,10
236.832,445
236.890,905
237.483,270
238.198,500
238.929,760
239.662,780
239.907,690
240.006,245
240.635,530
241.269,10
242.151,770
242.872,885
243.657,780
244.595,830
244.633,810
245.413,10
246.094,815
246.833,715
247.415,730
248.337,780
249.068,830
249.945,795
250.828,825
251.457,800
252.242,755
252.539,695
252.924,275
253.552,425
254.339,710
254.465,730
254.629,250
254.634,10
255.600,385
256.530,775
257.408,815
258.238,845
259.061,820
259.841,845
260.669,855
261.793,860
262.522,850
263.355,875
264.179,880
265.300,835
265.889,905
266.671,870
267.549,800
268.371,805
269.200,815
269.931,850
270.814,830
271.640,850
272.613,830
273.198,785
274.077,770
274.683,790
275.001,790
275.586,260
276.203,470
277.000,705
277.634,730
278.563,785
279.443,870
280.363,840
280.948,815
281.739,805
282.657,780
283.055,700
283.775,650
284.383,620
284.410,650
285.095,10
285.823,695
286.625,810
287.483,820
288.274,770
288.655,745
289.051,390
290.600,405
291.331,1510
292.174,765
292.848,845
293.769,865
294.646,850
295.524,815
296.202,775
297.000,795
297.620,785
298.497,745
299.423,825
300.111,820
301.039,795
301.861,850
302.104,885
302.640,245
303.052,535
303.136,520
304.274,270
304.277,795
305.029,10
305.312,745
305.619,650
306.540,725
307.126,245
307.662,505
308.539,675
309.222,745
