df_hash,22ZHK4.SJ97MY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.H7NN
person_label,V153
date_time_start,2026-06-08_18-52-11.533000_+03
date_time_start_unix,1780926731.533
date_time_end,2026-06-08_19-10-04.103000_+03
length_difference_noticed,no

time,perfusion_ir
34.587,0.360
37.566,0.350
38.441,0.360
39.462,0.360
50.476,0.360
64.664,0.360
66.808,0.370
71.585,0.360
73.971,0.360
75.212,0.360
76.220,0.360
79.674,0.360
87.335,0.360
96.258,0.360
97.028,0.370
100.489,0.370
102.292,0.370
103.124,0.370
104.297,0.380
112.044,0.390
112.871,0.390
121.139,0.400
124.884,0.400
125.693,0.400
129.158,0.400
137.490,0.390
138.172,0.380
141.295,0.380
143.827,0.390
149.289,0.390
155.242,0.390
155.283,0.390
159.478,0.390
160.402,0.390
162.155,0.390
163.079,0.390
163.280,0.380
165.665,0.380
166.299,0.370
167.290,0.370
168.991,0.370
170.737,0.370
171.683,0.360
172.498,0.350
172.828,0.340
174.981,0.340
175.948,0.340
176.731,0.350
177.709,0.350
178.495,0.350
179.431,0.340
180.338,0.340
181.182,0.340
182.730,0.340
183.750,0.340
184.600,0.340
185.700,0.340
186.432,0.340
187.361,0.350
188.088,0.340
188.837,0.340
190.441,0.340
191.359,0.340
192.237,0.340
193.110,0.340
193.988,0.340
194.864,0.340
195.547,0.340
196.668,0.340
197.355,0.340
198.176,0.340
199.105,0.340
199.836,0.350
202.374,0.340
203.297,0.340
210.022,0.340
215.978,0.340
216.944,0.340
217.727,0.340
218.581,0.340
223.524,0.340
224.312,0.340
224.989,0.340
225.823,0.340
226.649,0.340
229.145,0.340
229.721,0.330
235.478,0.330
239.761,0.330
242.202,0.330
250.877,0.330
260.044,0.330
262.573,0.330
263.449,0.330
264.280,0.330
265.353,0.330
265.937,0.330
266.818,0.330
267.605,0.330
268.420,0.340
269.249,0.340
269.983,0.340
270.962,0.340
271.846,0.340
272.664,0.340
279.503,0.340
280.463,0.340
281.094,0.340
281.830,0.340
284.435,0.340
285.874,0.340
292.314,0.330
293.820,0.330
295.556,0.320
296.220,0.330
297.040,0.330
297.672,0.320
298.549,0.320
301.087,0.310
301.909,0.310
302.156,0.310
313.709,0.300
314.389,0.300
321.414,0.310
325.941,0.310
328.923,0.300
334.578,0.300
338.424,0.290
342.716,0.310
343.542,0.320
344.473,0.320
344.687,0.320
346.185,0.320
348.024,0.320
357.593,0.320
362.892,0.320
363.773,0.330
364.695,0.340
365.680,0.340
366.505,0.340
370.309,0.340
371.231,0.350
372.144,0.350
373.380,0.350
373.909,0.350
374.547,0.350
375.475,0.350
376.297,0.350
378.981,0.350
380.788,0.340
381.668,0.340
382.540,0.350
383.468,0.350
384.268,0.350
385.324,0.350
387.092,0.350
394.044,0.350
394.830,0.360
395.854,0.360
396.629,0.350
398.001,0.350
404.352,0.360
405.107,0.350
405.792,0.340
414.130,0.350
416.617,0.350
417.397,0.350
422.432,0.360
423.246,0.360
424.272,0.360
424.857,0.370
426.802,0.360
427.534,0.360
428.411,0.350
429.147,0.350
430.220,0.350
444.498,0.350
447.420,0.340
450.887,0.340
454.203,0.330
459.174,0.330
465.609,0.320
469.797,0.320
470.627,0.320
471.550,0.320
472.479,0.330
473.457,0.340
474.283,0.340
479.797,0.350
483.204,0.350
486.667,0.340
489.152,0.330
490.324,0.320
490.666,0.320
491.585,0.310
497.195,0.310
502.166,0.320
503.146,0.320
503.775,0.320
504.605,0.340
505.289,0.340
512.062,0.350
512.802,0.360
513.622,0.360
516.796,0.360
517.619,0.360
518.311,0.350
520.114,0.350
520.447,0.340
523.664,0.340
536.626,0.350
542.044,0.350
543.943,0.360
548.376,0.360
550.817,0.360
551.740,0.360
564.513,0.350
565.441,0.350
567.307,0.340
578.603,0.330
582.707,0.330
585.525,0.330
586.159,0.330
586.852,0.330
588.596,0.330
589.184,0.330
589.967,0.330
590.836,0.320
591.619,0.320
610.973,0.320
612.626,0.320
634.569,0.320
653.239,0.320
655.283,0.320
657.721,0.320
674.440,0.320
674.696,0.310
678.590,0.300
679.268,0.300
681.856,0.310
682.775,0.310
685.992,0.310
693.946,0.300
697.547,0.290
705.646,0.300
711.199,0.300
719.890,0.300
722.803,0.310
729.432,0.320
736.266,0.330
737.034,0.340
738.012,0.340
738.786,0.330
739.567,0.330
740.447,0.330
741.288,0.330
742.349,0.330
743.125,0.340
744.008,0.340
744.932,0.340
745.913,0.340
746.743,0.330
752.056,0.330
753.508,0.330
761.612,0.330
764.236,0.330
765.022,0.330
765.858,0.330
766.673,0.320
767.566,0.320
770.284,0.310
771.109,0.310
775.552,0.300
776.475,0.300
783.245,0.300
801.723,0.300
804.161,0.300
805.035,0.300
805.916,0.300
809.817,0.300
818.422,0.290
818.707,0.300
821.418,0.300
882.162,0.310
883.582,0.320
886.595,0.330
