df_hash,22ZHK4.V1TMJW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.NQB8
person_label,V52
date_time_start,2025-10-30_18-35-51.808000_+03
date_time_start_unix,1761834951.808
date_time_end,2025-10-30_18-44-06.305000_+03
length_difference_noticed,no

time,heart_rate
23.737,95
24.666,95
25.969,95
26.760,95
27.810,95
28.807,95
29.888,95
30.688,95
31.830,95
32.711,96
33.637,96
34.804,96
35.681,95
36.559,95
37.777,94
38.661,94
39.581,94
40.752,94
41.629,94
42.580,94
43.725,93
44.606,93
45.529,93
46.699,93
47.625,93
48.507,92
49.672,93
50.602,93
51.477,94
52.793,94
53.578,93
54.450,93
55.669,93
56.552,93
57.430,93
58.644,93
59.526,93
60.398,93
61.616,93
62.494,93
63.420,93
64.590,93
65.468,93
66.394,93
67.605,93
68.497,94
69.398,95
70.542,96
71.539,96
72.341,96
73.560,95
74.438,94
75.319,94
76.585,94
77.412,94
78.289,94
79.508,94
80.385,94
81.311,94
82.506,94
83.408,94
84.310,94
85.455,95
86.333,95
87.259,95
88.429,94
89.355,94
90.233,94
91.403,94
92.378,94
93.206,94
94.450,94
95.303,95
96.181,96
97.399,98
98.374,96
99.178,96
100.373,96
101.250,96
102.128,96
103.347,96
104.224,96
105.150,96
106.320,96
107.198,96
108.175,97
109.298,98
110.195,98
111.150,97
112.268,97
113.267,97
114.071,97
115.388,97
116.171,97
117.051,97
118.215,97
119.146,97
120.019,97
121.238,95
122.115,96
122.993,95
124.212,96
125.092,96
125.967,96
127.185,96
128.137,96
128.940,96
130.159,96
131.037,96
131.963,96
133.133,96
134.010,96
135.034,96
136.107,96
136.984,96
137.910,96
139.080,96
140.007,96
140.884,96
142.093,96
142.980,96
143.858,100
145.054,99
145.957,100
146.865,99
148.002,99
148.928,99
149.830,99
151.024,99
151.902,99
152.779,99
153.998,99
154.965,99
155.753,99
157.058,99
157.850,99
158.775,99
159.949,99
160.854,99
161.749,99
162.968,99
163.797,99
164.723,99
165.893,99
166.868,99
167.697,99
168.867,99
169.798,99
170.869,99
171.889,99
172.767,99
173.644,99
174.863,99
175.744,99
176.716,96
177.912,94
178.714,93
179.689,91
180.812,90
181.786,89
182.614,90
183.785,89
184.908,89
185.588,89
186.758,89
187.684,89
188.562,89
189.732,89
190.658,89
191.536,89
192.730,89
193.632,89
194.650,92
195.728,92
196.663,93
197.483,93
198.751,92
199.580,92
200.457,92
201.676,92
202.553,92
203.480,92
204.650,96
205.579,98
206.453,99
207.623,100
208.550,101
209.427,102
210.653,102
211.528,102
212.404,101
213.591,101
214.497,101
215.447,101
216.597,101
217.546,101
218.349,101
219.571,101
220.445,101
221.371,101
222.546,101
223.468,101
224.395,101
225.518,101
226.434,101
227.321,101
228.517,101
229.463,101
230.300,101
231.511,101
232.404,101
233.266,101
234.451,101
235.411,101
236.389,101
237.458,101
238.385,101
239.214,101
240.454,67
241.312,56
242.187,41
257.127,61
258.324,60
259.201,59
260.142,58
261.297,55
262.177,56
263.052,56
264.271,56
265.149,55
266.272,55
267.248,55
268.126,55
269.053,55
270.219,55
271.099,55
272.022,55
273.195,55
274.119,55
274.996,55
276.166,55
277.044,55
277.970,53
279.189,53
280.066,52
280.944,52
282.260,52
283.148,52
283.917,52
285.114,52
286.062,52
286.891,52
288.110,52
288.987,52
289.865,52
291.132,59
291.961,63
292.839,59
294.057,58
295.156,58
295.861,58
297.104,58
297.909,58
298.907,58
300.005,58
300.939,58
301.837,58
303.271,58
303.929,58
304.784,58
306.001,56
306.882,55
307.756,55
309.012,53
309.879,52
310.743,52
311.949,52
312.830,52
313.753,52
314.923,52
315.800,52
316.750,52
317.902,52
318.823,52
319.700,52
320.870,51
321.865,51
322.677,51
323.893,53
324.770,53
325.648,52
326.866,52
327.744,53
328.621,53
329.840,53
330.718,52
331.595,52
332.814,52
333.692,52
334.618,52
335.788,52
336.665,52
337.640,52
338.794,53
339.691,54
340.595,55
341.735,56
342.762,55
343.541,54
344.758,54
345.635,54
346.514,54
347.780,54
348.609,54
349.491,54
350.705,54
351.632,54
352.460,54
353.679,54
354.556,54
355.483,54
356.653,54
357.530,54
358.457,54
359.652,54
360.560,54
361.479,54
362.631,57
363.709,59
364.454,57
365.582,59
366.528,58
367.378,58
368.548,58
369.475,58
370.500,58
371.619,58
372.448,58
373.325,58
374.547,58
375.470,58
376.299,55
377.521,53
378.420,54
379.274,54
380.492,59
381.369,57
382.308,56
383.465,58
384.395,60
385.269,60
386.488,59
387.317,58
388.243,57
389.413,57
390.339,57
391.263,57
392.387,57
393.362,54
394.191,52
395.509,52
396.287,52
397.188,52
398.334,52
399.294,52
400.138,52
401.350,52
402.285,52
403.112,52
404.333,52
405.226,52
406.087,52
407.305,52
408.231,52
409.059,52
410.281,52
411.156,52
412.049,52
413.252,52
414.129,52
415.058,52
416.226,52
417.104,52
418.029,52
419.214,52
420.077,52
421.003,52
422.199,52
423.099,52
423.977,51
425.147,51
426.096,51
426.951,51
428.186,51
429.096,51
429.924,51
431.143,51
432.059,51
433.024,51
434.214,51
435.043,51
435.921,51
437.091,51
437.968,51
438.894,51
440.087,51
440.942,51
441.923,51
443.042,51
443.964,51
444.848,51
446.012,51
446.990,60
447.816,65
449.048,60
449.961,59
450.790,60
452.008,60
