df_hash,22ZHK4.V1TMJW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.NQB8
person_label,V52
date_time_start,2025-10-30_18-35-51.808000_+03
date_time_start_unix,1761834951.808
date_time_end,2025-10-30_18-44-06.305000_+03
length_difference_noticed,no

time,quality
23.742,52
24.715,43
25.976,30
26.764,23
27.813,21
28.811,27
29.929,22
30.693,24
31.834,34
33.003,65
33.785,69
34.807,61
35.687,70
36.563,80
37.780,80
38.753,78
39.630,76
40.757,77
41.633,73
42.653,71
43.774,75
44.751,75
45.532,75
46.703,73
47.628,75
48.651,76
49.676,68
50.842,68
51.489,74
52.798,66
53.770,36
54.500,31
55.675,38
56.890,31
57.522,0
58.698,0
59.569,0
60.403,31
61.619,0
62.497,2
63.426,0
64.639,0
65.483,0
66.399,0
67.611,28
68.588,45
69.514,40
70.735,44
71.559,31
72.345,36
73.566,36
74.441,51
75.364,45
76.588,43
77.417,35
78.292,25
79.512,41
80.388,38
81.316,30
82.510,0
83.411,0
84.313,0
85.459,39
86.336,39
87.262,37
88.436,0
89.362,0
90.237,0
91.407,0
92.381,0
93.210,0
94.572,28
95.310,43
96.229,64
97.449,41
98.380,23
99.182,26
100.423,21
101.255,0
102.133,4
103.350,0
104.227,0
105.156,0
106.323,0
107.202,0
108.182,36
109.538,47
110.321,38
111.342,24
112.272,22
113.489,26
114.076,26
115.398,21
116.366,0
117.339,0
118.219,0
119.288,0
120.022,0
121.245,25
122.119,44
123.042,48
124.215,54
125.141,65
125.972,73
127.191,73
128.143,72
128.947,69
130.163,67
131.041,71
131.966,68
133.182,52
134.014,40
135.037,17
136.110,0
136.987,0
137.914,2
139.084,11
140.013,19
140.889,19
142.106,0
142.987,0
143.861,32
145.060,53
146.100,63
146.930,19
148.005,21
148.931,26
149.854,27
151.028,0
151.908,0
152.831,24
154.004,0
155.168,0
155.758,0
157.064,0
157.854,1
158.779,2
160.143,30
160.875,29
161.754,0
162.971,0
163.800,0
164.772,3
165.897,0
166.919,0
167.700,0
168.870,29
169.893,0
170.876,7
171.894,0
172.773,0
173.650,0
174.867,0
176.085,0
176.719,27
177.916,33
178.718,43
179.693,57
181.006,65
181.834,63
182.618,42
183.823,6
184.911,0
185.595,50
186.790,0
187.688,4
188.566,8
189.735,7
190.662,6
191.539,4
192.806,0
193.637,0
194.653,26
195.732,41
196.667,53
197.487,44
198.758,24
199.584,21
200.461,24
201.725,25
202.557,23
203.484,21
204.654,35
205.675,43
206.457,50
207.626,51
208.555,67
209.434,67
210.792,63
211.574,42
212.420,21
213.595,0
214.501,0
215.451,0
216.643,0
217.550,0
218.352,0
219.719,2
220.449,0
221.420,0
222.590,0
223.516,3
224.398,0
225.807,0
226.441,0
227.324,1
228.520,4
229.471,0
230.488,4
231.516,6
232.486,10
233.269,0
234.489,42
235.418,0
236.392,14
237.462,12
238.388,0
239.265,0
240.457,9
241.320,0
242.192,0
243.407,0
245.192,37
246.526,32
247.258,26
248.184,35
249.355,38
250.280,32
251.158,22
252.328,23
253.259,34
254.132,41
255.302,35
256.228,36
257.132,51
258.327,51
259.205,38
260.146,36
261.301,40
262.188,5
263.058,0
264.320,0
265.160,1
266.275,0
267.394,0
268.135,0
269.199,0
270.222,18
271.111,0
272.028,0
273.242,0
274.124,15
275.001,34
276.172,31
277.047,0
277.973,29
279.194,31
280.071,33
280.948,24
282.264,25
283.238,25
283.923,23
285.185,24
286.069,26
286.895,0
288.113,21
288.991,23
289.869,0
291.136,32
291.965,29
292.843,21
294.060,0
295.167,21
295.865,20
297.327,0
297.913,0
299.277,0
300.010,0
301.032,0
301.840,0
303.278,29
304.005,33
304.788,27
306.005,29
306.886,33
307.760,28
309.126,34
309.904,36
310.928,26
311.952,49
312.833,37
313.758,26
314.926,29
315.810,0
316.922,0
318.143,25
318.830,0
319.707,0
320.874,35
322.041,19
322.680,21
323.896,28
324.775,29
325.696,16
326.872,25
327.793,37
328.625,41
329.844,44
330.722,35
331.600,0
332.819,7
333.700,0
334.621,0
335.793,0
336.670,0
337.644,0
338.799,38
339.739,48
340.605,58
341.738,58
342.765,46
343.557,35
344.761,0
345.639,12
346.518,3
347.784,23
348.613,0
349.495,0
350.708,1
351.636,0
352.465,0
353.682,0
354.561,17
355.488,31
356.656,28
357.534,0
358.460,21
359.655,18
360.702,32
361.485,33
362.644,21
363.735,29
364.460,25
365.724,28
366.552,28
367.381,0
368.597,0
369.482,0
370.503,4
371.623,9
372.452,9
373.329,0
374.739,0
375.474,0
376.306,31
377.535,38
378.424,0
379.287,0
380.498,30
381.374,28
382.393,17
383.469,33
384.400,41
385.272,38
386.492,32
387.320,35
388.247,46
389.420,26
390.343,31
391.316,0
392.484,31
393.368,38
394.197,57
395.515,61
396.290,50
397.191,17
398.338,6
399.301,1
400.142,11
401.360,21
402.290,14
403.115,2
404.379,6
405.229,16
406.092,23
407.312,19
408.234,24
409.063,0
410.327,0
411.162,11
412.133,11
413.301,17
414.135,4
415.064,0
416.229,0
417.114,12
418.078,0
419.446,0
420.081,19
421.006,16
422.469,16
423.105,31
423.995,46
425.151,8
426.101,2
426.955,0
428.413,0
429.099,0
429.929,0
431.146,0
432.167,0
433.029,0
434.228,0
435.049,0
435.924,22
437.140,21
437.971,0
438.898,0
