df_hash,22ZHK4.V1TMJW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.NQB8
person_label,V52
date_time_start,2025-10-30_18-35-51.808000_+03
date_time_start_unix,1761834951.808
date_time_end,2025-10-30_18-44-06.305000_+03
length_difference_noticed,no

time,rr_int
9.259,4490
10.526,615
11.065,620
11.647,595
11.892,590
12.769,245
13.890,915
13.988,1105
14.475,50
15.401,465
15.937,1010
16.671,560
17.352,670
18.180,750
18.862,765
19.448,690
20.134,675
20.666,615
21.251,620
21.934,585
22.470,625
23.201,605
23.887,715
24.420,590
24.859,560
25.395,530
26.129,495
26.809,520
27.345,925
27.686,545
27.691,250
28.028,10
28.759,395
29.295,675
29.935,605
30.417,615
31.099,580
31.684,625
32.366,600
33.097,645
33.790,675
34.317,650
34.999,640
35.584,660
36.266,635
36.807,655
37.534,655
38.070,630
38.758,625
39.435,640
40.069,635
40.702,660
41.385,680
41.970,680
42.658,635
43.189,625
43.920,630
44.602,640
45.285,665
45.919,680
46.552,665
47.285,645
47.869,635
48.502,620
49.039,645
49.624,610
50.308,610
50.848,610
51.574,625
52.256,705
52.804,690
53.377,590
53.914,470
54.552,605
55.035,550
55.425,615
56.015,445
56.356,770
57.375,865
57.668,240
57.960,295
58.204,505
59.328,605
59.617,585
59.624,230
59.910,10
60.447,305
60.789,585
61.032,315
61.861,230
63.372,790
63.673,1550
63.715,260
63.908,10
64.646,340
65.175,650
65.883,650
66.448,640
67.125,530
67.710,730
67.808,550
67.811,195
67.954,25
68.295,10
68.933,365
69.519,585
70.071,610
70.881,620
71.201,780
71.206,265
71.269,10
71.274,15
71.318,30
71.323,40
71.356,35
71.465,20
71.476,210
72.829,665
73.463,655
74.096,620
74.633,635
75.266,605
75.900,620
76.538,630
76.729,625
76.876,385
77.706,545
78.536,245
79.362,860
80.093,935
80.681,610
81.361,630
81.946,600
82.433,600
83.018,555
83.749,640
84.383,655
84.533,635
84.578,205
84.582,15
84.586,10
84.677,10
84.707,15
84.919,55
85.504,290
86.187,580
86.479,675
86.820,350
87.601,205
87.844,850
88.965,325
89.724,1025
89.814,890
91.061,630
91.500,660
91.610,595
92.865,600
93.451,605
94.133,590
94.718,605
95.254,630
95.790,610
96.473,570
97.058,580
98.474,630
98.862,1210
99.252,550
100.083,535
100.522,575
100.812,555
101.641,380
102.859,790
103.444,1265
103.981,635
104.663,540
105.248,625
105.785,590
106.515,620
107.054,615
107.734,610
108.321,615
108.855,645
109.294,515
109.880,650
110.808,700
111.146,680
111.347,255
111.927,275
112.463,545
113.146,525
113.587,775
114.267,370
115.242,640
115.410,1200
117.366,1365
117.631,610
118.021,220
118.703,435
118.995,705
118.999,290
119.292,10
119.834,255
120.556,635
121.092,620
121.774,620
122.360,630
123.047,650
123.578,600
124.310,605
125.089,630
125.406,600
126.114,610
126.650,625
127.235,605
127.917,625
128.600,620
129.135,650
129.915,630
130.407,635
130.988,610
131.726,615
132.060,630
132.499,460
133.036,370
133.477,535
134.693,530
135.669,1245
136.401,995
136.546,585
137.618,260
137.621,1045
137.813,175
138.448,670
138.498,10
138.607,145
139.422,300
140.302,585
140.546,535
141.128,550
141.665,545
142.347,585
142.932,620
143.468,620
143.907,610
143.911,305
143.956,10
144.348,15
144.735,255
145.272,605
145.857,595
146.109,490
146.936,360
148.199,875
148.735,1135
149.026,560
149.859,405
150.101,840
150.147,10
150.150,260
150.293,15
150.296,15
150.442,170
152.536,1450
153.510,635
153.517,1085
153.614,10
153.754,165
153.901,210
155.177,595
155.378,835
156.241,265
156.836,620
157.362,540
158.093,600
158.928,660
159.509,715
159.897,555
160.287,595
161.116,430
161.945,910
162.237,770
163.066,300
164.480,785
166.430,1490
166.924,1825
166.966,645
168.380,830
168.672,505
168.916,640
171.159,810
172.726,1360
172.817,1470
173.108,530
174.912,1220
175.594,620
176.347,655
177.058,700
177.154,725
177.691,190
178.374,530
179.354,695
179.787,690
180.372,665
181.011,655
181.839,650
182.274,660
182.712,640
182.956,380
183.249,570
184.093,355
184.917,480
186.186,860
187.148,1305
188.517,950
189.829,1345
190.321,1275
190.902,515
191.487,595
192.170,615
192.706,620
193.437,640
194.168,685
194.607,675
194.846,350
195.339,285
195.924,630
196.656,600
197.044,585
197.584,555
198.264,520
198.556,905
199.943,285
200.235,1165
200.359,345
200.528,195
201.638,555
201.871,570
202.163,310
202.700,225
202.992,615
203.285,535
204.455,600
204.942,570
205.527,575
206.212,545
206.760,595
207.429,570
207.868,590
208.404,605
208.989,565
209.672,585
210.500,615
210.797,595
211.183,600
211.621,365
212.596,480
213.961,925
214.595,1375
214.692,750
216.204,895
216.496,565
216.501,275
216.545,20
216.556,15
216.559,15
216.648,185
217.520,560
218.300,300
218.592,845
218.595,210
218.983,15
219.567,375
220.250,630
220.933,615
221.617,730
222.595,725
224.150,985
224.491,1520
224.686,295
225.320,335
225.811,445
226.246,665
226.639,320
226.783,405
227.757,275
228.294,860
229.271,675
230.146,970
231.267,760
231.689,1170
231.950,370
233.168,270
234.290,1325
234.436,1290
235.703,830
235.948,345
236.281,255
236.678,310
237.801,445
239.848,1160
240.432,2010
241.798,625
242.485,1375
243.455,650
244.577,1030
245.990,1145
246.675,1340
246.965,625
247.355,370
248.038,510
248.232,855
249.305,765
