df_hash,22ZHK4.V1TMJW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.NQB8
person_label,V52
date_time_start,2025-10-30_18-35-51.808000_+03
date_time_start_unix,1761834951.808
date_time_end,2025-10-30_18-44-06.305000_+03
length_difference_noticed,no

time,acc_mag
4.678,1.038
4.708,1.019
4.738,1.029
4.768,1.062
4.798,1.034
4.828,1.038
4.858,1.033
4.888,1.046
4.918,1.034
4.948,1.059
4.978,1.036
5.008,1.036
5.038,1.048
5.068,1.038
5.098,1.054
5.128,1.037
5.158,1.065
5.188,1.042
5.218,1.064
5.248,1.038
5.278,1.038
5.308,1.036
5.338,1.038
5.368,1.040
5.398,1.036
5.428,1.040
5.458,1.041
5.488,1.032
5.518,1.041
5.548,1.036
5.578,1.040
5.608,1.039
5.638,1.038
5.668,0.966
5.698,1.034
5.728,1.039
5.758,1.038
5.788,1.018
5.818,1.033
5.848,1.034
5.878,1.037
5.908,1.044
5.938,1.042
5.968,1.038
5.998,1.036
6.028,1.037
6.058,1.029
6.088,1.044
6.118,1.037
6.148,1.044
6.178,1.042
6.208,1.035
6.238,1.038
6.268,1.035
6.298,1.036
6.328,1.038
6.358,1.049
6.388,1.040
6.418,1.038
6.448,1.030
6.478,1.077
6.508,1.040
6.538,1.038
6.568,1.037
6.598,1.037
6.628,1.034
6.658,1.040
6.688,1.034
6.718,1.045
6.748,1.040
6.778,1.039
6.808,1.037
6.838,1.038
6.868,1.057
6.898,1.038
6.928,1.038
6.958,1.039
6.988,1.034
7.018,1.045
7.048,1.044
7.078,1.037
7.108,1.040
7.138,1.039
7.168,1.033
7.198,1.040
7.228,1.039
7.258,1.038
7.288,1.044
7.318,1.039
7.348,1.037
7.378,1.036
7.408,1.036
7.438,1.038
7.468,1.041
7.498,1.013
7.528,1.036
7.558,1.034
7.588,1.043
7.618,1.045
7.648,1.033
7.678,1.037
7.708,1.040
7.738,1.035
7.768,1.041
7.798,1.038
7.828,1.039
7.858,1.043
7.888,1.037
7.918,1.036
7.948,1.035
7.978,1.039
8.008,1.038
8.038,1.062
8.068,1.047
8.098,1.044
8.128,1.043
8.158,1.032
8.188,1.047
8.218,1.034
8.248,1.036
8.278,1.038
8.308,1.037
8.338,1.035
8.368,1.043
8.398,1.037
8.428,1.042
8.458,1.040
8.488,1.038
8.518,1.039
8.548,1.035
8.578,1.035
8.608,1.038
8.638,1.040
8.668,1.038
8.698,1.046
8.728,1.041
8.758,1.051
8.788,1.024
8.818,1.045
8.848,1.033
8.878,1.033
8.908,1.037
8.938,1.036
8.968,1.035
8.998,1.042
9.028,1.036
9.058,1.043
9.088,1.044
9.118,1.040
9.148,1.034
9.178,1.062
9.208,1.040
9.238,1.038
9.268,1.035
9.298,1.037
9.328,1.045
9.358,1.042
9.388,1.042
9.418,1.033
9.448,1.046
9.478,1.038
9.508,1.036
9.538,1.039
9.568,1.036
9.598,1.033
9.628,1.039
9.658,1.037
9.688,1.040
9.718,1.037
9.748,1.038
9.778,1.038
9.808,1.039
9.838,1.035
9.868,1.036
9.898,1.037
9.928,0.967
9.958,1.032
9.988,1.041
10.018,1.040
10.048,1.045
10.078,1.039
10.108,1.034
10.138,1.035
10.168,1.037
10.198,1.027
10.228,1.037
10.258,1.037
10.288,1.044
10.318,1.041
10.348,1.041
10.378,1.039
10.408,1.036
10.438,1.031
10.468,1.034
10.498,1.043
10.528,1.041
10.558,1.040
10.588,1.044
10.618,1.032
10.648,1.052
10.678,1.045
10.708,1.035
10.738,1.041
10.768,1.037
10.798,1.035
10.828,1.041
10.858,1.038
10.888,1.040
10.918,1.046
10.948,1.037
10.978,1.079
11.008,1.042
11.038,1.039
11.068,1.037
11.098,1.037
11.128,1.046
11.158,1.042
11.188,1.039
11.218,1.034
11.248,1.050
11.278,1.039
11.308,1.038
11.338,1.035
11.368,1.036
11.398,1.034
11.428,1.041
11.458,1.030
11.488,1.042
11.518,1.043
11.548,1.039
11.578,1.043
11.608,1.036
11.638,1.035
11.668,1.041
11.698,1.035
11.728,1.037
11.758,1.043
11.788,1.039
11.818,1.041
11.848,1.047
11.878,1.029
11.908,1.040
11.938,1.037
11.968,1.036
11.998,1.040
12.028,1.046
12.058,1.041
12.088,1.043
12.118,1.045
12.148,1.035
12.178,1.032
12.208,1.035
12.238,1.056
12.268,1.053
12.298,1.045
12.328,1.038
12.358,1.039
12.388,1.035
12.418,1.047
12.448,1.047
12.478,1.037
12.508,1.042
12.538,1.039
12.568,1.035
12.598,1.032
12.628,1.035
12.658,1.032
12.688,1.028
12.718,1.036
12.748,1.041
12.778,1.039
12.808,1.031
12.838,1.038
12.868,1.031
12.898,1.019
12.928,1.041
12.958,1.054
12.988,1.060
13.018,1.050
13.048,1.056
13.078,1.057
13.108,1.049
13.138,1.029
13.168,1.026
13.198,1.021
13.228,1.011
13.258,1.003
13.288,0.998
13.318,1.002
13.348,1.029
13.378,1.042
13.408,1.065
13.438,1.110
13.468,1.079
13.498,1.076
13.528,1.048
13.558,1.008
13.588,1.021
13.618,1.037
13.648,1.029
13.678,1.017
13.708,1.027
13.738,1.036
13.768,1.027
13.798,1.023
13.828,1.022
13.858,1.023
13.888,1.022
13.918,1.025
13.948,1.012
13.978,1.018
14.008,1.038
14.038,1.044
