df_hash,22ZHK4.V1TMJW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.NQB8
person_label,V52
date_time_start,2025-10-30_18-35-51.808000_+03
date_time_start_unix,1761834951.808
date_time_end,2025-10-30_18-44-06.305000_+03
length_difference_noticed,no

time,ppg_med
5.663,476
5.688,547
5.713,660
5.738,721
5.763,697
5.788,672
5.813,737
5.838,857
5.863,903
5.888,829
5.913,751
5.938,792
5.963,903
5.988,910
6.013,752
6.038,584
6.063,575
6.088,658
6.113,598
6.138,316
6.163,22
6.188,-60
6.213,-22
6.238,-171
6.263,-609
6.288,-1060
6.313,-1230
6.338,-1237
6.363,-1480
6.388,-2090
6.413,-2707
6.438,-2952
6.463,-2975
6.488,-3289
6.513,-4057
6.538,-4818
6.563,-5088
6.588,-5060
6.613,-5381
6.638,-6257
6.663,-7102
6.688,-7307
6.713,-7114
6.738,-7338
6.763,-8234
6.788,-9066
6.813,-9074
6.838,-8560
6.863,-8544
6.888,-9344
6.913,-10041
6.938,-9689
6.963,-8666
6.988,-8245
7.013,-8823
7.038,-9259
7.063,-8371
7.088,-6633
7.113,-5638
7.138,-5892
7.163,-5965
7.188,-4374
7.213,-1714
7.238,-1
7.263,118
7.288,446
7.313,2878
7.338,6659
7.363,9197
7.388,9632
7.413,10290
7.438,13662
7.463,18783
7.488,22202
7.513,22715
7.538,23442
7.563,27844
7.588,32767
7.613,32767
7.638,32767
7.663,32767
7.688,32767
7.713,32767
7.738,32767
7.763,32767
7.788,32767
7.813,32767
7.838,32767
7.863,32767
7.888,32767
7.913,12644
7.938,-32768
7.963,-32768
7.988,-32768
8.013,-32768
8.038,-32768
8.063,-32768
8.088,-32768
8.113,-32768
8.138,-32768
8.163,-32768
8.188,-32768
8.213,-32768
8.238,-32768
8.263,-30465
8.288,-24663
8.313,-22681
8.338,-22606
8.363,-20496
8.388,-15716
8.413,-11337
8.438,-9705
8.463,-9464
8.488,-7749
8.513,-4111
8.538,-873
8.563,184
8.588,111
8.613,1141
8.638,3644
8.663,5823
8.688,6294
8.713,5887
8.738,6363
8.763,7998
8.788,9344
8.813,9297
8.838,8544
8.863,8520
8.888,9448
8.913,10145
8.938,9712
8.963,8729
8.988,8404
9.013,8956
9.038,9407
9.063,8958
9.088,7996
9.113,7470
9.138,7595
9.163,7644
9.188,7013
9.213,6020
9.238,5415
9.263,5364
9.288,5283
9.313,4681
9.338,3793
9.363,3215
9.388,3094
9.413,2991
9.438,2514
9.463,1820
9.488,1348
9.513,1227
9.538,1163
9.563,891
9.588,524
9.613,339
9.638,368
9.663,360
9.688,140
9.713,-161
9.738,-312
9.763,-290
9.788,-286
9.813,-423
9.838,-596
9.863,-645
9.888,-584
9.913,-573
9.938,-684
9.963,-804
9.988,-798
10.013,-704
10.038,-679
10.063,-782
10.088,-883
10.113,-818
10.138,-589
10.163,-359
10.188,-258
10.213,-255
10.238,-228
10.263,-127
10.288,-19
10.313,17
10.338,-2
10.363,0
10.388,68
10.413,158
10.438,202
10.463,188
10.488,149
10.513,94
10.538,73
10.563,92
10.588,111
10.613,85
10.638,14
10.663,-50
10.688,-46
10.713,41
10.738,169
10.763,275
10.788,331
10.813,353
10.838,368
10.863,386
10.888,391
10.913,378
10.938,356
10.963,344
10.988,347
11.013,350
11.038,339
11.063,309
11.088,269
11.113,230
11.138,203
11.163,193
11.188,194
11.213,181
11.238,122
11.263,19
11.288,-83
11.313,-121
11.338,-65
11.363,51
11.388,163
11.413,229
11.438,255
11.463,267
11.488,276
11.513,269
11.538,241
11.563,212
11.588,209
11.613,235
11.638,263
11.663,263
11.688,233
11.713,193
11.738,166
11.763,156
11.788,155
11.813,155
11.838,144
11.863,106
11.888,35
11.913,-43
11.938,-83
11.963,-47
11.988,56
12.013,176
12.038,261
12.063,301
12.088,317
12.113,326
12.138,327
12.163,306
12.188,267
12.213,232
12.238,222
12.263,234
12.288,245
12.313,237
12.338,208
12.363,173
12.388,150
12.413,144
12.438,145
12.463,134
12.488,92
12.513,26
12.538,-26
12.563,-21
12.588,58
12.613,181
12.638,283
12.663,323
12.688,315
12.713,303
12.738,316
12.763,343
12.788,350
12.813,323
12.838,283
12.863,258
12.888,249
12.913,234
12.938,193
12.963,135
12.988,91
13.013,84
13.038,95
13.063,87
13.088,31
13.113,-54
13.138,-118
13.163,-111
13.188,-28
13.213,89
13.238,184
13.263,223
13.288,222
13.313,213
13.338,215
13.363,215
13.388,191
13.413,144
13.438,100
13.463,83
13.488,86
13.513,79
13.538,41
13.563,-11
13.588,-47
13.613,-51
13.638,-48
13.663,-77
13.688,-146
13.713,-219
13.738,-238
13.763,-175
13.788,-52
13.813,78
13.838,172
13.863,220
13.888,244
13.913,271
13.938,306
13.963,338
13.988,359
14.013,382
14.038,437
14.063,537
14.088,660
14.113,758
14.138,804
14.163,824
14.188,874
14.213,980
14.238,1101
14.263,1165
14.288,1147
14.313,1104
14.338,1128
14.363,1243
14.388,1366
14.413,1361
14.438,1151
14.463,784
14.488,384
14.513,63
14.538,-146
14.563,-270
14.588,-343
14.613,-386
14.638,-413
14.663,-448
14.688,-510
14.713,-595
14.738,-680
14.763,-752
14.788,-825
14.813,-925
14.838,-1044
14.863,-1139
14.888,-1156
14.913,-1076
14.938,-922
