df_hash,22ZHK4.V1TMJW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.NQB8
person_label,V52
date_time_start,2025-10-30_18-35-51.808000_+03
date_time_start_unix,1761834951.808
date_time_end,2025-10-30_18-44-06.305000_+03
length_difference_noticed,no

time,ppg_quality
57.763,72
58.773,58
59.783,36
61.803,8
63.823,1
65.843,15
66.853,17
67.863,23
68.873,33
70.893,54
72.913,55
73.923,43
74.933,41
75.943,48
76.953,60
79.983,42
82.003,64
84.023,94
86.043,94
88.063,85
90.083,82
91.093,71
93.113,68
95.133,47
97.153,22
99.173,40
101.193,67
103.213,56
104.223,59
105.233,55
106.243,48
108.263,62
110.283,39
112.303,22
113.313,4
123.413,27
125.433,47
127.453,63
128.463,73
129.473,81
131.493,106
132.503,109
134.523,115
136.543,105
137.553,93
138.563,82
140.583,57
141.593,47
142.603,42
144.623,42
147.653,65
149.673,77
151.693,96
153.713,84
156.743,34
157.753,33
158.763,29
159.773,27
160.783,7
162.803,12
164.823,29
166.843,48
167.853,53
168.863,59
169.873,57
170.883,68
172.903,60
173.913,53
175.933,43
176.943,37
177.953,35
179.973,41
181.993,63
184.013,57
185.023,61
186.033,57
189.063,51
191.083,57
193.103,39
194.113,62
195.123,62
197.143,76
198.153,79
199.163,56
202.193,9
210.273,29
212.293,52
213.303,35
214.313,38
215.323,37
217.343,24
219.363,3
225.423,31
227.443,36
229.463,53
230.473,53
231.483,53
232.493,52
234.513,85
235.523,76
236.533,71
238.553,82
240.573,69
242.593,68
244.613,24
245.623,23
246.633,22
247.643,20
249.663,38
251.683,43
252.693,32
253.703,35
255.723,38
257.743,34
259.763,17
261.783,23
263.803,32
264.813,36
265.823,27
266.833,15
268.853,15
269.863,13
270.873,39
271.883,30
272.893,20
273.903,15
274.913,20
275.923,28
277.943,32
278.953,33
290.063,4
291.073,18
292.083,29
293.093,30
294.103,38
295.113,40
297.133,47
299.153,54
300.163,55
302.183,57
303.193,71
306.223,58
307.233,59
308.243,61
309.253,56
310.263,53
312.283,60
313.293,46
314.303,35
316.323,44
319.353,48
321.373,53
323.393,53
325.413,52
326.423,60
327.433,49
329.453,33
331.473,26
332.483,22
334.503,13
337.533,9
338.543,21
340.563,32
342.583,41
344.603,53
345.613,47
346.623,43
347.633,45
349.653,54
351.673,49
352.683,33
353.693,22
355.713,16
357.733,31
358.743,21
360.763,21
361.773,27
362.783,36
364.803,54
366.823,59
367.833,46
368.843,38
370.863,32
372.883,33
373.893,17
375.913,6
376.923,10
377.933,14
379.953,15
381.973,23
383.993,24
385.003,54
386.013,45
388.023,30
389.033,31
390.043,33
391.053,16
392.063,2
397.113,1
398.123,10
399.133,6
401.153,17
403.173,28
405.193,22
407.213,33
409.233,52
411.253,63
413.273,63
414.283,62
416.303,52
418.323,22
420.343,8
422.363,28
423.373,35
424.383,44
426.403,45
428.423,68
430.443,48
431.453,51
433.473,21
435.493,18
437.513,21
438.523,54
440.543,79
441.553,74
442.563,75
444.583,80
445.593,65
447.613,55
448.623,14
449.633,9
450.643,1
458.723,3
459.733,9
461.753,24
462.763,34
463.773,33
465.793,18
467.813,18
469.833,29
470.843,38
471.853,38
473.873,46
474.883,45
476.903,52
477.913,36
479.933,40
480.943,42
482.963,64
483.973,68
484.983,64
487.003,56
489.023,62
490.033,55
491.043,47
