df_hash,22ZHK4.QT9BDF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SU53
person_label,V49
date_time_start,2025-10-30_17-54-05.050000_+03
date_time_start_unix,1761832445.05
date_time_end,2025-10-30_18-02-50.778000_+03
length_difference_noticed,no

time,rr_int
9.162,4035
10.133,10
10.425,1040
10.429,310
10.432,15
10.435,10
10.572,10
10.575,15
11.011,95
11.839,455
12.668,765
12.766,915
13.500,10
14.033,800
14.471,585
14.475,320
15.158,10
16.035,765
16.962,830
17.787,870
17.790,930
18.616,10
19.445,760
20.324,845
20.331,865
21.150,10
21.154,855
21.251,10
21.980,10
22.662,770
23.494,770
23.783,830
24.096,275
24.173,330
24.176,20
24.273,15
24.319,15
26.025,250
27.684,1595
27.694,1640
28.514,10
28.561,855
29.340,10
29.344,910
29.487,15
29.491,15
29.538,10
29.546,20
29.549,20
29.587,10
29.591,10
29.595,10
30.180,15
30.901,680
31.193,730
31.729,275
32.558,540
32.561,805
32.705,10
33.099,175
33.537,330
33.582,500
33.926,220
33.940,15
35.337,795
35.483,835
35.639,10
35.775,205
35.781,210
35.928,30
36.216,10
36.222,10
36.995,305
37.969,785
38.554,790
38.558,840
38.652,15
38.800,105
38.847,90
39.383,10
39.386,565
40.213,10
40.894,780
41.820,775
41.835,730
41.874,10
42.018,230
42.602,20
43.283,660
44.259,775
45.088,880
46.890,940
46.898,1750
47.152,10
47.282,465
48.987,875
48.990,765
49.815,10
49.819,815
50.352,10
50.356,500
50.519,270
52.302,875
52.448,835
52.452,165
52.548,20
52.984,45
53.131,585
53.816,10
53.960,770
54.106,325
54.110,10
54.799,455
55.373,15
56.202,770
56.601,790
57.030,380
57.177,505
57.181,110
57.275,15
57.277,10
57.280,15
57.713,10
58.590,520
58.691,885
58.837,130
58.889,15
58.892,10
58.895,15
59.276,15
59.419,15
60.286,610
61.077,865
61.369,765
61.373,315
61.418,10
61.421,10
61.424,10
61.467,15
61.470,20
61.518,15
61.906,15
61.909,430
62.734,10
62.738,835
62.881,10
63.027,220
63.030,15
64.246,505
64.685,810
64.833,355
65.075,410
65.952,835
66.647,10
66.814,825
67.463,10
67.467,795
68.588,10
69.950,1055
70.789,1460
70.827,770
71.656,10
71.659,850
71.810,10
71.854,180
71.899,25
71.903,35
71.951,10
71.956,10
72.484,25
73.996,535
74.829,1545
74.925,830
74.971,10
74.974,220
75.120,10
75.124,10
75.556,470
76.384,10
76.391,890
77.213,15
77.218,800
78.042,10
78.872,775
79.215,860
79.554,10
80.382,765
80.684,765
81.211,290
81.942,500
81.946,800
82.235,10
82.771,260
83.067,530
83.892,235
85.842,935
87.499,1910
87.548,1660
87.792,10
87.796,240
87.841,10
87.845,10
87.848,10
87.941,10
87.944,10
88.182,25
89.161,460
89.861,855
89.868,795
89.986,10
89.989,120
90.035,15
90.042,10
90.059,10
90.132,10
90.669,20
90.717,580
91.546,10
91.554,810
92.259,10
92.262,785
93.057,10
94.620,740
95.299,1585
96.128,750
96.145,840
96.957,10
97.789,805
98.616,785
98.637,840
99.446,15
100.028,830
100.032,520
100.036,10
100.175,265
100.421,10
101.006,820
101.832,10
102.222,765
102.226,380
102.271,10
102.274,10
102.277,10
102.422,165
102.425,15
102.428,10
102.515,10
102.519,165
104.074,485
104.080,1030
104.907,10
104.924,750
105.732,10
106.566,845
106.709,885
107.390,10
108.365,865
108.373,880
108.512,240
108.657,15
108.662,15
109.048,450
109.876,15
110.022,820
110.026,115
110.071,20
110.076,10
110.080,15
110.122,10
110.126,15
110.608,10
111.582,585
111.586,905
111.826,10
112.412,285
113.254,505
114.068,880
114.897,805
114.901,850
114.946,15
114.949,60
114.953,15
115.092,15
115.095,35
115.099,20
115.351,10
115.409,225
115.629,25
116.457,380
116.460,810
117.286,15
117.530,805
118.114,235
118.118,550
118.944,10
119.626,815
120.455,770
120.458,855
120.606,10
120.649,80
120.653,15
120.657,15
120.663,20
121.042,20
121.284,10
122.161,620
122.990,845
123.818,815
123.822,830
124.506,10
124.550,755
125.575,10
126.158,820
126.988,795
128.547,835
128.551,1530
129.377,10
129.384,865
129.387,15
129.390,10
129.424,10
129.428,20
129.473,10
129.477,10
129.480,15
129.569,10
130.205,20
130.793,685
131.034,645
131.639,315
131.787,475
132.013,215
133.276,10
133.280,1425
134.254,10
134.693,720
135.519,765
135.764,800
136.057,290
136.373,55
136.738,445
136.884,410
137.030,255
137.033,30
137.179,20
137.858,10
137.861,900
138.160,10
138.297,185
138.300,130
138.351,30
138.385,15
138.392,20
138.443,10
138.446,20
138.472,25
138.492,20
138.495,15
138.498,15
138.502,10
138.542,15
138.551,15
138.687,235
139.516,825
140.247,10
140.251,705
140.542,10
141.076,10
141.079,795
141.758,10
141.762,735
142.441,10
142.444,760
143.270,10
143.273,735
144.001,10
144.684,680
144.697,775
145.384,10
145.561,715
146.215,10
146.344,825
147.074,10
147.080,790
147.170,10
147.173,125
147.218,10
147.222,10
147.226,15
147.316,15
147.322,10
147.328,10
147.462,10
147.901,190
148.730,405
148.877,845
148.882,140
148.925,10
148.931,15
148.937,20
148.973,25
149.023,20
149.026,15
149.030,15
149.033,10
149.050,10
149.413,15
149.705,470
149.708,285
149.756,10
149.759,10
151.070,560
151.805,745
151.852,760
152.776,10
152.779,925
