df_hash,22ZHK4.QT9BDF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SU53
person_label,V49
date_time_start,2025-10-30_17-54-05.050000_+03
date_time_start_unix,1761832445.05
date_time_end,2025-10-30_18-02-50.778000_+03
length_difference_noticed,no

time,heart_rate
15.885,72
17.104,72
17.984,71
18.859,70
20.078,71
20.955,71
21.882,71
23.052,72
24.075,75
24.855,74
26.030,73
26.903,73
27.868,73
28.999,73
30.169,73
30.803,73
32.023,73
32.903,73
33.777,73
34.995,73
35.903,73
36.751,73
37.972,73
38.855,74
39.773,74
40.943,75
41.862,74
42.747,74
43.917,74
44.794,74
45.720,68
47.135,70
47.817,70
48.694,70
49.864,69
50.816,69
51.668,69
52.887,72
53.764,73
54.642,73
55.860,74
56.738,75
57.615,75
58.841,74
59.747,74
60.638,74
61.808,74
62.686,75
63.612,73
64.782,74
65.659,74
66.586,74
68.051,75
68.682,74
69.598,74
70.737,74
71.802,74
72.533,74
73.752,74
74.629,74
75.508,74
76.726,75
77.603,75
78.481,75
79.699,74
80.675,74
81.504,74
82.673,75
83.555,74
84.477,74
85.647,74
86.524,74
87.451,74
89.013,74
89.552,74
90.449,74
91.939,74
92.521,75
93.398,76
94.863,76
95.494,77
96.372,77
97.591,76
98.468,76
99.372,76
100.564,75
101.442,74
102.391,74
103.538,74
104.419,74
105.342,74
106.513,74
107.468,74
108.316,72
109.486,71
110.412,71
111.290,72
112.508,73
113.407,73
114.263,73
115.504,72
116.359,72
117.237,73
118.456,73
119.334,74
120.260,75
121.432,75
122.359,75
123.233,75
124.409,75
125.330,75
126.207,75
127.377,75
128.303,74
129.181,74
130.400,74
131.277,74
132.155,74
133.373,74
134.546,75
135.128,77
136.496,77
137.226,76
138.152,76
139.322,76
140.198,76
141.125,76
142.295,76
143.221,76
144.098,78
145.368,79
146.195,79
147.121,79
148.242,79
149.190,78
150.057,77
151.265,76
152.145,76
153.082,76
154.238,76
155.140,77
156.042,78
157.216,78
158.090,78
159.016,77
160.187,77
161.063,76
161.990,76
163.160,76
164.094,78
164.963,79
166.133,79
167.060,79
167.937,78
169.156,78
170.036,77
170.914,77
172.141,76
173.007,76
173.934,75
175.104,75
175.981,75
176.932,76
178.077,76
178.956,76
179.888,75
181.054,75
181.982,75
182.855,75
184.025,76
184.951,76
185.829,75
186.998,74
187.925,74
188.807,75
190.021,76
190.923,78
191.776,76
192.995,76
193.872,74
194.799,73
195.970,72
196.850,74
197.772,75
199.235,75
199.820,75
200.746,76
201.916,76
202.842,76
203.720,77
204.891,77
205.816,77
206.694,76
207.948,76
208.793,76
209.716,74
210.886,74
211.805,74
212.690,75
213.860,75
214.745,76
215.664,76
216.837,75
217.763,73
218.637,73
220.149,73
220.734,73
221.611,74
222.791,75
223.710,75
224.587,75
225.804,76
226.681,75
227.563,75
228.800,75
229.655,75
230.581,75
231.752,75
232.629,75
233.559,75
234.725,73
235.725,73
236.529,73
237.709,74
238.920,73
239.502,75
240.822,74
241.620,75
242.476,75
243.695,76
244.576,76
245.453,77
246.669,77
247.547,76
248.424,76
249.647,76
250.520,76
251.446,70
252.617,72
253.494,72
254.420,72
255.613,71
256.516,71
257.417,71
258.567,71
259.490,71
260.391,61
261.586,57
262.464,61
263.342,59
264.560,58
265.442,58
266.315,58
267.539,58
268.558,58
269.289,58
270.508,58
271.385,58
272.311,58
273.530,58
274.359,58
275.285,58
276.532,58
277.388,58
278.259,58
279.453,58
280.357,58
281.236,58
282.549,67
283.329,71
284.206,73
285.693,75
286.303,77
287.187,75
288.399,75
289.278,75
290.154,75
291.373,75
292.250,75
293.143,75
294.346,75
295.347,75
296.101,75
297.321,76
298.199,75
299.124,75
300.294,75
301.171,75
302.101,75
303.302,75
304.145,67
305.072,60
306.242,56
307.119,54
308.341,56
309.216,56
310.142,55
311.020,55
312.189,55
313.115,55
314.066,55
315.165,55
316.089,55
316.967,55
318.185,63
319.063,66
319.989,68
321.160,65
322.110,65
322.914,65
324.182,65
325.037,65
325.937,65
327.107,65
327.985,71
328.910,76
330.081,79
330.958,81
331.884,81
333.078,80
333.987,80
334.858,80
336.029,80
336.954,80
337.832,80
339.047,80
339.928,80
340.842,80
341.975,80
342.902,80
343.780,80
344.999,80
345.875,80
346.754,80
347.972,80
348.852,80
349.731,80
350.945,80
351.824,81
352.749,74
353.919,72
354.797,67
355.723,64
356.893,66
357.771,66
358.697,58
360.159,60
360.816,61
361.696,61
362.842,60
363.767,60
364.655,57
365.888,55
366.744,54
367.623,55
368.790,55
369.714,54
370.592,54
371.811,54
372.688,55
373.571,54
374.785,54
375.662,54
376.832,54
377.758,54
378.663,54
379.562,54
380.781,54
381.609,54
382.539,54
383.706,54
384.632,54
385.517,54
386.704,54
387.608,54
388.483,52
389.654,52
390.579,51
391.457,51
392.630,51
393.557,51
394.432,51
395.649,51
396.527,51
397.404,51
398.623,51
399.550,51
400.378,51
401.597,51
402.474,51
413.492,51
414.418,54
415.296,54
416.466,54
417.393,53
418.269,53
419.439,53
420.377,55
421.262,56
422.473,58
423.339,58
424.217,58
425.436,57
426.316,57
427.191,57
428.556,57
429.287,57
430.213,57
431.389,57
432.261,59
433.187,68
434.357,74
435.295,77
436.161,73
437.533,73
438.259,73
439.159,73
440.308,73
