df_hash,22ZHK4.QT9BDF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SU53
person_label,V49
date_time_start,2025-10-30_17-54-05.050000_+03
date_time_start_unix,1761832445.05
date_time_end,2025-10-30_18-02-50.778000_+03
length_difference_noticed,no

time,battery
13.497,21
23.490,21
33.485,21
43.479,21
53.570,21
63.466,21
73.460,21
83.551,21
93.497,21
103.492,21
113.490,21
123.478,21
133.471,21
143.465,21
153.508,21
163.452,21
173.447,21
183.440,21
193.483,20
203.477,20
213.470,20
223.465,20
233.555,20
243.451,20
253.446,20
263.439,20
273.433,20
283.427,20
293.494,20
303.512,20
313.465,20
323.451,20
333.542,20
343.438,20
353.442,20
363.427,20
373.420,20
383.560,20
393.456,20
403.450,20
413.444,19
423.437,19
433.431,19
443.425,19
453.419,19
463.413,19
473.406,19
483.449,19
493.443,19
503.436,19
513.430,19
