df_hash,22ZHK4.QT9BDF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SU53
person_label,V49
date_time_start,2025-10-30_17-54-05.050000_+03
date_time_start_unix,1761832445.05
date_time_end,2025-10-30_18-02-50.778000_+03
length_difference_noticed,no

time,quality
15.889,66
17.107,70
18.082,74
18.862,67
20.081,61
20.958,63
21.885,67
23.055,59
24.079,65
24.873,61
26.178,39
26.907,38
28.027,0
29.003,0
30.173,0
30.807,31
32.414,48
33.094,41
33.781,34
35.000,35
35.922,34
36.761,30
37.985,36
39.093,66
39.777,68
40.951,66
41.869,43
42.750,47
43.922,49
44.799,36
45.724,28
47.141,0
47.820,0
48.698,26
49.868,0
50.819,0
51.674,0
52.892,49
53.768,60
54.645,57
55.864,54
56.742,50
57.619,44
58.883,34
60.007,36
60.641,40
61.811,35
62.689,45
63.615,54
64.785,44
65.664,37
66.589,35
68.054,35
68.695,0
69.857,0
70.783,6
71.805,3
72.536,2
73.755,0
74.633,7
75.513,36
76.729,47
77.606,56
78.486,58
79.703,64
80.678,73
81.515,73
82.676,82
83.600,31
84.481,25
85.650,47
86.529,0
87.454,6
89.023,0
89.596,0
90.452,23
91.942,41
92.524,57
93.402,61
94.867,46
95.499,47
96.376,51
97.594,47
98.471,51
99.375,51
100.568,71
101.445,71
102.417,56
103.544,28
104.467,31
105.348,24
106.561,23
107.585,33
108.319,51
109.490,61
110.416,61
111.294,54
112.512,60
113.484,60
114.268,58
115.580,79
116.363,68
117.240,71
118.465,64
119.349,68
120.268,73
121.576,69
122.407,83
123.237,82
124.501,81
125.337,74
126.210,77
127.380,70
128.306,54
129.186,40
130.413,42
131.280,36
132.158,38
133.377,0
134.549,35
135.132,44
136.499,38
137.520,29
138.156,0
139.334,0
140.202,0
141.128,0
142.298,0
143.224,52
144.102,60
145.373,60
146.205,60
147.128,67
148.245,65
149.269,69
150.341,70
151.269,68
152.194,61
153.312,56
154.242,46
155.143,48
156.046,52
157.361,47
158.093,52
159.020,53
160.190,71
161.067,71
161.999,71
163.163,68
164.184,67
164.968,71
166.137,66
167.063,72
167.941,65
169.160,74
170.041,70
171.011,68
172.227,55
173.010,54
173.937,54
175.107,56
175.985,56
177.203,69
178.080,68
179.055,50
180.027,46
181.299,43
182.273,39
182.858,38
184.030,41
184.954,42
185.848,55
187.004,58
187.930,58
189.049,56
190.024,49
190.926,44
191.780,32
193.001,33
193.876,44
194.802,46
195.977,51
197.141,54
197.779,53
199.238,53
199.824,47
200.750,60
201.921,60
202.846,58
203.723,58
204.895,57
205.820,50
206.697,45
208.010,44
208.839,40
209.719,45
210.890,45
211.810,45
212.695,48
213.863,52
215.033,55
215.670,53
216.882,54
217.906,60
218.641,62
220.152,60
220.739,60
221.615,67
222.882,66
223.857,58
224.685,58
225.807,52
226.685,46
227.607,44
228.804,35
229.659,42
230.584,44
231.761,58
232.645,52
233.750,59
234.728,64
235.749,56
236.556,49
237.894,44
238.924,42
239.506,51
240.825,41
241.897,48
242.480,62
243.699,62
244.721,61
245.547,63
246.673,61
247.551,49
248.428,37
250.035,28
250.526,34
251.449,42
252.623,31
253.497,0
254.429,1
255.616,11
256.521,46
257.422,41
258.616,35
259.494,10
260.394,47
261.590,42
262.469,25
263.349,37
264.566,40
265.454,31
266.320,22
267.777,23
268.561,0
269.292,1
270.511,28
271.388,0
272.315,0
273.536,0
274.365,0
275.290,0
276.538,5
277.391,13
278.264,7
279.576,4
280.455,0
281.281,0
282.553,36
283.336,53
284.211,49
285.698,44
286.313,35
287.278,25
288.448,23
289.377,21
290.157,28
291.379,22
292.255,0
293.423,24
294.352,0
295.468,29
296.105,19
297.334,35
298.539,0
299.128,0
300.297,7
301.175,0
302.149,5
303.306,1
304.151,45
305.075,43
306.246,50
307.122,39
308.344,0
309.228,0
310.145,31
311.023,30
312.238,36
313.119,21
314.069,35
315.212,30
316.092,0
316.970,3
318.188,31
319.067,41
319.992,31
321.164,28
322.113,29
322.918,0
324.185,8
325.307,0
325.940,21
327.111,23
327.988,30
328.913,53
330.084,59
330.961,54
331.889,33
333.082,22
334.129,24
334.861,20
336.036,29
336.957,0
337.835,47
339.297,49
339.931,56
340.847,67
341.989,56
342.907,60
343.877,20
345.242,25
345.878,0
347.045,0
347.975,0
348.950,0
349.825,31
350.995,31
351.828,40
352.753,29
353.922,41
354.802,40
355.726,45
356.896,27
357.774,31
358.700,43
360.162,14
360.988,12
361.822,5
362.845,4
363.770,11
364.940,47
365.961,40
366.792,33
367.914,0
368.837,27
369.718,0
370.599,0
371.815,24
372.691,39
373.766,23
374.791,20
375.665,16
376.835,0
377.761,35
378.681,36
379.565,41
380.786,46
381.615,40
382.685,38
383.712,24
384.638,22
385.559,0
386.825,0
387.801,32
388.487,28
389.666,0
390.583,28
391.462,0
392.826,0
393.560,0
394.528,0
395.652,0
396.530,0
397.453,0
398.672,0
399.553,0
400.382,21
401.600,21
402.477,0
403.402,0
413.495,50
414.424,48
415.299,0
416.476,0
417.397,0
418.280,0
419.445,23
420.512,37
421.441,35
422.559,52
423.344,57
424.222,42
425.439,39
426.557,32
427.195,31
428.561,35
429.290,32
430.216,0
431.530,0
432.265,36
433.191,34
434.410,34
435.381,33
436.166,30
437.536,29
438.403,0
439.162,0
440.353,18
