df_hash,22ZHK4.QT9BDF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SU53
person_label,V49
date_time_start,2025-10-30_17-54-05.050000_+03
date_time_start_unix,1761832445.05
date_time_end,2025-10-30_18-02-50.778000_+03
length_difference_noticed,no

time,acc_mag
16.251,1.033
16.281,1.033
16.311,1.035
16.341,1.035
16.371,1.034
16.401,1.037
16.431,1.034
16.461,1.036
16.491,1.033
16.521,1.033
16.551,1.031
16.581,1.037
16.611,1.030
16.641,1.027
16.671,1.034
16.701,1.025
16.731,1.037
16.761,1.039
16.791,1.032
16.821,1.033
16.851,1.035
16.881,1.039
16.911,1.035
16.941,1.036
16.971,1.034
17.001,1.028
17.031,1.028
17.061,1.029
17.091,1.037
17.121,1.038
17.151,1.030
17.181,1.033
17.211,1.039
17.241,1.036
17.271,1.029
17.301,1.033
17.331,1.032
17.361,1.037
17.391,1.033
17.421,1.032
17.451,1.032
17.481,1.032
17.511,1.038
17.541,1.038
17.571,1.033
17.601,1.029
17.631,1.029
17.661,1.035
17.691,1.034
17.721,1.031
17.751,1.031
17.781,1.034
17.811,1.034
17.841,1.035
17.871,1.032
17.901,1.030
17.931,1.031
17.961,1.036
17.991,1.035
18.021,1.033
18.051,1.032
18.081,1.032
18.111,1.036
18.141,1.040
18.171,1.032
18.201,1.036
18.231,1.032
18.261,1.028
18.291,1.032
18.321,1.031
18.351,1.036
18.381,1.033
18.411,1.031
18.441,1.027
18.471,1.038
18.501,1.038
18.531,1.032
18.561,1.030
18.591,1.029
18.621,1.038
18.651,1.035
18.681,1.035
18.711,1.034
18.741,1.032
18.771,1.028
18.801,1.036
18.831,1.034
18.861,1.035
18.891,1.031
18.921,1.033
18.951,1.035
18.981,1.031
19.011,1.040
19.041,1.029
19.071,1.032
19.101,1.035
19.131,1.033
19.161,1.031
19.191,1.035
19.221,1.027
19.251,1.027
19.281,1.034
19.311,1.040
19.341,1.034
19.371,1.030
19.401,1.030
19.431,1.032
19.461,1.033
19.491,1.032
19.521,1.032
19.551,1.032
19.581,1.034
19.611,1.034
19.641,1.035
19.671,1.035
19.701,1.036
19.731,1.031
19.761,1.032
19.791,1.031
19.821,1.034
19.851,1.033
19.881,1.035
19.911,1.029
19.941,1.030
19.971,1.032
20.001,1.035
20.031,1.027
20.061,1.029
20.091,1.035
20.121,1.032
20.151,1.038
20.181,1.037
20.211,1.028
20.241,1.027
20.271,1.031
20.301,1.034
20.331,1.036
20.361,1.034
20.391,1.032
20.421,1.028
20.451,1.030
20.481,1.032
20.511,1.034
20.541,1.032
20.571,1.030
20.601,1.036
20.631,1.028
20.661,1.036
20.691,1.027
20.721,1.032
20.751,1.037
20.781,1.031
20.811,1.032
20.841,1.033
20.871,1.035
20.901,1.029
20.931,1.029
20.961,1.024
20.991,1.032
21.021,1.041
21.051,1.033
21.081,1.030
21.111,1.031
21.141,1.034
21.171,1.035
21.201,1.034
21.231,1.033
21.261,1.030
21.291,1.032
21.321,1.031
21.351,1.036
21.381,1.033
21.411,1.025
21.441,1.032
21.471,1.029
21.501,1.032
21.531,1.038
21.561,1.032
21.591,1.030
21.621,1.032
21.651,1.036
21.681,1.035
21.711,1.033
21.741,1.034
21.771,1.026
21.801,1.040
21.831,1.035
21.861,1.031
21.891,1.033
21.921,1.031
21.951,1.035
21.981,1.033
22.011,1.033
22.041,1.035
22.071,1.028
22.101,1.035
22.131,1.035
22.161,1.036
22.191,1.031
22.221,1.032
22.251,1.033
22.281,1.031
22.311,1.035
22.341,1.032
22.371,1.031
22.401,1.029
22.431,1.029
22.461,1.035
22.491,1.033
22.521,1.030
22.551,1.029
22.581,1.033
22.611,1.037
22.641,1.034
22.671,1.030
22.701,1.032
22.731,1.033
22.761,1.031
22.791,1.034
22.821,1.033
22.851,1.022
22.881,1.027
22.911,1.030
22.941,1.035
22.971,1.036
23.001,1.033
23.031,1.032
23.061,1.030
23.091,1.032
23.121,1.035
23.151,1.032
23.181,1.035
23.211,1.032
23.241,1.027
23.271,1.029
23.301,1.033
23.331,1.034
23.361,1.030
23.391,1.038
23.421,1.023
23.451,1.033
23.481,1.040
23.511,1.034
23.541,1.030
23.571,1.030
23.601,1.031
23.631,1.031
23.661,1.033
23.691,1.032
23.721,1.031
23.751,1.036
23.781,1.034
23.811,1.034
23.841,1.033
23.871,1.029
23.901,1.034
23.931,1.036
23.961,1.043
23.991,1.041
24.021,1.041
24.051,1.047
24.081,1.048
24.111,1.050
24.141,1.044
24.171,1.035
24.201,1.031
24.231,1.039
24.261,1.037
24.291,1.027
24.321,1.028
24.351,1.030
24.381,1.022
24.411,1.013
24.441,1.010
24.471,1.015
24.501,1.025
24.531,1.020
24.561,1.025
24.591,1.031
24.621,1.037
24.651,1.018
24.681,0.986
24.711,0.975
24.741,0.981
24.771,0.986
24.801,0.999
24.831,1.002
24.861,1.007
24.891,0.998
24.921,0.991
24.951,0.999
24.981,1.019
25.011,1.014
25.041,1.010
25.071,1.022
25.101,1.031
25.131,1.030
25.161,0.993
25.191,0.975
25.221,0.989
25.251,1.001
25.281,1.009
25.311,1.012
25.341,1.021
25.371,1.022
25.401,1.016
25.431,1.008
25.461,1.000
25.491,1.001
25.521,1.010
25.551,1.015
25.581,1.014
25.611,1.020
25.641,1.011
25.671,1.014
25.701,1.011
25.731,1.017
25.761,1.018
25.791,1.018
25.821,1.012
25.851,1.011
25.881,1.006
25.911,1.001
25.941,1.020
25.971,1.020
26.001,1.015
26.031,1.013
26.061,1.015
26.091,1.019
26.121,1.016
26.151,1.020
26.181,1.015
26.211,1.012
26.241,1.011
26.271,1.009
26.301,1.018
26.331,1.014
26.361,1.009
26.391,1.009
26.421,1.015
26.451,1.019
26.481,1.014
26.511,1.015
26.541,1.011
26.571,1.007
26.601,1.011
26.631,1.012
26.661,1.018
26.691,1.006
26.721,1.010
26.751,1.010
26.781,1.010
26.811,1.009
26.841,1.004
26.871,1.012
26.901,1.018
26.931,1.021
26.961,1.026
26.991,1.021
27.021,1.020
27.051,1.014
27.081,1.016
27.111,1.008
27.141,1.006
27.171,1.010
27.201,1.009
27.231,1.012
27.261,1.014
27.291,1.012
27.321,1.012
27.351,1.013
27.381,1.010
27.411,1.009
27.441,1.009
27.471,1.009
27.501,1.006
27.531,1.009
27.561,1.012
27.591,1.019
27.621,1.017
27.651,1.013
27.681,1.010
27.711,1.012
27.741,1.015
27.771,1.014
27.801,1.015
27.831,1.012
27.861,1.012
27.891,1.010
27.921,1.014
27.951,1.013
27.981,1.011
28.011,1.009
28.041,1.011
28.071,1.010
28.101,1.008
28.131,1.015
28.161,1.012
28.191,1.009
28.221,1.011
28.251,1.015
28.281,1.015
28.311,1.011
28.341,1.009
28.371,1.016
28.401,1.011
28.431,1.009
28.461,1.010
28.491,1.015
28.521,1.015
28.551,1.013
28.581,1.016
28.611,1.013
28.641,1.015
28.671,1.012
28.701,1.013
28.731,1.013
28.761,1.012
28.791,1.016
28.821,1.015
28.851,1.012
28.881,1.009
28.911,1.017
28.941,1.016
28.971,1.011
29.001,1.018
29.031,1.016
29.061,1.013
29.091,1.013
29.121,1.016
29.151,1.010
29.181,1.009
29.211,1.015
29.241,1.011
29.271,1.016
29.301,1.013
29.331,1.012
29.361,1.011
29.391,1.015
29.421,1.014
29.451,1.012
29.481,1.016
29.511,1.014
29.541,1.014
29.571,1.013
29.601,1.014
29.631,1.013
29.661,1.010
29.691,1.008
29.721,1.014
29.751,1.014
29.781,1.011
29.811,1.012
29.841,1.008
29.871,1.021
29.901,1.036
29.931,1.021
29.961,1.001
29.991,1.003
30.021,0.998
30.051,1.006
30.081,1.015
30.111,1.018
30.141,1.011
30.171,1.008
30.201,1.013
30.231,1.020
30.261,1.021
30.291,1.020
30.321,1.010
30.351,1.009
30.381,1.010
30.411,1.015
30.441,1.012
30.471,1.017
30.501,1.016
30.531,1.016
30.561,1.014
30.591,1.010
30.621,1.012
30.651,1.015
30.681,1.013
30.711,1.010
30.741,1.011
30.771,1.011
30.801,0.989
30.831,1.017
30.861,1.028
30.891,1.016
30.921,1.012
30.951,1.009
30.981,1.008
31.011,1.019
31.041,1.019
31.071,1.003
31.101,1.001
31.131,1.016
31.161,1.021
31.191,1.017
31.221,1.017
31.251,1.021
31.281,1.015
31.311,1.002
31.341,0.999
31.371,1.013
31.401,1.031
31.431,1.022
31.461,1.030
31.491,1.014
31.521,1.012
31.551,1.011
31.581,1.015
31.611,1.018
31.641,1.019
31.671,1.018
31.701,1.011
31.731,1.017
31.761,1.014
31.791,1.008
31.821,1.011
31.851,1.014
31.881,1.021
31.911,1.013
31.941,1.008
31.971,1.015
32.001,1.015
32.031,1.016
32.061,1.016
32.091,1.014
32.121,1.019
32.151,1.012
32.181,1.016
32.211,1.014
32.241,1.011
32.271,1.018
32.301,1.019
32.331,1.013
32.361,1.011
32.391,1.015
32.421,1.015
32.451,1.019
32.481,1.015
32.511,1.010
32.541,1.011
32.571,1.014
32.601,1.019
32.631,1.021
32.661,1.011
32.691,1.018
32.721,1.012
32.751,1.016
32.781,1.019
32.811,1.015
32.841,1.011
32.871,1.015
32.901,1.016
32.931,1.016
32.961,1.018
32.991,1.014
33.021,1.017
33.051,1.019
33.081,1.015
33.111,1.013
33.141,1.011
33.171,1.013
33.201,1.015
33.231,1.015
33.261,1.015
33.291,1.016
33.321,1.016
33.351,1.013
33.381,1.009
33.411,1.010
33.441,1.020
33.471,1.011
33.501,1.016
33.531,1.016
33.561,1.013
33.591,1.014
33.621,1.017
33.651,1.018
33.681,1.009
33.711,1.013
33.741,1.015
33.771,1.016
33.801,1.016
33.831,1.014
33.861,1.015
33.891,1.016
33.921,1.014
33.951,1.017
33.981,1.016
34.011,1.014
34.041,1.014
34.071,1.016
34.101,1.016
34.131,1.019
34.161,1.016
34.191,1.015
34.221,1.013
34.251,1.020
34.281,1.013
34.311,1.015
34.341,1.015
34.371,1.016
34.401,1.015
34.431,1.016
34.461,1.015
34.491,1.005
34.521,1.019
34.551,1.020
34.581,1.013
34.611,1.012
34.641,1.012
34.671,1.015
34.701,1.019
34.731,1.016
34.761,1.018
34.791,1.013
34.821,1.012
34.851,1.014
34.881,1.016
34.911,1.017
34.941,1.020
34.971,1.014
35.001,1.019
35.031,1.016
35.061,1.019
35.091,1.011
35.121,1.011
35.151,1.012
35.181,1.018
35.211,1.015
35.241,1.019
35.271,1.021
35.301,1.008
35.331,1.012
35.361,1.015
35.391,1.008
35.421,1.014
35.451,1.020
35.481,1.016
35.511,1.018
35.541,1.016
35.571,1.013
35.601,1.015
35.631,1.016
35.661,1.018
35.691,1.018
35.721,1.021
35.751,1.017
35.781,1.011
35.811,1.020
35.841,1.011
35.871,1.017
35.901,1.014
35.931,1.013
35.961,1.015
35.991,1.019
36.021,1.014
36.051,1.019
36.081,1.017
36.111,1.011
36.141,1.017
36.171,1.021
36.201,1.018
36.231,1.013
36.261,1.016
36.291,1.016
36.321,1.017
36.351,1.016
36.381,1.014
36.411,1.015
36.441,1.013
36.471,1.013
36.501,1.014
36.531,1.016
36.561,1.020
36.591,1.021
36.621,1.012
36.651,1.019
36.681,1.017
36.711,1.015
36.741,1.013
36.771,1.020
36.801,1.013
36.831,1.015
36.861,1.017
36.891,1.010
36.921,1.017
36.951,1.020
36.981,1.013
37.011,1.016
37.041,1.015
37.071,1.013
37.101,1.020
37.131,1.016
37.161,1.015
37.191,1.014
37.221,1.015
37.251,1.016
37.281,1.015
37.311,1.016
37.341,1.013
37.371,1.013
37.401,1.016
37.431,1.017
37.461,1.018
37.491,1.014
37.521,1.013
37.551,1.013
37.581,1.018
37.611,1.015
37.641,1.010
37.671,1.016
37.701,1.014
37.731,1.019
37.761,1.018
37.791,1.014
37.821,1.013
37.851,1.013
37.881,1.014
37.911,1.016
37.941,1.017
37.971,1.015
38.001,1.011
38.031,1.014
38.061,1.015
38.091,1.017
38.121,1.017
38.151,1.018
38.181,1.011
38.211,1.015
38.241,1.019
38.271,1.018
38.301,1.018
38.331,1.017
38.361,1.012
38.391,1.016
38.421,1.018
38.451,1.020
38.481,1.013
38.511,1.018
38.541,1.014
38.571,1.016
38.601,1.017
38.631,1.014
38.661,1.012
38.691,1.013
38.721,1.016
38.751,1.018
38.781,1.018
38.811,1.012
38.841,1.016
38.871,1.015
38.901,1.017
38.931,1.014
38.961,1.009
38.991,1.016
39.021,1.018
39.051,1.017
39.081,1.017
39.111,1.016
39.141,1.011
39.171,1.015
39.201,1.019
39.231,1.015
39.261,1.008
39.291,1.016
39.321,1.012
39.351,1.016
39.381,1.019
39.411,1.012
39.441,1.013
39.471,1.016
39.501,1.017
39.531,1.018
39.561,1.013
39.591,1.015
39.621,1.014
39.651,1.011
39.681,1.015
39.711,1.015
39.741,1.017
39.771,1.011
39.801,1.013
39.831,1.017
39.861,1.020
39.891,1.016
39.921,1.013
39.951,1.017
39.981,1.016
40.011,1.018
40.041,1.014
40.071,1.013
40.101,1.010
40.131,1.014
40.161,1.020
40.191,1.020
40.221,1.013
40.251,1.017
40.281,1.013
40.311,1.019
40.341,1.016
40.371,1.016
40.401,1.013
40.431,1.011
40.461,1.014
40.491,1.018
40.521,1.016
40.551,1.015
40.581,1.012
40.611,1.017
40.641,1.019
40.671,1.013
40.701,1.015
40.731,1.015
40.761,1.013
40.791,1.015
40.821,1.020
40.851,1.019
40.881,1.013
40.911,1.017
40.941,1.012
40.971,1.021
41.001,1.018
41.031,1.011
41.061,1.010
41.091,1.015
41.121,1.015
41.151,1.019
41.181,1.018
41.211,1.015
41.241,1.014
41.271,1.012
41.301,1.017
41.331,1.014
41.361,1.012
41.391,1.014
41.421,1.012
41.451,1.015
41.481,1.018
41.511,1.015
41.541,1.013
41.571,1.019
41.601,1.020
41.631,1.013
41.661,1.015
41.691,1.010
41.721,1.013
41.751,1.016
41.781,1.016
41.811,1.013
41.841,1.017
41.871,1.015
41.901,1.013
41.931,1.015
41.961,1.015
41.991,1.015
42.021,1.017
42.051,1.015
42.081,1.014
42.111,1.015
