df_hash,22ZHK4.QT9BDF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SU53
person_label,V49
date_time_start,2025-10-30_17-54-05.050000_+03
date_time_start_unix,1761832445.05
date_time_end,2025-10-30_18-02-50.778000_+03
length_difference_noticed,no

time,ppg_quality
57.931,32
60.961,47
62.981,35
65.001,25
67.021,38
69.031,53
70.041,54
71.051,50
72.061,50
74.081,72
76.101,81
78.121,89
80.141,89
83.171,97
85.191,92
87.211,94
89.231,93
90.241,81
91.251,82
93.271,72
94.281,69
96.301,56
97.311,49
98.321,44
99.331,36
100.341,47
102.351,42
104.371,40
105.381,43
106.391,46
107.401,49
109.421,50
111.441,47
113.461,60
115.481,67
116.491,63
118.511,54
120.531,53
122.551,38
123.561,28
124.571,23
125.581,23
126.591,25
127.601,38
129.621,38
131.641,46
133.651,61
135.671,62
137.691,57
138.701,55
140.721,49
142.741,58
144.761,57
146.781,58
147.791,56
149.811,53
151.831,35
152.841,33
153.851,28
155.871,25
156.881,23
157.891,24
159.911,37
160.921,49
161.931,62
162.941,61
164.961,64
166.981,71
169.001,72
171.021,67
172.031,61
174.051,45
176.071,37
178.091,33
179.101,26
181.121,33
182.131,40
183.141,40
185.161,64
187.181,75
189.201,80
191.221,72
192.231,71
194.251,78
196.271,69
198.291,72
200.311,82
202.331,91
204.351,83
205.361,77
206.371,74
207.381,74
209.401,81
211.421,61
213.441,59
215.461,74
218.491,68
219.501,66
220.511,70
221.521,69
222.531,67
224.551,51
226.571,39
227.581,42
229.601,44
231.621,33
233.641,38
235.661,59
237.681,66
238.691,58
240.711,61
242.731,80
244.751,75
246.771,66
248.791,81
249.801,85
251.821,66
253.841,55
255.861,59
257.881,40
258.891,30
259.901,29
260.911,40
261.921,51
262.931,59
264.951,70
266.971,74
268.991,76
270.001,72
272.021,59
273.031,66
274.041,59
276.061,59
278.081,71
280.101,73
281.111,63
283.131,72
284.141,69
285.151,67
286.161,61
287.171,60
289.191,75
291.211,74
294.241,70
295.251,70
296.261,73
298.281,80
300.301,63
302.321,60
304.341,58
307.371,37
309.391,10
310.401,7
311.411,5
313.431,19
315.451,38
316.461,43
317.471,38
318.481,39
319.491,37
320.501,43
322.521,40
323.531,29
324.541,18
325.551,9
327.571,3
328.581,7
329.591,12
330.601,20
331.611,25
333.631,18
335.651,18
337.671,43
338.681,48
339.691,54
340.701,54
341.711,55
342.721,59
344.741,78
346.761,90
347.771,81
349.791,77
350.801,76
351.811,69
353.831,59
355.851,62
357.871,57
359.891,72
360.901,72
361.911,76
364.941,72
366.961,54
368.981,40
371.001,19
373.021,28
374.031,34
376.051,36
377.061,39
378.071,44
379.081,41
380.091,51
381.101,50
382.111,46
385.141,53
387.161,59
389.181,70
391.201,77
393.221,82
395.241,44
396.251,46
397.261,45
398.271,37
399.281,28
400.291,27
402.311,8
404.331,20
406.351,29
408.371,10
409.381,23
411.401,24
412.411,25
413.421,29
415.441,31
417.461,41
419.481,45
420.491,61
422.511,69
424.531,72
426.551,62
427.561,65
428.571,63
430.591,44
431.601,42
433.621,31
435.641,38
436.651,49
437.661,60
438.671,70
439.681,69
441.701,62
443.721,59
444.731,55
446.751,45
448.771,33
450.791,39
452.811,33
455.841,44
457.861,47
459.881,53
460.891,56
461.901,61
462.911,63
463.921,57
465.941,56
466.951,57
468.971,54
470.991,63
473.011,65
474.021,63
475.031,59
478.061,56
480.081,41
482.101,40
484.121,52
485.131,61
486.141,55
488.161,53
489.171,49
490.181,40
491.191,40
492.201,33
493.211,24
494.221,17
495.231,10
497.251,21
499.271,31
500.281,43
502.301,56
504.321,62
506.341,44
508.361,38
510.381,28
512.401,15
513.411,5
514.421,17
515.431,2
520.481,12
