df_hash,22ZHK4.3SLRU5
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZGH0
person_label,v105
date_time_start,2026-03-02_13-21-59.790000_+03
date_time_start_unix,1772443319.79
date_time_end,2026-03-02_13-29-41.789000_+03
length_difference_noticed,no

time,spo2
63.464,97
64.292,97
68.194,97
70.385,97
74.139,97
75.796,97
77.360,97
78.185,97
79.062,97
79.696,97
82.014,97
82.621,97
86.765,97
88.182,97
89.747,97
90.274,97
90.957,97
91.733,97
94.564,97
98.220,97
99.630,97
100.279,97
100.950,97
101.632,97
102.517,97
103.193,97
103.875,97
104.605,97
106.068,97
108.311,97
111.237,97
112.749,97
113.722,97
114.307,97
114.989,97
116.549,97
117.379,97
118.063,97
118.889,97
119.584,97
120.448,97
121.911,97
122.642,97
123.475,97
124.983,97
125.815,97
126.396,97
127.273,97
127.914,97
130.150,97
130.979,97
132.344,97
133.075,97
139.080,97
141.005,97
141.803,97
142.484,97
143.215,97
143.896,97
144.579,97
144.725,97
161.935,97
162.807,97
163.494,97
164.378,97
165.200,97
166.663,97
167.442,97
174.998,97
175.875,97
176.466,97
177.096,96
178.654,96
179.389,96
180.211,96
182.261,96
182.950,96
183.630,96
191.719,96
191.812,97
193.131,97
196.448,97
199.226,97
199.909,97
200.602,97
202.005,97
202.743,97
203.369,97
209.609,97
213.549,97
214.923,97
217.127,97
217.990,97
229.790,97
230.484,97
240.174,97
242.271,97
264.110,97
264.792,97
265.621,97
404.557,94
407.626,94
407.866,94
414.987,94
422.929,94
425.125,94
426.593,94
429.562,94
432.634,94
434.878,94
435.750,94
436.387,95
447.157,95
