df_hash,22ZHK4.3SLRU5
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZGH0
person_label,v105
date_time_start,2026-03-02_13-21-59.790000_+03
date_time_start_unix,1772443319.79
date_time_end,2026-03-02_13-29-41.789000_+03
length_difference_noticed,no

time,respiration_rate
70.194,30
114.124,30
118.664,30
123.254,30
127.824,30
132.344,30
136.784,30
141.084,28
145.314,28
149.814,28
154.354,27
158.484,25
162.914,27
167.594,27
194.914,24
199.594,24
203.914,24
207.944,24
