df_hash,22ZHK4.3SLRU5
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZGH0
person_label,v105
date_time_start,2026-03-02_13-21-59.790000_+03
date_time_start_unix,1772443319.79
date_time_end,2026-03-02_13-29-41.789000_+03
length_difference_noticed,no

time,temperature
5.057,29.266
6.035,29.328
7.010,29.375
8.073,29.438
9.009,29.516
10.033,29.562
11.007,29.594
12.056,29.609
13.006,29.656
14.030,29.719
15.394,29.766
16.028,29.812
17.203,29.906
18.027,29.953
19.002,29.984
20.026,30.047
21.050,30.094
22.027,30.188
23.243,30.250
24.023,30.297
24.998,30.344
26.022,30.391
26.997,30.422
28.166,30.422
29.220,30.516
30.068,30.562
31.240,30.625
32.017,30.672
32.993,30.688
34.016,30.719
34.991,30.734
36.016,30.797
37.038,30.828
38.014,30.875
39.037,30.875
40.035,30.906
41.036,30.938
42.254,30.938
43.038,30.984
44.107,31.047
45.040,31.125
46.057,31.172
47.036,31.188
48.006,31.234
49.079,31.266
50.103,31.312
51.049,31.344
52.004,31.406
53.027,31.422
54.003,31.453
55.048,31.469
56.016,31.438
57.025,31.469
58.000,31.484
59.416,31.484
59.999,31.484
61.023,31.516
61.998,31.547
63.069,31.547
63.996,31.531
65.020,31.547
65.995,31.578
67.018,31.594
67.993,31.641
69.117,31.688
70.141,31.734
71.020,31.703
71.991,31.734
73.015,31.750
73.989,31.781
75.013,31.766
76.380,31.797
77.061,31.844
77.989,31.859
79.114,31.844
80.377,31.875
81.009,31.938
82.230,31.953
83.011,31.984
84.032,32.031
85.006,32.031
86.030,32.031
87.005,32.000
88.077,31.984
89.004,32.031
90.076,32.031
91.443,32.031
92.026,32.031
93.041,32.000
94.025,31.984
95.294,32.031
96.023,32.062
97.003,32.125
98.021,32.125
98.996,32.156
100.021,32.188
101.242,32.219
102.019,32.219
102.994,32.219
104.167,32.219
105.065,32.250
106.017,32.281
106.992,32.219
108.015,32.188
108.994,32.188
110.014,32.188
111.040,32.219
112.013,32.219
112.988,32.250
114.011,32.281
115.039,32.281
116.010,32.250
116.985,32.281
118.009,32.312
118.984,32.344
120.299,32.375
121.034,32.375
122.062,32.406
123.014,32.438
124.004,32.438
125.033,32.469
126.003,32.531
126.980,32.562
128.007,32.594
128.981,32.625
130.049,32.625
131.316,32.625
131.999,32.594
132.976,32.594
133.997,32.625
135.022,32.688
135.997,32.688
137.020,32.656
137.995,32.625
139.068,32.625
139.994,32.625
141.163,32.594
141.999,32.625
143.016,32.719
144.137,32.719
145.019,32.594
145.991,32.594
147.014,32.656
147.988,32.656
149.014,32.719
149.987,32.750
151.012,32.781
151.986,32.812
153.010,32.750
154.015,32.812
155.008,32.844
156.031,32.844
157.007,32.812
157.988,32.812
159.005,32.781
159.981,32.750
161.004,32.781
162.225,32.750
163.003,32.719
163.999,32.688
165.002,32.719
165.976,32.719
167.000,32.750
167.975,32.781
168.999,32.812
170.022,32.812
171.244,32.781
171.977,32.812
172.996,32.844
173.971,32.812
175.034,32.844
176.018,32.844
177.008,32.844
177.969,32.844
179.063,32.812
180.047,32.844
180.996,32.875
181.974,32.875
182.995,32.875
184.013,32.875
184.988,32.875
186.011,32.875
186.989,32.844
188.011,32.781
188.986,32.812
190.009,32.844
190.985,32.844
192.052,32.938
193.080,32.938
194.007,32.938
194.982,32.969
196.054,32.969
196.980,32.969
198.004,33.094
198.979,33.125
200.009,33.125
200.978,33.094
202.060,33.000
203.016,33.000
203.999,33.031
204.975,33.031
205.998,33.031
207.461,33.062
207.997,33.062
208.973,33.062
210.008,33.031
210.971,33.062
211.995,33.094
213.429,33.125
213.993,33.125
214.974,33.125
215.992,33.188
216.967,33.188
218.097,33.156
219.025,33.156
219.990,33.188
221.017,33.094
221.988,33.094
222.963,33.062
224.231,33.062
224.962,33.031
225.985,33.000
226.960,33.000
228.377,33.000
228.959,33.031
229.994,33.031
230.959,33.125
231.982,33.125
233.016,33.125
233.980,33.125
235.004,33.094
235.979,33.125
237.003,33.125
237.977,33.125
239.345,33.094
239.976,33.094
241.000,33.125
241.975,33.125
243.293,33.125
243.974,33.125
244.997,33.156
246.034,33.156
246.996,33.188
247.994,33.188
248.995,33.188
249.980,33.219
250.997,33.188
251.968,33.219
253.141,33.219
253.972,33.250
254.991,33.312
256.051,33.281
257.038,33.312
257.967,33.312
258.990,33.312
259.963,33.344
260.987,33.344
261.983,33.375
262.986,33.375
264.009,33.375
265.002,33.375
265.963,33.375
266.983,33.375
267.958,33.375
268.985,33.375
269.956,33.375
271.028,33.344
272.004,33.344
272.982,33.344
274.246,33.375
274.978,33.375
275.957,33.344
276.976,33.375
277.951,33.375
278.975,33.375
280.395,33.375
280.995,33.375
281.997,33.375
282.972,33.375
283.998,33.312
285.016,33.312
285.994,33.312
286.970,33.312
288.067,33.312
289.017,33.312
290.040,33.344
291.162,33.344
292.039,33.312
292.966,33.344
293.989,33.375
294.967,33.406
295.993,33.406
296.963,33.438
297.987,33.438
299.256,33.438
299.985,33.406
300.982,33.406
301.993,33.406
302.959,33.406
303.983,33.375
304.962,33.375
305.982,33.406
306.956,33.406
307.980,33.438
308.976,33.406
309.979,33.406
310.954,33.406
311.977,33.438
313.007,33.469
313.978,33.500
314.957,33.500
315.975,33.469
316.950,33.500
