df_hash,22ZHK4.3SLRU5
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZGH0
person_label,v105
date_time_start,2026-03-02_13-21-59.790000_+03
date_time_start_unix,1772443319.79
date_time_end,2026-03-02_13-29-41.789000_+03
length_difference_noticed,no

time,ppg_quality
59.124,70
60.134,70
61.144,72
63.164,74
65.184,77
67.204,80
69.214,56
71.234,37
72.244,27
73.254,17
74.264,13
76.284,8
78.304,25
80.324,50
83.354,75
85.374,81
87.394,83
89.414,77
90.424,77
91.434,74
92.444,76
94.464,78
96.484,78
98.504,76
100.524,77
102.534,75
103.544,75
105.564,74
107.584,75
109.604,78
111.624,82
112.634,82
113.644,82
116.674,83
117.684,83
118.694,84
120.714,84
122.734,84
123.744,84
124.754,85
126.774,84
127.784,85
128.794,85
129.804,86
131.824,86
133.834,85
135.854,87
136.864,88
137.874,88
138.884,90
140.904,87
142.924,85
144.944,85
146.964,82
148.984,69
149.994,65
152.014,60
153.024,59
154.034,59
156.054,47
158.074,41
160.094,44
161.104,46
163.124,51
165.144,59
167.164,69
169.184,78
170.194,80
171.204,81
174.234,77
176.254,73
178.274,73
180.294,73
182.314,73
183.324,72
184.334,73
185.344,72
187.364,72
189.384,71
190.394,66
191.404,61
192.414,58
193.424,60
195.444,56
196.454,52
197.464,48
198.474,49
199.484,51
200.494,53
202.514,59
204.534,63
205.544,65
207.564,75
209.584,74
211.604,76
213.624,75
215.644,74
216.654,74
218.674,72
220.694,69
222.714,38
223.724,30
224.734,30
225.744,25
226.754,24
227.764,22
228.774,17
229.784,15
231.804,32
233.824,51
235.844,56
237.864,54
240.894,51
242.914,44
243.924,42
244.934,41
245.944,37
247.964,37
248.974,34
252.004,54
254.024,48
255.034,44
257.054,55
258.064,55
260.084,58
261.094,61
263.114,66
265.134,59
267.154,57
269.174,64
271.194,29
273.214,13
276.244,11
277.254,4
278.264,3
279.274,5
280.284,11
282.304,15
284.324,9
286.344,19
287.354,33
289.374,37
291.394,37
292.404,36
293.414,35
294.424,42
295.434,43
296.444,41
297.454,33
298.464,28
300.484,28
301.494,35
302.504,40
303.514,47
304.524,50
306.544,49
308.564,72
309.574,80
310.584,77
311.594,70
313.614,60
315.634,46
316.644,41
317.654,51
319.674,19
321.694,32
323.714,49
326.744,69
328.764,44
329.774,53
330.784,60
332.804,62
334.824,43
337.854,60
339.874,60
340.884,55
341.894,57
342.904,61
343.914,66
344.924,72
345.934,75
346.944,69
347.954,60
348.964,55
350.984,57
353.004,43
355.024,22
356.034,14
358.054,20
359.064,25
360.074,27
362.094,31
364.114,49
366.134,62
368.154,70
370.174,70
371.184,73
372.194,72
373.204,70
375.224,73
377.244,73
379.264,64
381.284,50
382.294,48
384.314,45
386.334,42
388.354,33
389.364,37
390.374,43
391.384,51
392.394,57
393.404,62
395.424,54
397.444,57
399.464,76
402.494,62
404.514,55
405.524,62
406.534,69
408.554,66
410.574,50
412.594,62
414.614,68
415.624,64
417.644,57
419.664,54
420.674,51
421.684,51
422.694,64
423.704,68
425.724,76
426.734,75
428.754,74
430.774,82
432.794,73
434.814,62
435.824,62
436.834,66
439.864,67
441.884,78
443.904,57
445.924,45
446.934,50
448.954,44
450.974,29
451.984,22
452.994,24
455.014,31
457.034,27
